state,stateAbbrev,date,time,cases,deaths,tested,AgeUnder 20,Age20-24,Age25-29,Age30-34,Age35-39,Age40-44,Age45-49,Age50-54,Age55-59,Age60-64,Age65-69,Age70-74,Age75-79,Age80+,AgeUnknown,Travel,Contact,No_Known_Contact,Unknown,Male_sex,Female_sex,Unknown*_sex,link,pullTime,Age_fatalityUnder 20,Age_fatality20-29,Age_fatality30-39,Age_fatality40-49,Age_fatality50-59,Age_fatality60-69,Age_fatality70-79,Age_fatality80+
Missouri,MO,April 15,2:00 p.m.,4895,147,50432,112,311,333,313,304,363,431,480,510,489,385,274,215,370,nan,nan,nan,nan,2238,2601,56,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-15 20:14:45.929264,0,0,3,4,15,32,41,52
Missouri,MO,April 14,2:00 p.m.,4686,133,48803,109,295,317,300,294,349,411,468,493,467,365,269,203,342,4,nan,nan,nan,nan,2153,2478,55,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-14 20:01:54.492631,0,0,3,4,14,24,39,49
Missouri,MO,April 13,2:00 p.m.,4388,114,47680,100,281,301,280,280,328,382,439,459,445,346,257,185,301,4,nan,nan,nan,nan,2025,2308,55,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-13 21:10:00.471833,0,0,1,4,13,23,32,41
Missouri,MO,April 12,2:00 p.m.,4160,110,45064,95,269,290,262,264,309,368,419,450,417,328,243,169,274,3,200,215,9,3745,1926,2180,54,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-12 20:39:46.568415,0,0,1,4,13,21,31,40
Missouri,MO,April 11,2:00 p.m.,4024,109,45064,94,265,279,255,256,301,356,406,440,398,317,234,161,259,3,195,208,9,3621,1867,2104,53,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-11 19:53:51.889613,0,0,1,4,12,21,31,40
Missouri,MO,April 10,2:00 p.m.,3799,96,42947,87,253,265,241,235,284,329,383,416,379,306,223,150,245,3,190,194,9,3415,1777,1971,51,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-10 20:21:13.383716,0,0,1,4,10,19,25,37
Missouri,MO,April 9,2:00 p.m.,3539,77,40480,81,230,244,224,223,263,301,358,386,360,283,212,139,232,3,163,153,9,3223,1659,1830,50,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-09 19:52:07.310490,0,0,1,1,5,10,19,22
Missouri,MO,April 8,2:00 p.m.,3327,58,38282,82,225,229,208,207,249,283,343,363,334,262,202,132,205,3,159,145,9,3023,1554,1726,47,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-08 20:19:21.750060,0,0,1,1,5,10,19,22
Missouri,MO,April 7,2:00 p.m.,3037,53,33820,76,212,211,193,191,233,260,322,337,307,237,173,113,169,3,126,113,9,2798,1409,1583,45,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-07 20:05:15.950748,0,0,1,1,5,9,17,20
Missouri,MO,April 6,2:00 p.m.,2722,39,31654,63,201,183,175,171,212,230,285,302,277,215,153,103,149,3,114,95,9,2513,1265,1418,39,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-06 20:29:19.176194,0,0,1,1,5,7,14,11
