# Cases Age [0-19],# Cases Age [20-24],# Cases Age [25-29],# Cases Age [30-34],# Cases Age [35-39],# Cases Age [40-44],# Cases Age [45-49],# Cases Age [50-54],# Cases Age [55-59],# Cases Age [60-64],# Cases Age [65-69],# Cases Age [70-74],# Cases Age [75-79],# Cases Age [80+],# Deaths Age [0-19],# Deaths Age [20-29],# Deaths Age [30-39],# Deaths Age [40-49],# Deaths Age [50-59],# Deaths Age [60-69],# Deaths Age [70-79],# Deaths Age [80+],% Total Cases: ethn_HISPANIC,% Total Cases: ethn_NON HISPANIC,% Total Cases: ethn_OTHER,% Total Cases: race_BLACK,% Total Cases: race_MULTI RACE,% Total Cases: race_Other Race,% Total Cases: race_REFUSED TO ANSWER RACE,% Total Cases: race_UNKNOWN RACE,% Total Cases: race_WHITE,% Total Deaths: ethn_HISPANIC,% Total Deaths: ethn_NON HISPANIC,% Total Deaths: ethn_UNKNOWN,% Total Deaths: race_Black,% Total Deaths: race_Multi race,% Total Deaths: race_Other race,% Total Deaths: race_Unknown race,% Total Deaths: race_White,Scrape_Time,Total Cases,Total Cases: Female,Total Cases: Male,Total Cases: UnknownGender,Total Cases: ethn_HISPANIC,Total Cases: ethn_NON HISPANIC,Total Cases: ethn_OTHER,Total Cases: race_BLACK,Total Cases: race_MULTI RACE,Total Cases: race_Other Race,Total Cases: race_REFUSED TO ANSWER RACE,Total Cases: race_UNKNOWN RACE,Total Cases: race_WHITE,Total Deaths,Total Deaths: ethn_HISPANIC,Total Deaths: ethn_NON HISPANIC,Total Deaths: ethn_UNKNOWN,Total Deaths: race_Black,Total Deaths: race_Multi race,Total Deaths: race_Other race,Total Deaths: race_Unknown race,Total Deaths: race_White,Total Tested: PCR,Total Tested: Serology
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,8,11,30,94,214,366,726,8.3,57.05,0.02,15.160000000000002,2.8400000000000003,3.38,0.15,42.35,36.11,3.64,84.61999999999999,11.75,31.680000000000003,0.91,3.7800000000000002,3.5700000000000003,60.07,2020-08-26 21:21:52.390469,20261,40854,34690,2518,6062,41656,18,11605,2171,2593,114,32413,27636,996,52,1210,168,453,13,54,51,859,932140,67139
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,8,11,30,94,215,366,726,8.24,56.830000000000005,0.02,14.829999999999998,2.78,3.3099999999999996,0.15,43.59,35.339999999999996,3.64,84.61999999999999,11.75,31.680000000000003,0.91,3.7800000000000002,3.5700000000000003,60.07,2020-08-27 20:03:10.104619,20261,41556,35375,2643,6133,42305,16,11605,2171,2593,114,34104,27644,996,52,1210,168,453,13,54,51,859,943023,67581
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,8,11,30,95,218,371,731,8.17,56.64,0.02,14.56,2.7199999999999998,3.25,0.13999999999999999,44.64,34.68,3.5999999999999996,84.41,11.99,31.39,0.97,3.74,3.81,60.08,2020-08-28 19:54:42.575919,20261,42312,36005,2675,6180,42824,17,11608,2167,2599,114,35584,27650,996,52,1218,173,453,14,54,55,867,954633,68113
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,8,11,30,97,222,379,749,8.110000000000001,56.76,0.02,14.330000000000002,2.67,3.2199999999999998,0.13999999999999999,45.48,34.160000000000004,3.4799999999999995,84.89999999999999,11.61,31.22,0.96,3.9,3.62,60.309999999999995,2020-08-29 19:57:00.474575,20261,42997,36629,2740,6227,43570,18,11609,2163,2601,114,36835,27670,996,51,1243,170,457,14,57,53,883,965326,68525
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,8,11,30,98,226,383,752,8.07,56.66,0.03,14.13,2.63,3.16,0.13999999999999999,46.239999999999995,33.69,3.45,84.61,11.940000000000001,30.48,0.9299999999999999,3.7699999999999996,6.1,58.709999999999994,2020-08-30 19:48:54.626190,20261,43600,37153,2902,6257,43960,20,11611,2162,2600,114,37986,27678,996,52,1275,180,460,14,57,92,886,974237,68819
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,10,29,99,231,391,763,7.99,56.38999999999999,0.03,13.91,2.59,3.11,0.13999999999999999,47.08,33.17,3.4799999999999995,84.07,0.06999999999999999,30.09,0.9199999999999999,3.7199999999999998,6.800000000000001,58.47,2020-08-31 21:15:55.901583,20261,44125,37554,3018,6286,44345,20,11612,2162,2600,114,39292,27680,996,53,1282,1,460,14,57,104,894,982955,68924
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,10,29,99,231,395,767,7.95,56.279999999999994,0.03,13.750000000000002,2.55,3.08,0.13,47.699999999999996,32.79,3.46,84.33,12.21,29.93,0.91,3.71,7.16,58.3,2020-09-01 20:38:19.149317,20261,44661,38018,3076,6319,44742,21,11616,2156,2600,114,40297,27702,996,53,1292,187,460,14,57,110,896,991244,69005
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,10,29,99,231,396,770,7.91,56.35,0.06,13.55,2.5,3.0300000000000002,0.13,48.44,32.34,3.45,84.14,12.42,29.830000000000002,0.91,3.6999999999999997,7.46,58.10999999999999,2020-09-02 20:03:59.722018,20261,45381,38624,3208,6366,45334,47,11617,2146,2600,114,41535,27730,996,53,1294,191,460,14,57,115,896,998097,69257
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,10,29,99,230,399,771,7.85,56.269999999999996,0.06,13.3,2.46,2.98,0.13,49.39,31.75,3.44,84.09,12.47,29.73,0.91,3.6900000000000004,7.580000000000001,58.099999999999994,2020-09-03 20:53:35.646494,20261,46081,39200,3329,6412,45965,52,11618,2146,2598,114,43150,27732,996,53,1295,192,459,14,57,117,897,1008078,69430
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,10,29,99,230,406,781,7.7700000000000005,56.10000000000001,0.06999999999999999,13.07,2.41,2.92,0.13,50.260000000000005,31.209999999999997,3.4299999999999997,83.97,12.61,29.59,0.8999999999999999,3.6799999999999997,7.870000000000001,57.96,2020-09-04 20:51:14.177416,20261,46962,39795,3458,6450,46564,56,11619,2146,2598,114,44671,27737,996,53,1299,195,459,14,57,122,899,1021730,69634
