state,stateAbbrev,date,time,cases,deaths,tested,AgeUnder 20,Age20-24,Age25-29,Age30-34,Age35-39,Age40-44,Age45-49,Age50-54,Age55-59,Age60-64,Age65-69,Age70-74,Age75-79,Age80+,AgeUnknown,Travel,Contact,No_Known_Contact,Unknown,Male_sex,Female_sex,Unknown*_sex,link,pullTime,Age_fatalityUnder 20,Age_fatality20-29,Age_fatality30-39,Age_fatality40-49,Age_fatality50-59,Age_fatality60-69,Age_fatality70-79,Age_fatality80+
Missouri,MO,15-Apr,2:00 p.m.,4895,147,50432,112,311,333,313,304,363,431,480,510,489,385,274,215,370,nan,nan,nan,nan,nan,2238,2601,56,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,14:45.9,0,0,3,4,15,32,41,52
Missouri,MO,14-Apr,2:00 p.m.,4686,133,48803,109,295,317,300,294,349,411,468,493,467,365,269,203,342,4,nan,nan,nan,nan,2153,2478,55,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,01:54.5,0,0,3,4,14,24,39,49
Missouri,MO,13-Apr,2:00 p.m.,4388,114,47680,100,281,301,280,280,328,382,439,459,445,346,257,185,301,4,nan,nan,nan,nan,2025,2308,55,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,10:00.5,0,0,1,4,13,23,32,41
Missouri,MO,12-Apr,2:00 p.m.,4160,110,45064,95,269,290,262,264,309,368,419,450,417,328,243,169,274,3,200,215,9,3745,1926,2180,54,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,39:46.6,0,0,1,4,13,21,31,40
Missouri,MO,11-Apr,2:00 p.m.,4024,109,45064,94,265,279,255,256,301,356,406,440,398,317,234,161,259,3,195,208,9,3621,1867,2104,53,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,53:51.9,0,0,1,4,12,21,31,40
Missouri,MO,10-Apr,2:00 p.m.,3799,96,42947,87,253,265,241,235,284,329,383,416,379,306,223,150,245,3,190,194,9,3415,1777,1971,51,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,21:13.4,0,0,1,4,10,19,25,37
Missouri,MO,9-Apr,2:00 p.m.,3539,77,40480,81,230,244,224,223,263,301,358,386,360,283,212,139,232,3,163,153,9,3223,1659,1830,50,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,52:07.3,0,0,1,1,5,10,19,22
Missouri,MO,8-Apr,2:00 p.m.,3327,58,38282,82,225,229,208,207,249,283,343,363,334,262,202,132,205,3,159,145,9,3023,1554,1726,47,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,19:21.7,0,0,1,1,5,10,19,22
Missouri,MO,7-Apr,2:00 p.m.,3037,53,33820,76,212,211,193,191,233,260,322,337,307,237,173,113,169,3,126,113,9,2798,1409,1583,45,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,05:16.0,0,0,1,1,5,9,17,20
Missouri,MO,6-Apr,2:00 p.m.,2722,39,31654,63,201,183,175,171,212,230,285,302,277,215,153,103,149,3,114,95,9,2513,1265,1418,39,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,29:19.2,0,0,1,1,5,7,14,11
Missouri,MO,5-Apr,2:00 p.m.,2367,34,27173,56,186,163,159,149,178,199,243,259,230,183,137,87,134,4,102,86,9,2179,1102,1226,39,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,24:08.6,0,0,1,0,5,6,12,9
Missouri,MO,4-Apr,2:00 p.m.,2291,24,27173,54,179,158,150,148,174,193,240,252,222,180,129,85,125,2,102,86,9,2103,1073,1181,37,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,10:30.4,,,,,,,,
Missouri,MO,3-Apr,2:00 p.m.,2113,19,24727,53,167,141,144,134,164,179,224,226,203,167,120,75,116,0,83,73,9,1957,1000,1080,33,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,24:52.3,,,,,,,,
Missouri,MO,2-Apr,2:00 p.m.,1834,19,21191,50,154,124,123,113,141,157,191,185,179,144,109,62,101,0,67,58,9,1709,872,935,27,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/cases-by-age.php,26:38.3,,,,,,,,
Missouri,MO,1-Apr,2:00 p.m.,1581,18,17427,47,139,106,101,103,120,137,172,163,152,114,93,47,87,0,57,49,9,1475,747,813,21,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/cases-by-age.php,08:41.3,,,,,,,,
Missouri,MO,31-Mar,2:00 p.m.,1327,14,15645,43,124,88,82,88,98,119,141,147,125,87,74,40,71,0,44,37,9,1246,623,686,18,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/cases-by-age.php,09:36.6,,,,,,,,
Missouri,MO,29-Mar,3:00 p.m.,903,12,14107,26,91,74,65,69,71,65,104,91,85,47,45,29,40,1,42,25,9,827,435,459,9,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,54:16.3,,,,,,,,
Missouri,MO,28-Mar,2:00 p.m.,838,10,12385,21,89,66,60,64,67,59,95,85,79,43,43,29,38,0,42,25,9,762,406,423,9,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,33:48.0,,,,,,,,
Missouri,MO,16-Apr,2:00 p.m.,5111,152,51545,122,324,347,325,319,376,444,499,531,504,397,288,220,411,4,nan,nan,nan,nan,2308,2740,63,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,20:30.3,0,0,3,4,15,32,42,56
Missouri,MO,17-Apr,2:00 p.m.,5283,165,53525,129,332,356,337,337,386,457,507,545,520,409,297,228,439,4,nan,nan,nan,nan,2378,2837,68,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,04:40.4,0,0,3,5,15,36,42,64
Missouri,MO,18-Apr,2:00 p.m.,5517,175,53525,132,344,377,351,350,395,472,526,562,544,420,322,241,476,5,nan,nan,nan,nan,2493,2956,68,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,11:48.3,0,0,3,5,16,38,47,66
Missouri,MO,19-Apr,2:00 p.m.,5667,176,55873,135,348,391,363,367,405,484,528,577,553,427,327,256,496,10,nan,nan,nan,nan,2547,3050,70,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,25:15.9,0,0,3,5,16,38,48,66
Missouri,MO,20-Apr,2:00 p.m.,5807,177,56986,141,351,398,370,373,419,498,542,589,564,439,331,268,518,6,nan,nan,nan,nan,2620,3114,73,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,21:57.9,0,0,3,5,16,38,48,67
Missouri,MO,21-Apr,2:00 p.m.,5941,189,56986,150,356,406,379,384,424,507,554,602,564,444,342,276,536,7,nan,nan,nan,nan,2674,3197,70,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,09:38.4,0,0,3,5,17,41,49,74
Missouri,MO,22-Apr,2:00 p.m.,6137,208,59266,155,365,414,389,402,431,528,567,619,597,458,355,284,565,8,nan,nan,nan,nan,2760,3305,72,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,23:30.8,0,0,3,5,21,43,54,82
Missouri,MO,23-Apr,2:00 p.m.,6321,218,59266,164,376,437,400,411,443,541,586,632,612,469,362,294,584,10,nan,nan,nan,nan,2839,3412,70,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,21:12.1,0,0,3,5,21,46,58,85
Missouri,MO,24-Apr,2:00 p.m.,6625,262,67017,173,393,464,420,428,463,564,614,653,640,481,378,309,635,10,nan,nan,nan,nan,2967,3588,70,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,21:40.8,0,0,3,6,27,56,70,100
Missouri,MO,25-Apr,2:00 p.m.,6826,273,69748,180,398,471,426,437,481,582,628,672,660,492,396,320,674,9,nan,nan,nan,nan,3065,3692,69,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,10:57.8,0,1,3,6,27,58,71,107
Missouri,MO,26-Apr,2:00 p.m.,6997,274,70932,185,406,481,436,451,491,599,644,685,674,506,403,329,698,9,nan,nan,nan,nan,3150,3777,70,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,03:34.6,0,1,3,6,27,58,71,108
Missouri,MO,27-Apr,2:00 p.m.,7171,288,73371,194,414,494,450,454,496,609,654,700,686,514,416,338,743,9,nan,nan,nan,nan,3227,3876,68,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,43:57.9,0,1,3,6,27,60,72,119
Missouri,MO,28-Apr,2:00 p.m.,7303,314,73371,197,419,502,461,460,503,622,666,713,697,524,421,344,764,10,nan,nan,nan,nan,3289,3953,61,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,39:17.3,0,1,3,7,27,63,81,132
