# Cases Age [0-19],# Cases Age [20-24],# Cases Age [25-29],# Cases Age [30-34],# Cases Age [35-39],# Cases Age [40-44],# Cases Age [45-49],# Cases Age [50-54],# Cases Age [55-59],# Cases Age [60-64],# Cases Age [65-69],# Cases Age [70-74],# Cases Age [75-79],# Cases Age [80+],# Deaths Age [0-19],# Deaths Age [20-29],# Deaths Age [30-39],# Deaths Age [40-49],# Deaths Age [50-59],# Deaths Age [60-69],# Deaths Age [70-79],# Deaths Age [80+],% Total Cases: ethn_HISPANIC,% Total Cases: ethn_NON HISPANIC,% Total Cases: ethn_REFUSED TO ANSWER,% Total Cases: ethn_UNKNOWN,% Total Cases: race_BLACK,% Total Cases: race_MULTI RACE,% Total Cases: race_OTHER RACE,% Total Cases: race_REFUSED TO ANSWER RACE,% Total Cases: race_UNKNOWN RACE,% Total Cases: race_WHITE,% Total Deaths: ethn_HISPANIC,% Total Deaths: ethn_NON HISPANIC,% Total Deaths: ethn_REFUSED TO ANSWER,% Total Deaths: ethn_UNKNOWN,% Total Deaths: race_BLACK,% Total Deaths: race_MULTI RACE,% Total Deaths: race_OTHER RACE,% Total Deaths: race_REFUSED TO ANSWER RACE,% Total Deaths: race_UNKNOWN RACE,% Total Deaths: race_WHITE,Scrape_Time,Total Cases,Total Cases: Male,Total Cases: UnknownGender,Total Cases: Women,Total Cases: ethn_HISPANIC,Total Cases: ethn_NON HISPANIC,Total Cases: ethn_REFUSED TO ANSWER,Total Cases: ethn_UNKNOWN,Total Cases: race_BLACK,Total Cases: race_MULTI RACE,Total Cases: race_OTHER RACE,Total Cases: race_REFUSED TO ANSWER RACE,Total Cases: race_UNKNOWN RACE,Total Cases: race_WHITE,Total Deaths,Total Deaths: ethn_HISPANIC,Total Deaths: ethn_NON HISPANIC,Total Deaths: ethn_REFUSED TO ANSWER,Total Deaths: ethn_UNKNOWN,Total Deaths: race_BLACK,Total Deaths: race_MULTI RACE,Total Deaths: race_OTHER RACE,Total Deaths: race_REFUSED TO ANSWER RACE,Total Deaths: race_UNKNOWN RACE,Total Deaths: race_WHITE,Total Tested: PCR,Total Tested: Serology
453,898,721,807,837,961,830,1043,993,1072,800,511,653,1399,0,1,4,13,43,116,180,324,8.05,66.59,0.06,25.3,32.2,2.46,5.66,0.06,16.950000000000003,42.67,2.06,85.88,0,12.06,36.76,0.59,2.65,0.15,2.5,57.35,2020-05-24 18:35:42.946138,11988,5431,69,6488,914,7709,7,2864,3760,279,374,7,1949,4949,681,14,574,0,81,246,4,6,1,18,382,151619,18368
453,898,721,807,837,961,830,1043,993,1072,800,511,653,1399,0,1,4,13,43,116,180,324,8.05,66.59,0.06,25.3,32.2,2.46,5.66,0.06,16.950000000000003,42.67,2.06,85.88,0,12.06,36.76,0.59,2.65,0.15,2.5,57.35,2020-05-24 20:34:54.621453,11988,5431,69,6488,914,7709,7,2864,3760,279,374,7,1949,4949,681,14,574,0,81,246,4,6,1,18,382,151619,18368
465,917,737,824,856,970,842,1054,1009,1082,803,518,660,1420,0,1,4,13,44,116,180,327,7.960000000000001,66.35,0.06999999999999999,25.629999999999995,33.660000000000004,2.45,3.95,0.06,17.32,42.559999999999995,2.04,87.88,0,12.120000000000001,36.64,0.58,2.63,0.15,2.48,57.52,2020-05-25 20:50:59.330466,12167,5507,70,6590,914,7709,7,2864,3760,279,374,7,1949,4949,685,14,574,0,81,246,4,6,1,18,382,157131,19320
474,923,749,835,872,984,854,1091,1020,807,1058,520,666,1429,0,1,4,13,44,116,181,327,7.960000000000001,66.13,0.06999999999999999,25.85,31.919999999999998,2.45,5.57,0.05,17.47,42.52,2.04,85.84,0,12.120000000000001,36.64,0.58,0.01,0,2.48,57.66,2020-05-26 21:05:17.006088,12291,5560,71,6660,914,7709,7,2864,3760,279,374,7,1949,4949,686,14,574,0,81,246,4,6,0,18,382,160113,19830
481,948,773,856,881,995,871,1104,1037,815,1063,526,676,1426,0,1,4,13,44,117,183,334,8.04,66.19,0.06999999999999999,25.7,31.85,2.46,5.7700000000000005,0.05,17.29,42.58,2.03,85.82,0,12.16,36.61,0.58,2.6100000000000003,0,2.46,57.74,2020-05-27 20:41:02.233354,12492,5642,73,6777,914,7709,7,2864,3760,279,374,7,1949,4949,696,14,574,0,81,246,4,6,0,18,382,165304,19830
499,962,787,866,899,1006,881,1074,1052,1119,824,533,685,1474,0,1,3,15,45,119,186,338,8.17,66.19,0.06999999999999999,25.580000000000002,31.75,2.4299999999999997,5.86,0.05,17.21,42.699999999999996,1.9900000000000002,85.92,0,12.09,36.84,0.5700000000000001,2.56,0,2.42,57.60999999999999,2020-05-28 20:14:00.140826,12673,5726,75,6872,914,7709,7,2864,3760,279,374,7,1949,4949,707,14,574,0,81,246,4,6,0,18,382,170864,21030
511,972,796,875,909,1013,886,1084,1058,1129,827,538,691,1495,0,1,3,15,46,123,191,359,8.17,66.19,0.06999999999999999,25.35,31.669999999999998,2.4,5.89,0.05,17.11,42.88,2.25,85.92,0,11.83,36.76,0.7000000000000001,2.69,0,2.39,57.46,2020-05-29 20:00:11.387414,12795,5781,79,6935,914,7709,7,2864,3760,279,374,7,1949,4949,738,14,574,0,81,246,4,6,0,18,382,177671,22184
525,979,810,890,925,1031,897,1098,1067,1144,835,543,698,1509,0,2,3,15,48,125,198,380,8.16,66.47999999999999,0.09,25.27,31.540000000000003,2.39,5.89,0.05,17.16,42.970000000000006,2.1999999999999997,85.08,0,12.709999999999999,35.410000000000004,0.91,2.46,0,3.7600000000000002,57.46,2020-05-30 19:52:38.198870,12962,5861,78,7023,914,7709,7,2864,3760,279,374,7,1949,4949,771,14,574,0,81,246,4,6,0,18,382,185434,23252
546,1001,824,904,939,1047,912,1107,1077,1158,846,549,702,1525,0,2,3,15,48,125,198,381,8.24,66.41,0.08,25.27,31.509999999999998,2.3800000000000003,5.89,0.05,17.16,43.01,2.1999999999999997,85.22999999999999,0,12.559999999999999,35.36,0.91,2.46,0,3.7600000000000002,57.50999999999999,2020-05-31 20:12:27.037291,13147,5962,77,7106,914,7709,7,2864,3760,279,374,7,1949,4949,772,14,574,0,81,246,4,6,0,18,382,193380,24032
559,1025,838,921,958,1060,925,1171,1095,854,1119,550,708,1534,0,1,4,15,49,124,199,383,8.21,66.21000000000001,0.08,25.490000000000002,31.36,2.3800000000000003,5.82,0.05,17.54,42.85,2.1999999999999997,85.14,0,12.659999999999998,35.27,0.8999999999999999,2.46,0,3.88,57.489999999999995,2020-06-01 20:06:57.964510,13327,6038,77,7210,914,7709,7,2864,3760,279,374,7,1949,4949,773,14,574,0,81,246,4,6,0,18,382,199435,24048
