# Cases Age [0-19],# Cases Age [20-24],# Cases Age [25-29],# Cases Age [30-34],# Cases Age [35-39],# Cases Age [40-44],# Cases Age [45-49],# Cases Age [50-54],# Cases Age [55-59],# Cases Age [60-64],# Cases Age [65-69],# Cases Age [70-74],# Cases Age [75-79],# Cases Age [80+],# Deaths Age [0-19],# Deaths Age [20-29],# Deaths Age [30-39],# Deaths Age [40-49],# Deaths Age [50-59],# Deaths Age [60-69],# Deaths Age [70-79],# Deaths Age [80+],% Total Cases: ethn_HISPANIC,% Total Cases: ethn_NON HISPANIC,% Total Cases: ethn_REFUSED TO ANSWER,% Total Cases: race_BLACK,% Total Cases: race_MULTI RACE,% Total Cases: race_OTHER RACE,% Total Cases: race_REFUSED TO ANSWER RACE,% Total Cases: race_UNKNOWN RACE,% Total Cases: race_WHITE,% Total Deaths: ethn_HISPANIC,% Total Deaths: ethn_NON HISPANIC,% Total Deaths: ethn_UNKNOWN,% Total Deaths: race_BLACK,% Total Deaths: race_MULTI RACE,% Total Deaths: race_OTHER RACE,% Total Deaths: race_UNKNOWN RACE,% Total Deaths: race_WHITE,Scrape_Time,Total Cases,Total Cases: Female,Total Cases: Male,Total Cases: UnknownGender,Total Cases: ethn_HISPANIC,Total Cases: ethn_NON HISPANIC,Total Cases: ethn_REFUSED TO ANSWER,Total Cases: race_BLACK,Total Cases: race_MULTI RACE,Total Cases: race_OTHER RACE,Total Cases: race_REFUSED TO ANSWER RACE,Total Cases: race_UNKNOWN RACE,Total Cases: race_WHITE,Total Deaths,Total Deaths: ethn_HISPANIC,Total Deaths: ethn_NON HISPANIC,Total Deaths: ethn_UNKNOWN,Total Deaths: race_BLACK,Total Deaths: race_MULTI RACE,Total Deaths: race_OTHER RACE,Total Deaths: race_UNKNOWN RACE,Total Deaths: race_WHITE,Total Tested: PCR,Total Tested: Serology
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,6,4,20,68,151,264,556,11.13,61.78,0.1,25.9,2.82,6.55,0.05,20.04,44.64,2.53,85.69,11.79,34.61,0.84,2.62,3.46,58.47,2020-07-12 20:39:14.549374,20261,14736,12507,198,3038,16863,26,5758,513,374,7,1949,4949,996,27,916,126,370,9,0,37,625,485508,50108
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,6,4,20,68,151,267,567,11.129999999999999,61.86000000000001,0.09,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,2.5,85.46000000000001,12.04,34.54,0.83,2.59,3.61,58.43000000000001,2020-07-13 20:14:51.549374,20261,14976,12710,204,3070,17068,26,5758,513,374,7,1949,4949,996,27,923,130,373,9,,39,631,495777,50495
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,6,5,21,68,151,273,569,11.07,61.970000000000006,0.09,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,2.5700000000000003,85.52,11.92,34.54,0.83,2.59,3.61,58.43000000000001,2020-07-14 20:10:33.506579,20261,15483,13127,216,3157,17676,26,5758,513,374,7,1949,4949,996,28,933,130,373,9,,39,631,505103,51099
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,6,5,21,69,153,274,575,11.01,62.03999999999999,0.08,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,2.54,85.47,11.99,34.54,0.83,2.59,3.61,58.43000000000001,2020-07-15 20:14:16.513704,20261,15973,13516,225,3226,18181,24,5758,513,374,7,1949,4949,996,28,941,132,373,9,,39,631,517947,51446
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,6,5,21,70,154,276,581,10.93,62.1,0.09,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,2.7,85.27,12.04,34.54,0.83,2.59,3.61,58.43000000000001,2020-07-16 20:16:56.900638,20261,16350,13834,238,3298,18732,26,5758,513,374,7,1949,4949,996,30,949,134,373,9,,39,631,529301,52063
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,6,6,21,71,155,277,585,10.89,62.129999999999995,0.09,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,2.68,85.33,11.99,34.54,0.83,2.59,3.61,58.43000000000001,2020-07-17 20:13:22.993512,20261,16830,14216,244,3367,19206,29,5758,513,374,7,1949,4949,996,30,954,134,373,9,,39,631,537896,52265
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,1,6,6,21,71,157,278,590,10.780000000000001,62.08,0.13,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,2.8400000000000003,85.26,11.899999999999999,33.75,0.89,2.75,3.73,58.879999999999995,2020-07-18 20:22:41.646760,20261,17359,14654,235,3435,19779,41,5758,513,374,7,1949,4949,996,32,960,134,380,10,,42,663,550876,52960
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,1,6,6,21,71,156,278,590,10.7,62.0,0.13,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,2.83,85.21,11.959999999999999,33.660000000000004,0.89,2.75,3.73,58.879999999999995,2020-07-19 20:10:45.782839,20261,17819,15035,240,3493,20232,44,5758,513,374,7,1949,4949,996,32,962,135,380,10,31,43,663,559079,53533
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,1,6,6,20,72,157,279,591,10.66,61.77,0.13999999999999999,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,2.83,85.22999999999999,11.940000000000001,33.6,0.88,2.74,3.71,59.06,2020-07-20 20:27:31.869991,20261,18117,15254,253,3542,20531,47,5758,513,374,7,1949,4949,996,32,964,135,380,10,,42,668,571912,54765
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,1,6,8,20,73,158,280,597,10.48,61.809999999999995,0.16,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,2.81,85.18,12.02,33.68,0.88,2.7199999999999998,3.8600000000000003,58.86,2020-07-21 22:09:44.459882,20261,18735,15772,255,3595,21205,55,5758,513,374,7,1949,4949,996,32,971,137,384,10,,44,671,580320,54991
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,1,6,8,20,73,161,287,603,10.42,61.82,0.16,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,2.78,85.22,12.0,33.83,0.8699999999999999,2.78,3.83,58.699999999999996,2020-07-22 21:52:55.224741,20261,19414,16376,273,3693,21918,56,5758,513,374,7,1949,4949,996,32,980,138,389,10,,44,675,589460,55622
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,1,8,8,21,75,165,292,609,10.32,61.8,0.16,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,2.91,84.94,12.15,33.45,0.77,2.9899999999999998,3.85,58.940000000000005,2020-07-23 20:10:06.499631,20261,20302,17124,274,3798,22744,59,5758,513,374,7,1949,4949,996,34,993,142,391,9,35,45,689,603284,56303
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,1,6,5,21,76,165,292,612,10.25,61.58,0.15,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,2.96,85.1,11.940000000000001,33.19,0.76,2.96,3.56,59.53000000000001,2020-07-24 20:14:16.708697,20261,21172,17898,282,3943,23679,58,5758,513,374,7,1949,4949,996,35,1005,141,392,9,35,42,703,612615,56784
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,1,6,5,23,76,166,292,613,10.17,61.42999999999999,0.16999999999999998,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,3.1300000000000003,84.94,11.93,32.99,0.76,3.1199999999999997,3.55,59.56,2020-07-25 20:11:29.311593,20261,21909,18495,305,4079,24631,67,5758,513,374,7,1949,4949,996,37,1004,141,390,9,37,42,704,619721,57152
