# Cases Age [0-19],# Cases Age [20-24],# Cases Age [25-29],# Cases Age [30-34],# Cases Age [35-39],# Cases Age [40-44],# Cases Age [45-49],# Cases Age [50-54],# Cases Age [55-59],# Cases Age [60-64],# Cases Age [65-69],# Cases Age [70-74],# Cases Age [75-79],# Cases Age [80+],# Deaths Age [0-19],# Deaths Age [20-29],# Deaths Age [30-39],# Deaths Age [40-49],# Deaths Age [50-59],# Deaths Age [60-69],# Deaths Age [70-79],# Deaths Age [80+],% Total Cases: ethn_HISPANIC,% Total Cases: ethn_NON HISPANIC,% Total Cases: ethn_OTHER,% Total Cases: race_BLACK,% Total Cases: race_MULTI RACE,% Total Cases: race_OTHER RACE,% Total Cases: race_REFUSED TO ANSWER RACE,% Total Cases: race_UNKNOWN RACE,% Total Cases: race_WHITE,% Total Deaths: ethn_HISPANIC,% Total Deaths: ethn_NON HISPANIC,% Total Deaths: ethn_UNKNOWN,% Total Deaths: race_Black,% Total Deaths: race_Multi race,% Total Deaths: race_Other race,% Total Deaths: race_Unknown race,% Total Deaths: race_White,Scrape_Time,Total Cases,Total Cases: Female,Total Cases: Male,Total Cases: UnknownGender,Total Cases: ethn_HISPANIC,Total Cases: ethn_NON HISPANIC,Total Cases: ethn_OTHER,Total Cases: race_BLACK,Total Cases: race_MULTI RACE,Total Cases: race_OTHER RACE,Total Cases: race_REFUSED TO ANSWER RACE,Total Cases: race_UNKNOWN RACE,Total Cases: race_WHITE,Total Deaths,Total Deaths: ethn_HISPANIC,Total Deaths: ethn_NON HISPANIC,Total Deaths: ethn_UNKNOWN,Total Deaths: race_Black,Total Deaths: race_Multi race,Total Deaths: race_Other race,Total Deaths: race_Unknown race,Total Deaths: race_White,Total Tested: PCR,Total Tested: Serology
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,6,9,26,83,194,330,664,8.94,59.34,0.01,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,3.58,84.53,11.89,32.7,0.76,3.74,3.66,59.150000000000006,2020-08-11 20:19:36.432096,20261,32359,27315,1261,5365,35575,3,5758,513,374,7,1949,4949,996,47,1109,156,429,10,49,48,776,787220,62908
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,10,26,84,195,336,665,8.89,59.150000000000006,0,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,3.55,84.58,11.87,32.58,0.76,3.6999999999999997,3.6999999999999997,59.260000000000005,2020-08-12 20:30:10.372314,20261,33063,27938,1529,5417,36029,3,5758,513,374,7,1949,4949,996,47,1119,157,431,10,49,49,784,798581,62801
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,10,26,84,195,337,666,8.88,58.95,0.01,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,3.55,84.6,11.85,32.53,0.75,3.6900000000000004,3.6999999999999997,59.31999999999999,2020-08-13 20:28:27.008462,20261,33647,28497,1653,5496,36476,5,5758,513,374,7,1949,4949,996,47,1121,157,431,10,49,49,786,811357,63158
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,1,7,10,26,85,197,341,668,8.86,58.64,0.01,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,3.52,84.64,11.84,32.36,0.75,3.81,3.5999999999999996,59.48,2020-08-14 20:06:19.441256,20261,34380,29122,1768,5572,36884,7,5758,513,374,7,1949,4949,996,47,1130,158,432,10,51,48,794,824869,63781
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,10,26,85,198,344,676,8.790000000000001,58.39,0.01,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,3.5700000000000003,84.55,11.89,32.24,0.74,3.7900000000000005,3.64,59.58,2020-08-15 20:07:05.507195,20261,34938,29583,1876,5615,37287,8,5758,513,374,7,1949,4949,996,48,1138,160,434,10,51,49,802,835441,64229
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,11,27,87,199,346,690,8.73,58.089999999999996,0.01,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,3.51,84.49,12.0,32.04,0.8,3.73,3.66,59.77,2020-08-16 20:15:30.175436,20261,35474,30077,1924,5644,37574,8,5758,513,374,7,1949,4949,996,48,1155,164,438,11,51,50,817,845618,64503
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,11,28,90,203,352,705,8.66,57.76,0.01,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,3.52,84.13000000000001,12.35,31.869999999999997,0.86,3.66,3.8,59.8,2020-08-17 19:50:46.967674,20261,36041,30580,2002,5680,37906,8,5758,513,374,7,1949,4949,996,49,1172,172,444,12,51,53,833,858617,64968
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,11,29,90,204,355,706,8.64,57.67,0.02,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,3.58,84.68,11.74,31.85,0.9299999999999999,3.65,3.7199999999999998,59.84,2020-08-18 19:56:47.841821,20261,36422,30928,2067,5734,38279,10,5758,513,374,7,1949,4949,996,50,1183,164,445,13,51,52,836,867481,65068
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,11,29,93,207,359,708,85.16,57.599999999999994,0.02,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,3.56,84.64,11.81,31.790000000000003,0.9199999999999999,3.6999999999999997,3.6999999999999997,59.89,2020-08-19 20:12:53.256753,20261,36965,31480,2230,5775,38695,11,5758,513,374,7,1949,4949,996,50,1190,166,447,13,52,52,842,874795,65313
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,7,11,29,93,207,360,710,8.55,57.49999999999999,0.02,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,3.55,84.67,11.78,31.8,0.9199999999999999,3.6900000000000004,3.6900000000000004,59.9,2020-08-20 20:11:28.653929,20261,37597,31998,2138,5815,39098,14,5758,513,374,7,1949,4949,996,50,1193,166,448,13,52,52,844,885874,65702
1367,1773,1643,1560,1675,1546,1445,1600,1578,1084,1472,719,890,1892,0,8,11,29,93,207,361,710,8.52,57.730000000000004,0.02,25.900000000000002,2.82,6.550000000000001,0.05,20.04,44.64,3.55,84.68,11.77,31.77,0.9199999999999999,3.6900000000000004,3.6900000000000004,59.93000000000001,2020-08-21 21:59:19.581511,20261,38242,32525,2197,5872,39795,14,5758,513,374,7,1949,4949,996,50,1194,166,448,13,52,52,845,896106,66061
