# Cases Race/Ethnicity: American Indian or Alaska Native (Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Not Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Unknown Ethnicity),# Cases Race/Ethnicity: Asian (Hispanic),# Cases Race/Ethnicity: Asian (Not Hispanic),# Cases Race/Ethnicity: Asian (Unknown Ethnicity),# Cases Race/Ethnicity: Black or African American (Hispanic),# Cases Race/Ethnicity: Black or African American (Not Hispanic),# Cases Race/Ethnicity: Black or African American (Unknown Ethnicity),# Cases Race/Ethnicity: Other Race (Hispanic),# Cases Race/Ethnicity: Other Race (Not Hispanic),# Cases Race/Ethnicity: Other Race (Unknown Ethnicity),# Cases Race/Ethnicity: Unknown Race (Hispanic),# Cases Race/Ethnicity: Unknown Race (Not Hispanic),# Cases Race/Ethnicity: Unknown Race (Unknown Ethnicity),# Cases Race/Ethnicity: White (Hispanic),# Cases Race/Ethnicity: White (Not Hispanic),# Cases Race/Ethnicity: White (Unknown Ethnicity),County Name,Report Date,Total Cases
0,1,0,0,4,0,0,370,74,4,15,22,0,3,29,47,125,45,ADAMS,08/24/2020,739
0,1,0,0,0,1,0,34,6,4,5,18,0,5,191,2,218,41,ALCORN,08/24/2020,526
0,0,0,0,1,0,0,73,20,0,2,7,0,2,45,2,94,16,AMITE,08/24/2020,262
0,2,2,0,0,0,0,243,51,5,6,12,0,1,50,1,167,31,ATTALA,08/24/2020,571
0,0,0,0,0,0,0,51,15,7,1,28,0,0,52,1,21,19,BENTON,08/24/2020,195
0,2,5,0,2,0,1,547,271,5,19,47,0,20,240,2,133,57,BOLIVAR,08/24/2020,1351
0,1,0,1,0,0,0,122,9,26,3,16,1,3,104,18,125,22,CALHOUN,08/24/2020,451
0,0,6,0,0,0,1,84,20,0,1,9,0,0,16,2,95,50,CARROLL,08/24/2020,284
1,0,0,0,0,0,6,251,47,8,7,26,1,2,53,9,132,19,CHICKASAW,08/24/2020,562
0,0,0,0,0,0,0,43,14,0,1,4,0,0,25,0,51,13,CHOCTAW,08/24/2020,151
0,0,0,0,1,0,1,194,89,0,1,24,0,0,84,0,21,11,CLAIBORNE,08/24/2020,426
0,0,0,0,1,0,0,147,16,3,6,14,0,1,30,0,157,41,CLARKE,08/24/2020,416
0,0,0,0,0,0,0,271,47,1,4,16,0,0,21,1,75,13,CLAY,08/24/2020,449
0,0,0,0,0,0,0,299,158,3,9,107,1,8,205,7,76,37,COAHOMA,08/24/2020,910
0,3,1,0,1,0,3,492,99,45,20,115,1,4,94,5,121,34,COPIAH,08/24/2020,1038
0,0,0,0,0,0,1,215,46,10,3,29,1,6,64,4,268,55,COVINGTON,08/24/2020,702
0,6,0,3,21,5,10,971,221,125,66,149,14,20,1503,95,875,236,DESOTO,08/24/2020,4320
0,0,1,0,6,2,1,550,144,108,23,167,3,7,260,17,578,180,FORREST,08/24/2020,2047
0,0,1,0,0,0,0,69,13,0,0,6,0,1,13,1,54,12,FRANKLIN,08/24/2020,170
0,0,0,0,6,1,0,57,99,2,6,33,0,1,69,7,227,164,GEORGE,08/24/2020,672
0,0,0,0,1,0,0,45,16,0,3,35,0,1,30,0,102,49,GREENE,08/24/2020,282
0,0,18,0,0,0,2,488,37,0,10,27,0,4,44,0,217,55,GRENADA,08/24/2020,902
0,0,0,0,1,0,0,51,8,2,9,39,0,0,36,11,255,45,HANCOCK,08/24/2020,457
3,3,2,1,29,11,3,666,129,39,44,159,1,13,437,90,1068,363,HARRISON,08/24/2020,3061
1,5,0,0,18,6,17,3402,673,80,50,643,5,16,554,18,696,108,HINDS,08/24/2020,6292
0,1,1,0,0,0,0,693,144,2,15,35,0,1,57,0,57,7,HOLMES,08/24/2020,1013
0,0,0,0,1,0,1,170,75,0,1,33,0,1,25,1,14,6,HUMPHREYS,08/24/2020,328
0,0,0,0,0,0,1,31,30,0,0,3,0,0,12,0,11,6,ISSAQUENA,08/24/2020,94
0,0,0,0,0,1,1,23,2,3,1,6,0,2,45,2,347,50,ITAWAMBA,08/24/2020,483
0,5,0,0,27,11,2,373,68,40,15,224,4,7,993,40,679,287,JACKSON,08/24/2020,2775
0,1,0,0,1,0,0,246,27,0,9,29,0,2,46,0,85,16,JASPER,08/24/2020,462
0,0,0,0,1,0,2,150,25,0,4,6,0,0,18,0,4,1,JEFFERSON,08/24/2020,211
0,2,0,0,0,0,0,138,24,1,5,2,0,1,12,0,74,12,JEFFERSON DAVIS,08/24/2020,271
0,12,2,0,5,1,1,621,72,183,27,182,3,4,99,34,681,153,JONES,08/24/2020,2080
0,10,17,0,1,1,2,132,24,0,4,4,0,0,17,0,39,9,KEMPER,08/24/2020,260
0,0,0,0,2,0,1,206,81,18,22,69,2,8,277,9,347,136,LAFAYETTE,08/24/2020,1178
0,1,1,0,3,1,0,249,60,44,9,146,3,10,176,12,518,127,LAMAR,08/24/2020,1360
0,4,5,0,8,0,0,727,118,3,8,42,0,3,80,5,505,126,LAUDERDALE,08/24/2020,1634
0,0,0,0,1,0,0,143,15,0,5,11,0,7,59,1,125,10,LAWRENCE,08/24/2020,377
1,60,133,0,0,0,1,269,35,69,5,25,3,1,48,11,171,30,LEAKE,08/24/2020,862
0,1,0,2,7,3,2,580,85,24,15,31,14,12,160,17,932,151,LEE,08/24/2020,2036
0,1,8,0,2,1,1,515,351,2,5,84,1,4,56,2,94,79,LEFLORE,08/24/2020,1206
0,0,0,0,0,0,1,227,17,5,23,53,0,4,112,3,436,45,LINCOLN,08/24/2020,926
0,1,0,0,3,0,0,476,84,3,5,32,1,2,270,4,293,53,LOWNDES,08/24/2020,1227
1,6,1,0,20,1,5,1029,187,144,44,216,6,15,227,13,745,132,MADISON,08/24/2020,2792
0,1,0,0,2,0,0,207,21,8,16,16,0,7,77,4,358,43,MARION,08/24/2020,760
0,1,0,0,1,0,0,298,74,16,10,39,1,2,237,12,126,62,MARSHALL,08/24/2020,879
0,1,0,0,1,0,0,284,43,0,11,25,0,5,78,0,433,93,MONROE,08/24/2020,974
0,4,20,0,0,0,0,148,27,0,2,7,0,0,17,0,126,39,MONTGOMERY,08/24/2020,390
2,277,419,0,4,1,1,196,44,4,7,32,0,0,61,3,264,88,NESHOBA,08/24/2020,1403
1,36,94,0,0,0,0,165,28,2,2,23,0,0,57,1,164,54,NEWTON,08/24/2020,627
0,0,1,0,0,0,0,271,53,1,5,30,0,1,71,0,53,24,NOXUBEE,08/24/2020,510
0,1,0,0,0,0,0,469,107,8,18,92,1,4,127,1,369,107,OKTIBBEHA,08/24/2020,1304
0,0,1,0,1,0,2,482,295,12,7,37,0,7,182,1,140,81,PANOLA,08/24/2020,1248
0,1,1,0,0,0,0,89,14,1,3,55,0,1,154,6,298,74,PEARL RIVER,08/24/2020,697
0,0,1,0,1,0,0,34,17,0,3,31,0,3,62,0,110,22,PERRY,08/24/2020,284
0,1,0,1,2,0,2,461,21,1,14,8,0,4,210,2,329,17,PIKE,08/24/2020,1073
0,0,0,0,0,1,0,101,32,82,4,43,14,8,148,25,349,176,PONTOTOC,08/24/2020,983
0,2,2,0,0,0,0,83,8,1,3,10,0,2,94,0,311,41,PRENTISS,08/24/2020,557
0,0,0,0,0,0,1,140,68,0,5,30,0,2,40,0,11,6,QUITMAN,08/24/2020,303
0,3,1,2,11,2,5,571,78,74,37,220,2,13,342,12,1110,205,RANKIN,08/24/2020,2688
3,4,4,0,0,0,1,367,33,194,8,28,2,1,125,19,245,35,SCOTT,08/24/2020,1069
