# Cases Race/Ethnicity: American Indian or Alaska Native (Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Not Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Unknown Ethnicity),# Cases Race/Ethnicity: Asian (Hispanic),# Cases Race/Ethnicity: Asian (Not Hispanic),# Cases Race/Ethnicity: Asian (Unknown Ethnicity),# Cases Race/Ethnicity: Black or African American (Hispanic),# Cases Race/Ethnicity: Black or African American (Not Hispanic),# Cases Race/Ethnicity: Black or African American (Unknown Ethnicity),# Cases Race/Ethnicity: Other Race (Hispanic),# Cases Race/Ethnicity: Other Race (Not Hispanic),# Cases Race/Ethnicity: Other Race (Unknown Ethnicity),# Cases Race/Ethnicity: Unknown Race (Hispanic),# Cases Race/Ethnicity: Unknown Race (Not Hispanic),# Cases Race/Ethnicity: Unknown Race (Unknown Ethnicity),# Cases Race/Ethnicity: White (Hispanic),# Cases Race/Ethnicity: White (Not Hispanic),# Cases Race/Ethnicity: White (Unknown Ethnicity),County Name,Report Date,Total Cases
0,0,0,0,1,0,0,136,5,3,12,5,0,1,3,19,42,5,ADAMS,06/21/2020,232
0,1,0,0,0,0,0,9,0,0,1,3,0,0,7,0,14,0,ALCORN,06/21/2020,35
0,0,0,0,0,0,0,39,3,0,0,3,0,2,4,1,20,3,AMITE,06/21/2020,75
0,2,2,0,0,0,0,181,13,3,3,2,0,0,13,0,113,4,ATTALA,06/21/2020,336
0,0,0,0,0,0,0,8,1,3,0,0,0,0,2,0,5,1,BENTON,06/21/2020,20
0,0,2,0,0,0,0,138,7,0,4,5,0,2,17,2,27,4,BOLIVAR,06/21/2020,208
0,0,0,0,0,0,0,34,2,3,1,1,0,0,9,2,41,3,CALHOUN,06/21/2020,96
0,0,0,0,0,0,1,58,3,0,0,1,0,0,8,0,55,7,CARROLL,06/21/2020,133
1,0,0,0,0,0,6,106,12,0,3,6,0,1,22,0,35,4,CHICKASAW,06/21/2020,196
0,0,0,0,0,0,0,34,1,0,0,0,0,0,7,0,20,3,CHOCTAW,06/21/2020,65
0,0,0,0,1,0,0,81,25,0,0,2,0,0,42,0,13,4,CLAIBORNE,06/21/2020,168
0,0,0,0,1,0,0,96,2,2,6,4,0,1,4,0,63,3,CLARKE,06/21/2020,182
0,0,0,0,0,0,0,144,34,1,3,3,0,0,10,1,11,3,CLAY,06/21/2020,210
0,0,0,0,0,0,0,111,13,3,3,6,1,0,5,5,12,2,COAHOMA,06/21/2020,161
0,2,0,0,1,0,0,284,25,28,14,35,0,0,32,2,46,7,COPIAH,06/21/2020,476
0,0,0,0,0,0,1,113,11,4,0,6,0,1,24,3,66,9,COVINGTON,06/21/2020,238
0,2,0,0,8,2,4,304,24,47,18,25,4,0,159,34,256,25,DESOTO,06/21/2020,912
0,0,0,0,5,1,1,256,39,96,12,16,1,1,55,13,193,40,FORREST,06/21/2020,729
0,0,0,0,0,0,0,14,3,0,0,0,0,1,0,1,10,1,FRANKLIN,06/21/2020,30
0,0,0,0,1,0,0,4,2,1,2,4,0,1,4,5,26,3,GEORGE,06/21/2020,53
0,0,0,0,0,0,0,27,3,0,1,2,0,0,2,0,31,4,GREENE,06/21/2020,70
0,0,0,0,0,0,0,104,5,0,1,5,0,0,11,0,65,4,GRENADA,06/21/2020,195
0,0,0,0,1,0,0,17,0,0,3,2,0,0,1,5,70,4,HANCOCK,06/21/2020,103
0,1,0,0,5,1,2,170,11,16,9,16,1,0,26,22,173,11,HARRISON,06/21/2020,464
0,4,0,0,6,1,3,999,88,39,14,79,2,2,130,14,132,23,HINDS,06/21/2020,1536
0,1,0,0,0,0,0,413,20,1,8,7,0,0,6,0,32,1,HOLMES,06/21/2020,489
0,0,0,0,0,0,0,64,8,0,0,1,0,1,8,0,10,1,HUMPHREYS,06/21/2020,93
0,0,0,0,0,0,0,15,0,1,1,2,0,0,9,0,77,4,ITAWAMBA,06/21/2020,109
0,2,1,0,3,0,0,158,15,14,7,7,1,0,18,10,149,17,JACKSON,06/21/2020,402
0,0,0,0,1,0,0,142,9,0,7,9,0,1,7,0,36,0,JASPER,06/21/2020,212
0,0,0,0,0,0,0,55,3,0,1,0,0,0,1,0,2,1,JEFFERSON,06/21/2020,63
0,2,0,0,0,0,0,67,2,1,1,1,0,0,3,0,12,1,JEFFERSON DAVIS,06/21/2020,90
0,8,1,0,1,1,1,335,28,125,14,54,2,0,32,29,259,38,JONES,06/21/2020,928
0,6,10,0,0,0,2,106,5,0,5,2,0,0,4,0,26,2,KEMPER,06/21/2020,168
0,0,0,0,1,0,1,70,12,3,16,21,1,1,37,1,78,12,LAFAYETTE,06/21/2020,254
0,0,1,0,0,0,0,98,17,24,3,7,2,2,40,5,123,19,LAMAR,06/21/2020,341
0,3,1,0,7,0,0,488,27,3,6,15,0,2,18,3,252,22,LAUDERDALE,06/21/2020,847
0,0,0,0,1,0,0,84,4,0,0,5,0,1,5,0,28,1,LAWRENCE,06/21/2020,129
1,41,121,0,0,0,1,173,4,66,4,4,3,0,15,10,52,8,LEAKE,06/21/2020,503
0,1,0,0,1,0,2,156,29,4,7,7,0,1,36,3,118,9,LEE,06/21/2020,374
0,0,0,0,1,0,1,309,23,0,2,11,0,0,11,0,60,2,LEFLORE,06/21/2020,420
0,0,0,0,0,0,0,116,13,3,5,8,0,0,18,1,197,17,LINCOLN,06/21/2020,378
0,0,0,0,1,0,0,243,16,2,1,1,0,0,65,1,51,3,LOWNDES,06/21/2020,384
0,2,0,0,5,0,1,509,47,83,16,41,0,1,68,11,194,17,MADISON,06/21/2020,995
0,0,0,0,1,0,0,68,8,5,1,2,0,0,5,1,87,8,MARION,06/21/2020,186
0,0,0,0,1,0,0,64,5,2,1,2,2,0,30,5,28,2,MARSHALL,06/21/2020,142
0,0,0,0,0,0,0,128,16,0,7,4,0,1,19,0,131,5,MONROE,06/21/2020,311
0,1,0,0,0,0,0,52,4,0,1,2,0,0,6,0,37,1,MONTGOMERY,06/21/2020,104
1,187,410,0,1,0,1,126,12,1,1,8,0,2,27,3,104,9,NESHOBA,06/21/2020,893
0,28,92,0,0,0,0,117,6,2,0,3,0,0,16,1,53,5,NEWTON,06/21/2020,323
0,0,0,0,0,0,0,161,6,0,2,1,0,1,25,0,22,5,NOXUBEE,06/21/2020,223
0,1,0,0,0,0,0,235,23,1,7,14,0,0,25,0,108,6,OKTIBBEHA,06/21/2020,420
0,0,0,0,0,0,0,97,18,0,1,1,0,1,38,0,20,3,PANOLA,06/21/2020,179
0,0,1,0,0,0,0,62,4,0,1,10,0,1,7,1,124,15,PEARL RIVER,06/21/2020,226
0,0,1,0,0,0,0,12,2,0,0,1,0,0,1,0,32,6,PERRY,06/21/2020,55
0,0,0,0,2,0,0,167,4,0,3,4,0,0,13,0,83,2,PIKE,06/21/2020,278
0,0,0,0,0,0,0,28,5,12,1,0,2,0,49,2,24,5,PONTOTOC,06/21/2020,128
0,0,0,0,0,0,0,17,2,0,1,3,0,0,15,0,36,4,PRENTISS,06/21/2020,78
0,0,0,0,0,0,0,37,2,0,0,4,0,1,1,0,4,0,QUITMAN,06/21/2020,49
0,2,1,1,2,1,1,167,8,39,14,22,0,2,52,7,260,32,RANKIN,06/21/2020,611
3,3,4,0,0,0,1,281,7,173,5,3,2,1,67,18,125,7,SCOTT,06/21/2020,700
0,0,1,0,0,0,0,4,2,0,0,1,0,0,4,0,1,0,SHARKEY,06/21/2020,13
0,2,0,0,0,0,0,51,8,1,0,4,0,1,32,0,53,14,SIMPSON,06/21/2020,166
0,0,0,0,0,0,0,58,3,1,2,0,0,0,10,0,110,3,SMITH,06/21/2020,187
