# Deaths Race/Ethnicity: American Indian or Alaska Native (Hispanic),# Deaths Race/Ethnicity: American Indian or Alaska Native (Not Hispanic),# Deaths Race/Ethnicity: American Indian or Alaska Native (Unknown Ethnicity),# Deaths Race/Ethnicity: Asian (Hispanic),# Deaths Race/Ethnicity: Asian (Not Hispanic),# Deaths Race/Ethnicity: Asian (Unknown Ethnicity),# Deaths Race/Ethnicity: Black or African American (Hispanic),# Deaths Race/Ethnicity: Black or African American (Not Hispanic),# Deaths Race/Ethnicity: Black or African American (Unknown Ethnicity),# Deaths Race/Ethnicity: Other Race (Hispanic),# Deaths Race/Ethnicity: Other Race (Not Hispanic),# Deaths Race/Ethnicity: Other Race (Unknown Ethnicity),# Deaths Race/Ethnicity: Unknown Race (Hispanic),# Deaths Race/Ethnicity: Unknown Race (Not Hispanic),# Deaths Race/Ethnicity: Unknown Race (Unknown Ethnicity),# Deaths Race/Ethnicity: White (Hispanic),# Deaths Race/Ethnicity: White (Not Hispanic),# Deaths Race/Ethnicity: White (Unknown Ethnicity),County Name,Report Date,Total Deaths
0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,8,0,ADAMS,08/24/2020,28
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,ALCORN,08/24/2020,6
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,AMITE,08/24/2020,6
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,0,ATTALA,08/24/2020,25
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BENTON,08/24/2020,1
0,0,0,0,0,0,0,30,4,0,0,0,0,0,1,0,6,1,BOLIVAR,08/24/2020,42
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,CALHOUN,08/24/2020,9
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,1,CARROLL,08/24/2020,11
1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,8,0,CHICKASAW,08/24/2020,20
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,CHOCTAW,08/24/2020,4
0,0,0,0,0,0,0,9,3,0,0,0,0,0,1,0,2,0,CLAIBORNE,08/24/2020,15
0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,15,0,CLARKE,08/24/2020,28
0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,1,1,CLAY,08/24/2020,14
0,0,0,0,0,0,0,7,4,1,0,0,0,0,0,0,2,0,COAHOMA,08/24/2020,14
