NAMELABEL,ALLFIPS,LAST_UPDATE,Total,F_0_9,M_0_9,T_0_9,F_10_19,M_10_19,T_10_19,F_20_29,M_20_29,T_20_29,F_30_39,M_30_39,T_30_39,F_40_49,M_40_49,T_40_49,F_50_59,M_50_59,T_50_59,F_60_69,M_60_69,T_60_69,F_70_79,M_70_79,T_70_79,F_80_89,M_80_89,T_80_89,F_90_99,M_90_99,T_90_99,F_100,M_100,T_100,Notes,Scrape_Time
Gallatin,30031,2/6/19 19:00,58,0,0,0,2,1,3,8,5,13,4,7,11,6,4,10,5,4,9,3,7,10,1,0,1,1,0,1,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",54:15.1
Yellowstone,30111,10/14/16 20:00,26,0,0,0,0,2,2,5,4,9,1,2,3,2,0,2,3,2,5,2,1,3,0,0,0,1,1,2,0,0,0,0,0,0,,54:15.1
Missoula,30063,2/6/19 19:00,11,0,0,0,0,0,0,1,2,3,1,0,1,1,1,2,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,54:15.1
Lewis and Clark,30049,2/6/19 19:00,10,0,0,0,0,1,1,0,0,0,1,2,3,1,1,2,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,54:15.1
Silver Bow,30093,12/30/09 19:00,9,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0,,54:15.1
Cascade,30013,3/30/15 20:00,7,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54:15.1
Flathead,30029,2/6/19 19:00,7,0,0,0,0,0,0,1,0,1,1,2,3,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",54:15.1
Toole,30101,12/30/09 19:00,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,,54:15.1
Madison,30057,2/6/19 19:00,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,54:15.1
Broadwater,30007,9/8/15 20:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,54:15.1
Lincoln,30053,12/30/09 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,54:15.1
Park,30067,2/6/19 19:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54:15.1
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54:15.1
Lake,30047,2/6/19 19:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,54:15.1
Deer Lodge,30023,9/8/15 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54:15.1
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54:15.1
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54:15.1
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,54:15.1
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,54:15.1
Gallatin,30031,2/6/19 19:00,58,0,0,0,2,1,3,8,5,13,4,7,11,6,4,10,5,4,9,3,7,10,1,0,1,1,0,1,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",06:59.0
Yellowstone,30111,10/14/16 20:00,26,0,0,0,0,2,2,5,4,9,1,2,3,2,0,2,3,2,5,2,1,3,0,0,0,1,1,2,0,0,0,0,0,0,,06:59.0
Missoula,30063,2/6/19 19:00,11,0,0,0,0,0,0,1,2,3,1,0,1,1,1,2,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,06:59.0
