TestDate,LastDayTestCount,OverallTestCount,TotalHospitalizations,ActiveHospitalizations,Deaths,ConfirmedCases,Recovered,Scrape_Time
2020-04-12,185,9098,47,21,7,394,171,2020-04-13 23:50:46.404309
2020-04-13,136,9234,50,24,5,399,197,2020-04-14 20:01:59.980657
2020-04-14,349,9583,51,21,5,404,209,2020-04-15 20:13:15.578673
2020-04-15,353,9936,52,21,11,415,218,2020-04-16 20:17:36.958666
2020-04-16,308,10244,54,21,7,422,233,2020-04-17 20:04:50.083076
2020-04-17,325,10569,55,17,4,426,243,2020-04-18 20:11:51.038960
2020-04-18,329,10898,55,18,7,433,243,2020-04-19 20:25:18.808643
2020-04-20,153,11051,57,19,0,433,243,2020-04-20 20:22:03.833064
2020-04-20,190,11241,59,14,4,437,273,2020-04-21 20:09:42.226365
2020-04-21,342,11583,59,13,2,439,296,2020-04-22 20:23:39.363213
2020-04-22,292,11875,59,13,3,442,306,2020-04-23 20:21:15.930394
2020-04-23,252,12127,59,12,2,444,325,2020-04-24 20:40:54.581401
2020-04-24,370,12497,61,11,1,445,339,2020-04-25 20:30:48.016011
2020-04-25,365,12862,61,11,3,448,339,2020-04-26 20:03:37.574238
2020-04-26,171,13033,61,11,1,449,352,2020-04-27 20:44:00.169036
2020-04-27,158,13191,61,10,2,451,356,2020-04-28 20:39:24.618614
2020-04-28,337,13528,61,5,0,451,382,2020-04-29 19:58:40.549406
2020-04-29,386,13914,61,5,2,453,392,2020-04-30 20:57:48.587341
2020-04-30,289,14203,61,5,0,453,397,2020-05-01 20:27:17.311089
2020-05-01,432,14635,61,5,2,455,404,2020-05-02 20:33:57.282294
2020-05-02,372,15007,61,5,0,455,404,2020-05-03 20:33:26.803244
2020-05-03,81,15088,62,6,2,457,404,2020-05-04 19:46:18.392537
2020-05-04,184,15272,62,6,0,456,410,2020-05-05 20:19:57.199178
2020-05-05,632,19704,62,6,0,456,417,2020-05-06 20:16:57.464485
2020-05-07,465,20247,62,6,0,456,417,2020-05-07 20:56:18.295691
2020-05-07,698,20945,62,6,2,458,420,2020-05-08 22:05:04.168412
2020-05-08,384,21329,62,4,1,458,422,2020-05-09 20:28:35.577954
