LastDayTestDate,OverallTestDate,LastDayTestCount,OverallTestCount,Hospitalizations,Scrape_Time
2020-03-28,2020-03-27,456,3841,8,2020-03-29 13:06:58.961008
2020-03-29,2020-03-29,228,4069,8,2020-03-29 19:35:43.389204
2020-03-30,2020-03-30,279,4411,12,2020-03-31 00:17:58.551008
2020-03-31,2020-03-31,147,4558,15,2020-03-31 20:28:32.249922
2020-04-01,2020-04-01,170,5088,19,2020-04-01 20:08:42.010996
2020-04-01,2020-04-01,170,5088,19,2020-04-01 20:11:57.779254
2020-04-02,2020-04-02,238,5426,24,2020-04-02 20:26:39.117814
2020-04-03,2020-04-03,339,6057,24,2020-04-03 20:24:53.133228
2020-04-04,2020-04-04,342,6519,24,2020-04-04 22:06:48.089286
2020-04-05,2020-04-05,186,6789,24,2020-04-05 20:15:37.946721
2020-04-06,2020-04-06,196,6985,27,2020-04-06 20:29:19.885169
2020-04-06,2020-04-06,196,6985,27,2020-04-07 20:05:16.592264
2020-04-07,2020-04-07,413,7398,31,2020-04-08 20:19:22.485408
2020-04-07,2020-04-07,413,7398,31,2020-04-09 19:52:08.015257
2020-04-07,2020-04-07,413,7398,31,2020-04-10 20:21:14.003175
2020-04-07,2020-04-07,413,7398,31,2020-04-11 19:53:52.548653
2020-04-07,2020-04-07,413,7398,31,2020-04-12 20:39:47.156219
2020-04-07,2020-04-07,413,7398,31,2020-04-13 20:22:16.795673
