Age_0_9,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_plus,Deaths,Hospitalized,LastUpdated,Negative,PctFemale,PctMale,PositiveCases,Recovered,Scrape_Time,Source_CloseContact,Source_CommunitySpread,Source_PossibleTravel,Source_Travel,Source_UnderInvestigation,TotalTested
1,1,16,20,14,15,16,7,4,1,16,2020-03-28 16:00:00,3013,45,49,94,18,2020-03-29 00:56:06.567990,9,38,6,25,16,3107
1,1,16,22,15,15,16,7,5,1,17,2020-03-29 10:00:00,3355,45,49,98,18,2020-03-29 13:15:13.733853,9,41,8,25,15,3453
1,1,16,22,15,15,16,7,5,1,18,2020-03-29 15:46:00,3626,47,51,98,19,2020-03-29 19:35:44.787728,9,41,8,25,15,3724
1,1,18,29,16,16,16,7,5,3,19,2020-03-30 16:00:00,3800,53,56,109,20,2020-03-30 20:37:32.952392,9,45,11,28,16,3909
1,2,22,33,19,20,17,7,5,3,21,2020-03-31 15:55:00,4131,61,65,126,30,2020-03-31 20:28:34.261695,12,49,13,31,21,4257
2,5,24,36,24,22,20,9,5,3,26,2020-04-01 16:02:00,4480,72,75,147,39,2020-04-01 20:08:44.216227,14,56,13,33,31,4627
2,5,24,36,24,22,20,9,5,3,26,2020-04-01 16:02:00,4480,72,75,147,39,2020-04-01 20:12:07.174916,14,56,13,33,31,4627
2,5,25,37,26,23,23,12,6,3,28,2020-04-02 10:56:00,4821,80,79,159,43,2020-04-02 20:26:41.593310,15,62,15,33,34,4980
2,6,27,39,29,25,25,14,6,3,29,2020-04-03 11:00:00,5625,90,83,173,55,2020-04-03 20:24:54.879856,19,67,18,34,35,5798
3,8,29,39,32,26,29,14,6,3,30,2020-04-04 11:00:00,6021,97,89,186,63,2020-04-04 20:10:32.743586,26,68,24,28,40,6207
