CurrentlyHospitalized,Deaths,Deaths_Age_0_9,Deaths_Age_10_19,Deaths_Age_20_29,Deaths_Age_30_39,Deaths_Age_40_49,Deaths_Age_50_59,Deaths_Age_60_69,Deaths_Age_70_79,Deaths_Age_80_plus,Hosp_Age_0_9,Hosp_Age_10_19,Hosp_Age_20_29,Hosp_Age_30_39,Hosp_Age_40_49,Hosp_Age_50_59,Hosp_Age_60_69,Hosp_Age_70_79,Hosp_Age_80_plus,LastUpdated,Negative,NumFemale,NumMale,PositiveCases,Recovered,Recovered_Age_0_9,Recovered_Age_10_19,Recovered_Age_20_29,Recovered_Age_30_39,Recovered_Age_40_49,Recovered_Age_50_59,Recovered_Age_60_69,Recovered_Age_70_79,Recovered_Age_80_plus,Scrape_Time,Source_CloseContact,Source_CommunitySpread,Source_HouseholdContact,Source_PossibleTravel,Source_Travel,Source_UnderInvestigation,TotalCases_Age_0_9,TotalCases_Age_10_19,TotalCases_Age_20_29,TotalCases_Age_30_39,TotalCases_Age_40_49,TotalCases_Age_50_59,TotalCases_Age_60_69,TotalCases_Age_70_79,TotalCases_Age_80_plus,TotalHospitalized,TotalTested
13,8,0,0,0,0,0,1,1,4,2,1,0,1,3,3,6,13,9,4,2020-04-13 11:00:00,10450,179,152,331,127,2,5,25,29,19,17,21,7,2,2020-04-14 00:19:39.948754,72,129,54,45,17,14,6,17,55,74,54,38,54,22,11,40,10781
13,9,0,0,0,0,0,1,1,4,3,1,0,2,4,3,6,13,9,4,2020-04-14 11:00:00,10575,184,157,341,138,2,5,25,32,21,18,26,7,2,2020-04-14 20:02:07.136858,76,135,56,45,17,12,6,17,56,77,57,39,54,23,12,42,10916
13,9,0,0,0,0,0,1,1,4,3,1,1,2,4,3,6,13,10,4,2020-04-15 11:00:00,10952,190,175,365,142,2,5,26,32,22,18,27,8,2,2020-04-15 20:13:21.290312,80,151,56,45,17,16,6,20,60,80,66,42,55,24,12,44,11317
14,9,0,0,0,0,0,1,1,4,3,1,1,2,4,3,6,13,10,5,2020-04-16 11:00:00,11311,197,196,393,163,2,5,31,37,27,18,31,10,2,2020-04-16 21:18:39.355954,88,169,63,50,13,10,7,20,64,89,76,45,56,24,12,45,11704
16,9,0,0,0,0,0,1,1,4,3,1,1,2,4,4,6,13,11,5,2020-04-17 11:00:00,11903,218,221,439,172,2,7,33,39,28,18,32,11,2,2020-04-17 20:04:55.942785,107,181,69,50,13,19,8,21,69,100,84,50,59,27,21,47,12342
13,9,0,0,0,0,0,1,1,4,3,1,1,2,4,4,6,13,11,5,2020-04-18 11:08:00,12435,245,283,528,183,2,8,35,40,31,19,33,13,2,2020-04-18 20:11:57.024844,117,198,73,51,13,76,11,22,88,138,96,56,68,28,21,47,12963
15,10,0,0,0,0,0,1,1,5,3,1,1,2,4,4,9,15,10,5,2020-04-19 11:00:00,13045,276,309,585,189,2,8,35,42,34,21,33,12,2,2020-04-19 20:25:26.014658,136,214,80,51,13,91,18,23,102,156,102,62,71,28,23,51,13630
17,13,0,0,0,0,0,1,1,6,5,1,1,2,6,4,9,15,10,5,2020-04-20 11:00:00,14120,299,328,627,189,2,8,35,42,34,21,33,12,2,2020-04-20 20:22:09.362018,161,235,83,51,13,84,18,24,112,174,109,64,72,30,24,53,14747
17,13,0,0,0,0,0,1,1,6,5,1,1,2,6,4,9,15,10,6,2020-04-21 11:17:00,14343,306,338,644,214,2,10,39,52,38,24,35,12,2,2020-04-21 20:09:48.140305,172,244,83,53,13,79,18,24,115,178,113,67,74,30,25,54,14987
23,14,0,0,0,0,1,1,1,6,5,1,1,2,7,5,11,16,12,7,2020-04-22 11:10:00,14910,322,357,679,229,2,11,42,55,42,24,38,13,2,2020-04-22 20:23:45.076898,177,273,97,53,13,66,21,26,122,190,118,68,76,33,25,62,15589
18,15,0,0,0,0,1,1,1,6,6,1,1,2,8,5,11,16,13,8,2020-04-23 11:02:00,15621,336,373,709,269,2,11,51,72,46,28,44,13,2,2020-04-23 20:21:22.634312,185,296,99,53,13,63,22,26,128,199,121,74,79,33,27,65,16330
17,15,0,0,0,0,1,1,1,6,6,1,1,2,8,6,11,16,14,8,2020-04-24 11:00:00,16701,359,389,748,285,2,11,55,79,49,28,46,13,2,2020-04-24 20:41:00.451921,191,318,105,53,13,68,22,28,135,213,128,80,79,34,29,67,17449
17,16,0,0,0,0,1,1,1,6,7,1,1,2,11,6,11,16,14,8,2020-04-25 11:00:00,18547,386,417,803,310,2,13,61,85,58,28,48,13,2,2020-04-25 20:30:57.345831,205,340,116,53,13,76,24,34,146,223,135,86,82,37,36,70,19350
18,17,0,0,0,0,1,1,1,6,8,1,1,2,11,6,11,16,14,9,2020-04-26 11:00:00,19850,414,453,867,326,4,13,64,90,60,30,50,13,2,2020-04-26 20:03:43.378597,228,364,131,53,14,77,34,38,164,238,140,93,85,37,38,71,20447
23,19,0,0,0,0,1,1,1,6,10,1,1,2,11,8,11,18,16,9,2020-04-27 11:00:00,21492,442,500,942,350,5,13,69,101,64,33,50,13,2,2020-04-27 20:53:30.581021,253,378,153,53,14,91,36,45,182,255,156,99,90,38,41,77,22434
25,19,0,0,0,0,1,1,1,6,10,1,1,2,11,9,11,19,16,9,2020-04-28 11:00:00,22732,472,519,991,409,8,14,80,123,72,42,52,16,2,2020-04-28 20:39:30.788220,274,387,172,53,14,91,40,50,197,266,158,105,94,39,42,79,23723
28,19,0,0,0,0,1,1,1,6,10,1,1,2,12,9,11,20,16,10,2020-04-29 11:00:00,24503,495,538,1033,437,11,15,86,129,77,46,55,16,2,2020-04-29 19:58:46.196869,293,401,182,53,14,90,43,52,208,273,164,109,96,41,47,82,25536
30,19,0,0,0,0,1,1,1,6,10,1,1,2,12,9,13,21,16,10,2020-04-30 11:00:00,26393,515,552,1067,458,13,19,87,136,81,47,56,16,3,2020-04-30 20:57:54.735450,298,412,185,53,14,105,44,53,213,282,171,112,98,42,52,85,27460
27,23,0,0,0,0,1,1,1,7,13,1,1,2,12,9,13,21,16,11,2020-05-01 11:00:00,28418,539,568,1107,482,14,19,88,147,85,52,56,17,4,2020-05-01 20:27:23.741393,312,438,198,53,14,92,46,54,229,289,176,116,102,42,53,86,29525
32,24,0,0,0,0,1,1,1,7,14,1,1,2,13,11,13,21,16,12,2020-05-02 11:00:00,30394,569,584,1153,510,14,22,93,157,90,55,57,17,5,2020-05-02 20:34:03.592242,325,455,205,53,14,101,48,57,238,295,183,125,104,43,60,90,31547
31,25,0,0,0,0,1,1,1,7,15,1,1,2,13,11,13,21,16,12,2020-05-03 11:00:00,32162,586,605,1191,517,14,24,95,158,90,56,57,17,6,2020-05-03 20:33:32.454663,326,453,205,54,14,139,51,59,245,305,189,130,105,46,61,90,33353
31,25,0,0,0,0,1,1,1,7,15,1,1,2,13,10,16,22,17,12,2020-05-04 11:00:00,33529,609,616,1225,540,16,23,100,167,96,57,58,17,6,2020-05-04 19:46:24.056291,366,468,215,55,14,107,51,62,251,319,192,133,107,47,63,94,34754
31,25,0,0,0,0,1,1,1,7,15,1,1,2,14,10,16,22,17,12,2020-05-05 11:00:00,35155,641,625,1266,559,16,24,104,172,98,59,63,17,6,2020-05-05 20:20:02.621429,374,477,218,55,14,128,51,64,260,328,198,139,108,49,69,95,36421
32,31,0,0,0,0,1,2,1,7,20,1,1,3,14,10,17,22,17,12,2020-05-06 11:00:00,37309,669,654,1323,582,18,27,107,177,100,63,64,17,9,2020-05-06 20:17:04.400453,396,495,237,55,15,125,54,69,273,340,207,144,112,50,74,97,38632
35,31,0,0,0,0,1,2,1,7,20,1,1,4,14,11,19,22,18,12,2020-05-07 11:00:00,39496,697,674,1371,601,19,27,112,183,102,64,67,17,10,2020-05-07 20:56:23.921298,407,512,244,56,15,137,56,72,281,351,211,147,118,54,81,102,40867
33,33,0,0,0,0,1,2,1,8,21,1,1,4,15,12,19,22,18,12,2020-05-08 11:00:00,41076,722,703,1425,714,21,37,142,211,119,75,80,19,10,2020-05-08 22:05:09.202737,429,530,266,56,15,129,62,74,293,362,218,157,119,56,84,104,42501
34,35,0,0,0,0,2,2,1,8,22,1,1,4,15,12,22,23,19,13,2020-05-09 11:00:00,42469,742,722,1464,762,30,39,149,222,127,81,83,20,11,2020-05-09 20:28:41.496976,446,547,273,56,16,126,62,76,303,366,226,161,121,58,91,110,43933
29,35,0,0,0,0,2,2,1,8,22,1,1,4,15,12,22,23,19,13,2020-05-10 10:10:00,43378,760,731,1491,792,31,40,159,227,133,84,83,24,11,2020-05-10 20:06:19.998934,461,555,275,56,16,128,62,78,310,375,228,163,121,59,95,110,44869
34,36,0,0,0,0,2,2,1,8,23,1,2,4,17,12,22,24,19,14,2020-05-11 10:10:00,45496,782,736,1518,846,33,43,171,243,140,92,85,25,14,2020-05-11 20:50:34.389160,481,565,278,56,16,122,61,79,311,376,232,165,125,61,108,115,47014
38,38,0,0,0,0,2,2,1,9,24,1,2,4,17,13,24,25,19,17,2020-05-12 10:10:00,46261,804,767,1571,877,33,44,181,252,145,92,89,26,15,2020-05-12 20:16:22.670263,501,589,283,56,17,125,61,81,318,387,244,175,127,62,116,122,47832
37,40,0,0,0,0,2,2,1,9,26,1,2,4,18,14,27,25,19,17,2020-05-13 11:00:00,47298,844,803,1647,969,42,52,200,272,161,102,92,29,19,2020-05-13 20:08:08.480526,518,611,293,56,16,153,64,86,326,404,256,188,135,66,122,127,48945
38,40,0,0,0,0,2,2,1,9,26,1,2,4,18,15,27,25,19,18,2020-05-14 11:00:00,48599,884,828,1712,1007,43,54,210,279,167,105,97,29,23,2020-05-14 21:04:27.282641,540,628,303,56,16,169,74,97,338,416,266,196,136,68,121,129,50311
35,42,0,0,0,0,3,2,1,9,27,1,1,4,19,15,27,26,19,18,2020-05-15 11:00:00,49954,917,844,1761,1071,44,56,230,292,179,111,101,32,26,2020-05-15 20:23:42.885391,582,662,335,56,16,110,75,97,345,431,277,204,142,69,121,130,51715
33,42,0,0,0,0,3,2,1,9,27,1,1,4,19,15,27,26,19,18,2020-05-16 11:00:00,51639,964,884,1848,1111,44,61,239,301,187,114,101,36,28,2020-05-16 22:10:41.953857,620,684,352,56,16,120,85,102,372,442,284,211,147,72,133,130,53487
30,43,0,0,0,0,3,2,1,9,28,1,1,4,19,15,27,26,19,18,2020-05-17 11:00:00,53321,982,918,1900,1178,48,65,252,317,195,126,105,36,34,2020-05-17 19:55:55.456672,637,703,372,56,16,116,87,113,381,451,288,221,150,75,134,130,55221
32,44,0,0,0,0,3,2,1,9,29,1,1,4,19,15,29,27,19,18,2020-05-18 11:00:00,54630,998,933,1931,1219,50,70,263,326,197,133,106,37,37,2020-05-18 20:19:12.723698,671,713,378,56,16,97,92,115,387,456,294,224,153,75,135,133,56561
32,45,0,0,0,0,3,2,1,10,29,1,1,4,21,15,29,27,19,18,2020-05-19 11:00:00,55737,1032,962,1994,1269,54,73,272,338,203,138,109,41,41,2020-05-19 20:00:12.211195,694,730,398,56,16,100,100,126,400,463,305,229,159,76,136,135,57731
38,49,0,0,0,0,3,2,3,10,31,2,1,5,20,15,33,29,19,18,2020-05-20 11:00:00,57105,1092,1003,2095,1302,56,75,281,345,208,140,109,43,45,2020-05-20 20:05:14.848190,720,762,417,57,16,123,104,138,422,473,317,241,171,77,152,142,59200
39,51,0,0,0,0,3,2,3,11,32,2,1,5,20,15,33,29,21,18,2020-05-21 11:00:00,59050,1156,1073,2229,1340,57,78,289,351,212,149,113,43,48,2020-05-21 20:58:41.073060,767,814,428,57,16,147,110,147,456,506,335,258,181,81,155,144,61279
39,52,0,0,0,0,3,2,3,11,33,2,1,5,20,17,33,29,21,19,2020-05-22 11:00:00,60513,1212,1105,2317,1405,61,80,301,365,225,157,118,44,54,2020-05-22 20:07:06.655452,818,847,437,57,16,142,112,153,478,519,349,269,190,88,159,147,62830
39,52,0,0,0,0,3,2,3,11,33,2,1,6,21,17,33,30,21,19,2020-05-23 11:00:00,61783,1246,1119,2365,1451,62,83,306,374,233,166,122,47,58,2020-05-23 20:39:21.828113,850,864,444,57,16,134,113,156,497,524,355,273,192,91,164,150,64148
40,53,0,0,0,0,3,2,3,11,34,2,1,6,21,17,34,31,21,19,2020-05-24 11:00:00,63070,1275,1143,2418,1496,67,88,317,384,237,174,122,49,58,2020-05-24 20:35:02.844436,872,877,459,57,16,137,119,163,513,532,364,275,196,91,165,152,65488
41,54,0,0,0,0,3,2,3,11,35,2,1,6,21,18,34,32,21,19,2020-05-25 11:00:00,63893,1294,1163,2457,1551,70,93,327,394,248,182,127,50,60,2020-05-25 20:51:07.100309,890,890,476,57,16,128,125,167,524,538,366,278,199,92,168,154,66350
40,54,0,0,0,0,3,2,3,11,35,2,1,6,23,18,34,32,21,19,2020-05-26 11:06:00,64432,1271,1151,2422,1701,82,109,360,419,279,198,138,55,61,2020-05-26 21:05:29.713694,874,863,490,57,16,122,130,171,508,532,362,267,190,95,167,156,66854
40,56,0,0,0,0,3,2,3,12,36,2,1,6,24,19,35,32,21,21,2020-05-27 11:00:00,64901,1281,1158,2439,1762,89,117,370,431,284,207,142,55,67,2020-05-27 20:41:10.981960,882,870,496,57,16,118,130,173,512,536,365,270,190,95,168,161,67340
35,57,0,0,0,0,3,2,3,12,37,3,1,6,24,19,34,32,21,21,2020-05-28 11:00:00,65773,1310,1171,2481,1793,96,119,383,435,289,206,142,57,66,2020-05-28 20:14:11.181734,901,879,497,57,17,130,133,178,519,540,374,273,193,97,174,161,68254
36,59,0,0,0,0,3,2,3,13,38,3,1,6,24,19,36,33,21,21,2020-05-29 11:00:00,66933,1332,1188,2520,1882,101,126,399,456,298,217,143,65,77,2020-05-29 20:00:20.964651,923,894,506,57,17,123,134,186,526,548,379,275,195,100,177,164,69453
34,60,0,0,0,0,3,2,4,13,38,3,1,6,24,19,36,33,21,22,2020-05-30 11:11:00,68427,1352,1202,2554,1943,103,135,412,469,308,222,149,66,79,2020-05-30 19:52:46.262578,934,907,513,57,17,126,137,188,537,555,381,280,197,100,179,165,70981
36,61,0,0,0,0,3,2,4,13,39,3,1,6,25,19,36,33,21,23,2020-05-31 11:00:00,69463,1361,1216,2577,1959,103,139,413,472,310,225,152,66,79,2020-05-31 20:12:37.070625,938,910,516,57,17,139,138,193,542,559,385,282,198,100,180,167,72040
35,61,0,0,0,0,3,2,4,13,39,3,1,7,25,19,37,33,21,23,2020-06-01 11:00:00,70676,1390,1235,2625,2078,116,153,446,494,327,233,158,69,82,2020-06-01 20:07:06.549177,957,927,523,57,17,144,144,198,551,568,391,288,199,104,182,169,73301
34,65,0,0,0,0,3,2,5,13,42,3,1,7,25,19,37,33,22,23,2020-06-02 11:00:00,70998,1400,1246,2646,2127,117,155,464,501,332,237,161,72,88,2020-06-02 20:17:30.513737,974,944,535,57,17,119,146,198,558,573,395,288,202,104,182,170,73644
34,66,0,0,0,0,3,2,5,14,42,3,1,8,25,19,37,33,22,24,2020-06-03 11:00:00,71823,1417,1262,2679,2169,123,157,471,509,337,243,164,74,91,2020-06-03 19:56:18.962762,995,957,548,57,17,105,146,201,565,582,401,291,206,104,183,172,74502
32,66,0,0,0,0,3,2,5,14,42,3,1,8,25,19,37,33,22,27,2020-06-04 11:00:00,73038,1431,1275,2706,2209,125,164,477,517,342,247,169,74,94,2020-06-04 20:28:36.176514,1003,969,556,57,17,104,146,205,572,584,407,295,206,106,185,175,75744
30,71,0,0,0,0,3,2,6,15,45,3,1,8,27,19,37,33,22,30,2020-06-05 11:00:00,74111,1453,1292,2745,2242,125,168,488,522,347,251,170,75,96,2020-06-05 20:15:56.732262,1014,989,570,57,17,98,148,210,585,599,410,295,206,106,186,180,76856
29,72,0,0,0,0,3,2,6,15,46,3,1,8,27,19,37,33,23,31,2020-06-06 11:00:00,76064,1502,1314,2816,2268,127,172,494,528,355,253,169,75,95,2020-06-06 20:34:43.914487,1034,1007,577,57,19,122,149,220,608,608,422,299,209,108,193,182,78880
28,72,0,0,0,0,3,2,6,15,46,3,1,8,27,19,37,33,24,31,2020-06-07 11:00:00,77072,1525,1336,2861,2307,129,175,506,536,360,258,170,76,97,2020-06-07 20:32:45.816661,1052,1026,585,57,19,122,151,225,619,622,424,302,217,108,193,183,79933
29,72,0,0,0,0,3,2,6,15,46,3,1,8,27,19,37,33,25,31,2020-06-08 11:00:00,77300,1536,1344,2880,2336,129,180,515,541,363,260,171,77,100,2020-06-08 20:30:26.477661,1061,1036,588,57,19,119,151,229,623,626,425,303,219,110,194,184,80180
32,72,0,0,0,0,3,2,6,15,46,3,1,8,27,20,39,34,25,32,2020-06-09 11:00:00,77765,1541,1360,2901,2450,139,190,538,566,375,273,184,80,105,2020-06-09 20:32:23.073706,1065,1041,597,58,19,121,152,231,627,629,429,305,222,111,195,189,80666
33,73,0,0,0,0,3,2,6,15,47,3,1,8,28,21,39,34,26,33,2020-06-10 11:00:00,78719,1559,1382,2941,2482,141,194,543,572,380,274,187,82,109,2020-06-10 20:36:29.963920,1081,1047,609,58,19,127,159,233,636,638,433,308,226,112,196,193,81660
