CurrentlyHospitalized,Deaths,Deaths_Age_0_9,Deaths_Age_10_19,Deaths_Age_20_29,Deaths_Age_30_39,Deaths_Age_40_49,Deaths_Age_50_59,Deaths_Age_60_69,Deaths_Age_70_79,Deaths_Age_80_plus,Hosp_Age_0_9,Hosp_Age_10_19,Hosp_Age_20_29,Hosp_Age_30_39,Hosp_Age_40_49,Hosp_Age_50_59,Hosp_Age_60_69,Hosp_Age_70_79,Hosp_Age_80_plus,LastUpdated,Negative,NumFemale,NumMale,NumUnknown,PositiveCases,Recovered,Recovered_Age_0_9,Recovered_Age_10_19,Recovered_Age_20_29,Recovered_Age_30_39,Recovered_Age_40_49,Recovered_Age_50_59,Recovered_Age_60_69,Recovered_Age_70_79,Recovered_Age_80_plus,Scrape_Time,Source_CloseContact,Source_CommunitySpread,Source_HouseholdContact,Source_PossibleTravel,Source_Travel,Source_UnderInvestigation,TotalCases_Age_0_9,TotalCases_Age_10_19,TotalCases_Age_20_29,TotalCases_Age_30_39,TotalCases_Age_40_49,TotalCases_Age_50_59,TotalCases_Age_60_69,TotalCases_Age_70_79,TotalCases_Age_80_plus,TotalHospitalized,TotalUniqueIndividualsTested
26,76,0,0,0,0,3,2,7,16,48,3,1,8,28,25,43,38,27,37,2020-06-19 11:00:00,89380,1712,1513,1,3226,2840,158,231,631,632,433,307,210,96,142,2020-06-19 20:29:04.011121,1168,1152,649,62,24,171,174,255,715,688,478,340,246,123,207,210,92606
28,76,0,0,0,0,3,2,7,16,48,3,1,8,30,25,44,38,27,37,2020-06-20 11:00:00,90980,1728,1523,,3251,2882,161,235,645,641,436,311,213,97,143,2020-06-20 21:23:08.912327,1179,1164,653,62,25,168,175,259,725,690,479,345,248,123,207,213,94231
31,77,0,0,0,0,3,2,8,16,48,3,1,8,30,25,44,38,27,40,2020-06-21 10:00:00,92885,1754,1534,,3288,2910,163,237,651,649,440,315,214,97,144,2020-06-21 20:56:54.224142,1195,1178,658,63,25,169,176,261,731,697,483,348,251,124,217,216,96173
31,77,0,0,0,0,3,2,8,16,48,3,1,8,30,26,44,38,28,40,2020-06-22 11:25:00,94140,1767,1546,,3313,2952,163,243,660,659,448,318,216,99,146,2020-06-22 19:57:28.292203,1206,1186,664,63,25,169,178,261,741,698,485,350,256,126,218,218,97453
28,78,0,0,0,0,4,2,8,16,48,3,1,8,29,27,44,38,28,40,2020-06-23 11:08:00,94233,1771,1549,,3320,3008,165,248,681,668,453,323,224,99,147,2020-06-23 19:23:30.861813,1220,1197,671,64,25,143,178,264,743,699,485,350,257,126,218,218,97553
27,78,0,0,0,0,4,2,8,16,48,3,1,8,29,27,44,38,28,41,2020-06-24 11:00:00,95327,1796,1566,,3362,3044,167,251,687,672,460,325,227,101,154,2020-06-24 21:20:25.592615,1230,1210,671,70,25,156,179,271,751,707,489,356,261,129,219,219,98689
25,78,0,0,0,0,4,2,8,16,48,3,1,8,31,27,44,38,28,42,2020-06-25 11:00:00,96051,1812,1581,,3393,3064,171,254,689,673,465,327,230,102,154,2020-06-25 20:01:53.363367,1238,1229,676,72,25,153,179,272,764,712,495,358,263,129,221,222,99444
23,78,0,0,0,0,4,2,8,16,48,3,1,8,31,27,44,38,28,42,2020-06-26 11:00:00,97465,1829,1592,,3421,3090,172,254,695,676,469,330,233,103,158,2020-06-26 19:37:30.637649,1246,1246,676,74,25,154,180,273,776,719,498,361,264,129,221,222,100886
23,78,0,0,0,0,4,2,8,16,48,3,1,10,32,27,44,38,28,42,2020-06-27 11:00:00,99061,1850,1608,,3458,3119,172,255,707,680,471,333,237,103,161,2020-06-27 21:30:13.832521,1260,1269,679,76,26,148,181,274,792,725,501,367,267,130,221,225,102519
24,79,0,0,0,0,4,2,8,16,49,3,1,10,32,27,44,38,29,42,2020-06-28 11:00:00,100430,1869,1626,,3495,3139,172,258,712,683,472,336,242,103,161,2020-06-28 20:04:43.930217,1268,1285,683,76,27,156,181,277,804,731,506,372,271,131,222,226,103925
25,79,0,0,0,0,4,2,8,16,49,3,1,10,32,28,44,38,29,42,2020-06-29 11:00:00,102152,1893,1646,,3539,3163,173,260,724,686,473,339,241,104,163,2020-06-29 22:54:48.187657,1272,1305,692,79,27,164,181,280,817,740,513,380,273,132,223,227,105691
25,79,0,0,0,0,4,2,8,16,49,3,1,10,32,29,46,39,29,42,2020-06-30 00:00:00,102546,1909,1667,,3576,3195,174,262,736,689,475,343,245,104,167,2020-06-30 21:34:43.062053,1286,1323,694,79,27,167,184,283,830,746,519,382,276,133,223,231,106122
20,80,0,0,0,0,4,2,8,16,50,3,1,11,32,29,46,40,30,42,2020-07-01 00:00:00,103611,1930,1685,,3615,3210,175,263,740,689,476,346,246,105,170,2020-07-01 20:10:57.209113,1302,1341,701,82,28,161,185,287,845,754,522,386,279,134,223,234,107226
