ConfirmedCases,ConfirmedCases_0_9,ConfirmedCases_10_19,ConfirmedCases_20_29,ConfirmedCases_30_39,ConfirmedCases_40_49,ConfirmedCases_50_59,ConfirmedCases_60_69,ConfirmedCases_70_plus,ConfirmedCases_AIAN,ConfirmedCases_Asian,ConfirmedCases_Black,ConfirmedCases_Female,ConfirmedCases_Hispanic,ConfirmedCases_Male,ConfirmedCases_Other,ConfirmedCases_White,ConfirmedHospitalized,Deaths,Deaths_0_9,Deaths_10_19,Deaths_20_29,Deaths_30_39,Deaths_40_49,Deaths_50_59,Deaths_60_69,Deaths_70_plus,Deaths_AIAN,Deaths_Asian,Deaths_Black,Deaths_Female,Deaths_Hispanic,Deaths_Male,Deaths_Other,Deaths_White,ICU,Scrape_Time,SuspectedHospitalized,TotalNegative_0_9,TotalNegative_10_19,TotalNegative_20_29,TotalNegative_30_39,TotalNegative_40_49,TotalNegative_50_59,TotalNegative_60_69,TotalNegative_70_plus,TotalNegative_AIAN,TotalNegative_Asian,TotalNegative_Black,TotalNegative_Female,TotalNegative_Hispanic,TotalNegative_Male,TotalNegative_Other,TotalNegative_White,TotalTested_0_9,TotalTested_10_19,TotalTested_20_29,TotalTested_30_39,TotalTested_40_49,TotalTested_50_59,TotalTested_60_69,TotalTested_70_plus,TotalTested_AIAN,TotalTested_Asian,TotalTested_Black,TotalTested_Female,TotalTested_Hispanic,TotalTested_Male,TotalTested_Other,TotalTested_White,TotalTests
"30,468",861,"2,068","6,189","5,615","4,894","4,304","2,627","2,127",97,"1,187","1,299","14,581","6,662","13,657","1,508","4,675",806,618,1,2,3,7,31,60,118,385,4,82,68,238,89,350,11,270,251,2020-07-15 22:03:45.308007,618,"7,415","15,241","53,775","58,612","54,390","55,761","42,022","33,484","1,999","8,114","15,918","164,097","8,226","155,803","30,248","79,921","8,276","17,309","59,964","64,227","59,284","60,065","44,649","35,611","2,096","9,301","17,217","178,678","14,888","169,460","31,756","84,596","457,522"
"31,915",888,"2,126","6,406","5,830","5,055","4,428","2,689","2,173",95,"1,185","1,283","15,002","6,884","14,078","1,288","4,628",785,626,1,2,3,7,32,61,120,387,4,82,68,240,89,354,11,272,280,2020-07-16 20:18:17.067484,626,"7,592","15,517","54,610","59,540","55,246","56,675","42,637","33,831","2,018","8,250","16,121","166,656","8,263","158,060","31,145","80,801","8,480","17,643","61,016","65,370","60,301","61,103","45,326","36,004","2,113","9,435","17,404","181,658","15,147","172,138","32,433","85,429","465,682"
"33,295",913,"2,187","6,525","5,951","5,152","4,507","2,727","2,195",104,"1,540","1,752","15,309","7,023","14,325","3,124","6,183",823,637,1,2,3,7,32,62,121,391,4,82,69,242,90,358,11,274,269,2020-07-17 20:15:39.524028,637,"7,715","15,857","55,560","60,476","56,084","57,495","43,194","34,136","2,040","8,385","16,290","169,144","8,261","160,350","32,178","81,468","8,628","18,044","62,085","66,427","61,236","62,002","45,921","36,331","2,144","9,925","18,042","184,453","15,284","174,675","35,302","87,651","472,989"
"34,477",939,"2,257","6,731","6,137","5,333","4,654","2,814","2,264",105,"1,560","1,779","15,816","7,082","14,797","3,246","6,272",833,646,1,2,5,7,32,62,125,397,4,82,69,244,91,361,11,275,285,2020-07-18 20:45:11.594473,646,"7,876","16,135","56,347","61,293","56,755","58,127","43,698","34,481","2,043","8,417","16,365","171,540","8,286","162,298","32,411","81,889","8,815","18,392","63,078","67,430","62,088","62,781","46,512","36,745","2,148","9,977","18,144","187,356","15,368","177,095","35,657","88,161","480,442"
"35,765",993,"2,383","6,993","6,357","5,553","4,850","2,906","2,322",107,"1,583","1,814","16,434","7,130","15,405","3,473","6,454",844,647,1,2,5,7,32,62,125,397,4,82,69,244,91,361,11,275,287,2020-07-19 20:12:08.377854,647,"8,103","16,588","57,572","62,386","57,729","59,080","44,341","34,836","2,061","8,520","16,567","174,830","8,352","164,968","33,313","82,855","9,096","18,971","64,565","68,743","63,282","63,930","47,247","37,158","2,168","10,103","18,381","191,264","15,482","180,373","36,786","89,309","490,644"
"36,713","1,024","2,478","7,264","6,626","5,778","5,034","2,987","2,389",109,"1,600","1,840","17,068","7,154","15,992","3,630","6,540",849,648,1,2,5,7,32,62,125,397,4,82,69,244,91,361,11,275,304,2020-07-20 20:15:38.380239,648,"8,276","16,944","58,534","63,336","58,524","59,795","44,763","35,126","2,067","8,559","16,653","177,405","8,355","167,075","33,723","83,201","9,300","19,422","65,798","69,962","64,302","64,829","47,750","37,515","2,176","10,159","18,493","194,473","15,509","183,067","37,353","89,741","498,739"
"37,528","1,041","2,511","7,392","6,717","5,861","5,108","3,024","2,431",104,"1,690","1,907","17,301","7,750","16,220","3,666","6,817",859,676,1,2,5,7,32,62,127,405,4,82,70,248,91,367,11,276,301,2020-07-21 21:59:51.102511,676,"8,354","17,171","59,018","63,807","58,901","60,185","45,058","35,367","2,078","8,755","16,140","178,441","7,109","168,029","34,676","82,622","9,395","19,682","66,410","70,524","64,762","65,293","48,082","37,798","2,182","10,445","18,047","195,742","14,859","184,249","38,342","89,439","503,464"
"38,657","1,083","2,617","7,599","6,944","6,021","5,258","3,087","2,472",107,"1,735","1,949","17,808","7,920","16,714","3,868","7,023",863,704,1,2,5,7,33,69,130,422,4,82,70,259,102,389,11,288,299,2020-07-22 21:54:08.294152,704,"8,519","17,524","59,977","64,614","59,605","60,824","45,476","35,656","2,100","8,874","16,355","180,812","7,222","170,008","35,352","83,635","9,602","20,141","67,576","71,558","65,626","66,082","48,563","38,128","2,207","10,609","18,304","198,620","15,142","186,722","39,220","90,658","510,977"
"39,919","1,137","2,745","8,029","7,307","6,315","5,479","3,205","2,541",109,"1,796","2,012","18,673","8,202","17,532","4,171","7,319",878,709,1,2,5,8,35,74,133,435,4,83,70,270,105,403,11,293,306,2020-07-23 19:56:08.573098,709,"8,790","18,104","61,660","66,289","61,055","62,209","46,426","36,178","2,135","9,105","16,755","185,152","7,336","174,213","36,968","85,271","9,927","20,849","69,689","73,596","67,370","67,688","49,631","38,719","2,244","10,901","18,767","203,825","15,538","191,745","41,139","92,590","526,274"
"40,885","1,199","2,892","8,329","7,579","6,568","5,653","3,287","2,595",117,"1,847","2,058","19,344","8,586","18,195","4,335","7,544",913,722,1,2,5,8,35,74,134,440,4,84,70,272,108,405,11,293,315,2020-07-24 20:16:35.682655,722,"9,110","18,644","62,978","67,468","62,061","63,155","47,049","36,686","2,185","9,284","17,001","188,678","7,494","177,131","37,848","86,793","10,312","21,544","71,358","75,108","68,693","68,857","50,368","39,298","2,302","11,131","19,059","208,167","16,080","195,463","42,183","94,337","537,720"
