Deaths,Lab_CPL_PatientNegative,Lab_CPL_PatientPositive,Lab_CPL_TotalTests,Lab_LabCorp_PatientNegative,Lab_LabCorp_PatientPositive,Lab_LabCorp_TotalTests,Lab_NSPHL_PatientNegative,Lab_NSPHL_PatientPositive,Lab_NSPHL_TotalTests,Lab_Other_PatientNegative,Lab_Other_PatientPositive,Lab_Other_TotalTests,Lab_Quest_PatientNegative,Lab_Quest_PatientPositive,Lab_Quest_TotalTests,Lab_SNPHL_PatientNegative,Lab_SNPHL_PatientPositive,Lab_SNPHL_TotalTests,PatientsNegative,PatientsPositive,PeopleTested,Scrape_Time,TestFemale,TestGenderUnknown,TestMale,TestsPerformed,Tests_Age_0_9,Tests_Age_10_19,Tests_Age_20_29,Tests_Age_30_39,Tests_Age_40_49,Tests_Age_50_59,Tests_Age_60_69,Tests_Age_70_plus,Tests_Age_Unknown
14,1051,88,1153,2269,195,2502,2177,97,2420,237,30,1472,2261,247,2622,417,81,612,8412,738,9150,2020-03-29 13:59:53.955869,4818,664,3667,10781,378,329,1417,1758,1481,1456,1221,1031,79
15,1248,116,1380,2633,261,2943,2468,128,2754,272,38,1695,2576,296,3004,417,81,612,9614,920,10534,2020-03-29 19:35:44.792258,5613,688,4233,12388,403,359,1620,2002,1688,1704,1415,1253,90
15,1414,140,1571,2856,295,3217,2562,140,2866,312,52,1998,2646,300,3085,417,81,612,10207,1008,11215,2020-03-30 20:37:32.957887,6002,691,4522,13349,422,378,1706,2127,1801,1800,1537,1352,92
17,1566,166,1750,2926,313,3309,2594,144,2904,356,72,2262,2812,333,3293,427,85,626,10681,1113,11794,2020-03-31 20:28:34.262993,6319,695,4780,14144,439,392,1781,2235,1895,1905,1625,1429,93
26,1581,166,1768,3171,359,3613,2746,173,3089,390,84,2416,3185,402,3760,446,95,655,11519,1279,12798,2020-04-01 20:08:44.222530,6750,893,5155,15301,469,436,1912,2405,2064,2077,1759,1575,101
26,1581,166,1768,3171,359,3613,2746,173,3089,390,84,2416,3185,402,3760,446,95,655,11519,1279,12798,2020-04-01 20:12:09.374252,6750,893,5155,15301,469,436,1912,2405,2064,2077,1759,1575,101
38,1828,193,2048,3330,395,3821,3064,197,3442,430,95,2576,3475,477,4141,461,101,676,12588,1458,14046,2020-04-02 20:26:41.594885,7466,917,5663,16704,491,475,2108,2632,2256,2312,1928,1734,110
43,1836,194,2057,3360,399,3857,3290,213,3698,489,108,2883,3481,481,4151,562,119,795,13018,1514,14532,2020-04-03 20:24:54.881795,7845,737,5950,17441,498,494,2178,2701,2319,2367,1995,1866,114
46,2078,229,2337,3785,471,4379,3383,232,3814,497,109,2965,4038,570,4819,640,131,885,14421,1742,16163,2020-04-04 20:10:32.750710,8729,856,6578,19199,527,549,2422,3001,2645,2634,2209,2049,127
46,2076,229,2337,3784,471,4379,3558,261,4023,510,110,2995,4427,634,5289,640,131,885,14995,1836,16831,2020-04-05 20:15:40.055376,9213,756,6862,19908,551,617,2499,3106,2759,2734,2307,2124,134
46,2076,229,2337,4178,549,4873,3558,261,4023,513,112,3007,4711,671,5631,640,131,885,15676,1953,17629,2020-04-06 20:29:22.238715,9684,760,7185,20756,564,638,2598,3265,2887,2861,2421,2259,136
58,2074,229,2337,4396,587,5148,3897,296,4416,522,115,3013,5023,729,6019,640,131,885,16552,2087,18639,2020-04-07 20:05:20.492430,8823,3171,6645,21818,588,673,2715,3449,3095,3018,2573,2392,135
80,2409,257,2719,4687,645,5528,4172,318,4729,870,159,4201,5239,773,6303,871,166,1154,18248,2318,20566,2020-04-08 20:19:27.017786,9754,3502,7310,24634,612,736,2988,3804,3451,3345,2837,2613,179
86,2537,275,2877,4921,678,5811,4387,347,5009,912,162,4385,5659,819,6801,899,175,1191,19315,2456,21771,2020-04-09 19:52:12.525263,10316,3751,7704,26074,629,770,3171,4016,3664,3532,3022,2746,220
102,2714,294,3086,5073,718,6020,4681,376,5350,958,170,4597,5808,839,6997,931,187,1236,20165,2584,22749,2020-04-10 20:21:19.025024,10682,4080,7987,27286,643,795,3311,4192,3844,3690,3169,2875,229
111,2871,312,3265,5210,743,6207,4882,406,5604,1003,174,4786,5945,865,7176,976,200,1297,20887,2700,23587,2020-04-11 19:53:56.342960,11033,4326,8228,28335,655,816,3427,4346,3980,3838,3296,2996,232
114,2963,322,3373,5210,743,6207,5223,457,6032,1066,187,5018,6273,919,7580,1040,208,1369,21775,2836,24611,2020-04-12 20:39:51.673062,11412,4728,8471,29579,669,858,3579,4533,4161,4010,3408,3154,237
120,3012,328,3436,5590,818,6710,5356,492,6205,1098,193,5173,6323,927,7656,1114,213,1448,22493,2971,25464,2020-04-13 20:22:21.318695,11799,4901,8764,30628,689,883,3683,4681,4281,4144,3534,3327,240
130,3169,339,3612,5713,838,6878,5823,538,6790,1241,215,5573,6403,940,7760,1224,218,1565,23573,3088,26661,2020-04-14 20:02:07.138728,14836,853,10969,32178,715,938,3877,4905,4479,4333,3712,3517,184
136,3169,339,3612,5868,863,7100,5893,548,6896,1284,222,5738,6527,959,7928,1703,280,2163,24444,3211,27655,2020-04-15 20:13:21.292842,15315,943,11397,33437,729,965,4003,5079,4623,4503,3855,3708,189
