ConfirmedCases,ConfirmedCases_0_9,ConfirmedCases_10_19,ConfirmedCases_20_29,ConfirmedCases_30_39,ConfirmedCases_40_49,ConfirmedCases_50_59,ConfirmedCases_60_69,ConfirmedCases_70_plus,ConfirmedCases_AIAN,ConfirmedCases_Asian,ConfirmedCases_Black,ConfirmedCases_Female,ConfirmedCases_Hispanic,ConfirmedCases_Male,ConfirmedCases_Other,ConfirmedCases_White,Deaths,Deaths_0_9,Deaths_10_19,Deaths_20_29,Deaths_30_39,Deaths_40_49,Deaths_50_59,Deaths_60_69,Deaths_70_plus,Deaths_AIAN,Deaths_Asian,Deaths_Black,Deaths_Female,Deaths_Hispanic,Deaths_Male,Deaths_Other,Deaths_White,Scrape_Time,Total Tested: Lab_CPL,Total Tested: Lab_LabCorp,Total Tested: Lab_NSPHL,Total Tested: Lab_Other,Total Tested: Lab_Quest,Total Tested: Lab_RRMC,Total Tested: Lab_SNPHL,Total Tested: Lab_UMC,TotalNegative_0_9,TotalNegative_10_19,TotalNegative_20_29,TotalNegative_30_39,TotalNegative_40_49,TotalNegative_50_59,TotalNegative_60_69,TotalNegative_70_plus,TotalNegative_AIAN,TotalNegative_Asian,TotalNegative_Black,TotalNegative_Female,TotalNegative_Hispanic,TotalNegative_Male,TotalNegative_Other,TotalNegative_White,TotalTested_0_9,TotalTested_10_19,TotalTested_20_29,TotalTested_30_39,TotalTested_40_49,TotalTested_50_59,TotalTested_60_69,TotalTested_70_plus,TotalTested_AIAN,TotalTested_Asian,TotalTested_Black,TotalTested_Female,TotalTested_Hispanic,TotalTested_Male,TotalTested_Other,TotalTested_White,TotalTests
"17,160",403,969,"2,892","2,750","2,476","2,364","1,590","1,469",72,885,975,"7,931","4,387","7,389",764,"3,160",500,0,2,3,6,27,43,103,311,3,70,58,200,78,282,12,228,2020-06-28 21:31:11.387970,"21,266","39,655","60,949","37,914","52,523","5,537","21,401","67,886","4,655","9,449","36,576","42,303","40,684","43,092","33,525","27,702","1,380","5,816","12,088","124,004","6,014","119,931","19,080","58,178","5,058","10,418","39,468","45,053","43,160","45,456","35,115","29,171","1,452","6,701","13,063","131,935","10,401","127,320","19,844","61,338","307,131"
"17,894",433,"1,042","3,059","2,927","2,604","2,460","1,648","1,493",72,893,"1,008","8,338","4,401","7,738",891,"3,232",504,0,2,3,6,27,43,103,311,3,70,58,200,78,282,12,228,2020-06-29 22:54:48.190278,"21,512","40,217","61,614","38,516","54,182","5,811","21,694","70,842","4,842","9,780","37,572","43,152","41,470","43,765","34,007","28,070","1,388","5,880","12,244","126,496","6,033","122,109","19,641","58,898","5,275","10,822","40,631","46,079","44,074","46,225","35,655","29,563","1,460","6,773","13,252","134,834","10,434","129,847","20,532","62,130","314,388"
"18,456",454,"1,085","3,211","3,071","2,694","2,538","1,682","1,517",70,943,"1,050","8,635","4,672","8,029",971,"3,451",507,0,2,3,6,27,44,106,313,3,71,59,202,79,285,11,230,2020-06-30 20:14:15.844652,"21,538","40,942","62,867","39,636","54,584","5,839","21,848","75,690","4,981","10,026","38,407","44,054","42,151","44,290","34,374","28,315","1,472","6,141","12,790","128,848","6,440","123,741","20,273","61,707","5,435","11,111","41,618","47,125","44,845","46,828","36,056","29,832","1,542","7,084","13,840","137,483","11,112","131,770","21,244","65,158","322,944"
"19,101",491,"1,162","3,446","3,233","2,865","2,653","1,761","1,581",76,988,"1,104","9,126","4,928","8,471","1,061","3,647",511,0,2,3,6,27,46,106,314,3,71,59,204,81,287,11,233,2020-07-01 20:10:57.215050,"21,883","42,117","63,471","40,401","56,553","6,248","21,986","78,659","5,196","10,503","39,592","45,149","43,065","45,159","34,965","28,825","1,484","6,227","12,966","132,015","6,537","126,371","20,911","62,657","5,687","11,665","43,038","48,382","45,930","47,812","36,726","30,406","1,560","7,215","14,070","141,141","11,465","134,842","21,972","66,304","331,318"
"19,733",506,"1,192","3,501","3,274","2,897","2,659","1,736","1,548",75,986,"1,113","8,770","4,900","8,118","1,154","3,683",525,0,2,3,6,27,47,106,318,3,71,59,206,81,290,11,236,2020-07-02 22:17:29.121049,"21,968","42,397","64,164","40,459","56,971","6,504","19,691","89,309","5,281","10,704","39,892","45,111","43,023","44,939","34,642","28,425","1,489","6,198","12,714","128,151","6,435","123,125","21,348","62,206","5,787","11,896","43,393","48,385","45,920","47,598","36,378","29,973","1,564","7,184","13,827","136,921","11,335","131,243","22,502","65,889","341,463"
"20,718",544,"1,273","3,770","3,521","3,090","2,837","1,863","1,645",79,"1,031","1,170","9,393","5,099","8,723","1,296","3,887",528,0,2,3,6,27,48,109,328,3,75,63,211,83,298,11,238,2020-07-03 22:46:49.396052,"22,285","42,925","65,304","42,197","59,723","6,759","20,323","93,739","5,507","11,200","41,433","46,717","44,361","46,304","35,689","29,161","1,509","6,361","12,930","132,466","6,496","127,161","22,246","63,518","6,051","12,473","45,203","50,238","47,451","49,141","37,552","30,806","1,588","7,392","14,100","141,859","11,595","135,884","23,542","67,405","353,255"
"21,575",571,"1,339","4,013","3,731","3,256","2,971","1,928","1,695",81,"1,048","1,196","9,888","5,119","9,181","1,415","4,000",530,0,2,3,6,27,48,109,328,3,75,63,211,83,298,11,238,2020-07-04 20:34:59.790090,"22,709","43,740","66,743","42,820","61,636","7,069","20,639","98,076","5,749","11,648","42,799","48,030","45,457","47,393","36,384","29,558","1,528","6,508","13,101","135,899","6,518","130,271","23,054","64,470","6,320","12,987","46,812","51,761","48,713","50,364","38,312","31,253","1,609","7,556","14,297","145,787","11,637","139,452","24,469","68,470","363,432"
"22,418",594,"1,400","4,181","3,872","3,371","3,068","1,975","1,716",81,"1,055","1,212","10,234","5,141","9,509","1,488","4,083",534,0,2,3,6,27,48,109,328,3,75,63,211,83,298,11,238,2020-07-05 20:08:56.242583,"22,835","44,509","67,780","43,452","63,452","7,439","21,005","101,418","5,896","12,045","43,897","49,155","46,437","48,320","36,948","29,899","1,552","6,600","13,215","138,903","6,574","132,863","23,870","65,330","6,490","13,445","48,078","53,027","49,808","51,388","38,923","31,615","1,633","7,655","14,427","149,137","11,715","142,372","25,358","69,413","371,890"
"22,909",613,"1,455","4,314","4,001","3,481","3,156","2,020","1,749",82,"1,062","1,230","10,545","5,146","9,810","1,570","4,149",537,0,2,3,6,27,48,109,328,3,75,63,211,83,298,11,238,2020-07-06 20:07:11.983365,"22,948","45,227","68,285","43,452","64,735","7,756","21,005","103,479","6,023","12,280","44,602","49,727","46,954","48,797","37,307","30,147","1,561","6,661","13,310","140,598","6,596","134,417","24,258","65,841","6,637","13,735","48,922","53,738","50,438","51,959","39,326","31,896","1,643","7,723","14,540","151,155","11,742","144,241","25,828","69,990","376,887"
"23,785",629,"1,510","4,494","4,159","3,625","3,268","2,067","1,776",80,"1,072","1,189","10,918","5,382","10,178","1,312","4,060",548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-07 20:05:57.975743,"23,075","46,273","68,285","43,772","66,308","8,107","21,258","106,778","6,177","12,575","45,437","50,557","47,715","49,464","37,685","30,424","1,569","6,747","13,434","142,836","6,638","136,347","24,838","66,535","6,806","14,085","49,931","54,716","51,340","52,732","39,752","32,200","1,649","7,819","14,623","153,754","12,020","146,525","26,150","70,595","383,856"
