Deaths,Lab_CPL_PatientNegative,Lab_CPL_PatientPositive,Lab_CPL_TotalTests,Lab_LabCorp_PatientNegative,Lab_LabCorp_PatientPositive,Lab_LabCorp_TotalTests,Lab_NSPHL_PatientNegative,Lab_NSPHL_PatientPositive,Lab_NSPHL_TotalTests,Lab_Other_PatientNegative,Lab_Other_PatientPositive,Lab_Other_TotalTests,Lab_Quest_PatientNegative,Lab_Quest_PatientPositive,Lab_Quest_TotalTests,Lab_RRMC_PatientNegative,Lab_RRMC_PatientPositive,Lab_RRMC_TotalTests,Lab_SNPHL_PatientNegative,Lab_SNPHL_PatientPositive,Lab_SNPHL_TotalTests,Lab_UMC_PatientNegative,Lab_UMC_PatientPositive,Lab_UMC_TotalTests,PatientsNegative,PatientsPositive,PeopleTested,Scrape_Time,TestFemale,TestGenderUnknown,TestMale,TestsPerformed,Tests_Age_0_9,Tests_Age_10_19,Tests_Age_20_29,Tests_Age_30_39,Tests_Age_40_49,Tests_Age_50_59,Tests_Age_60_69,Tests_Age_70_plus,Tests_Age_Unknown
142,3171,339,3618,6047,895,7366,6167,579,7234,512,64,4580,6569,969,7990,46,8,66,1777,298,2263,841,169,1387,25130,3321,28451,2020-04-16 21:30:07.898525,15568,1255,11628,34504,741,996,4124,5211,4752,4630,3958,3845,193
142,3468,378,3974,6206,923,7597,6482,653,7648,512,65,4583,6767,992,8235,65,11,99,1867,325,2380,871,177,1439,26238,3524,29762,2020-04-17 20:04:55.949720,16073,1659,12030,35955,764,1037,4299,5426,4943,4873,4161,4061,197
155,3484,379,3993,6400,940,7852,6808,675,8112,532,69,4820,6899,1009,8416,92,13,145,1974,355,2522,936,186,1538,27125,3626,30751,2020-04-18 20:11:57.027847,16409,2027,12315,37398,782,1066,4430,5582,5105,5058,4300,4224,203
157,3682,409,4226,6398,940,7852,7104,709,8487,604,77,5222,6989,1025,8534,142,20,235,2015,363,2574,936,185,1538,27870,3728,31598,2020-04-19 20:25:26.022288,16696,2373,12529,38668,801,1098,4552,5722,5248,5216,4427,4326,207
158,3855,446,4446,6676,977,8213,7230,733,8657,602,75,5225,7022,1027,8583,153,21,251,2015,363,2574,964,188,1579,28517,3830,32347,2020-04-20 20:22:09.365527,17026,2544,12777,39528,823,1131,4666,5831,5351,5336,4537,4456,215
163,3864,447,4458,6764,1000,8342,7526,765,9017,643,82,5390,7110,1059,8719,180,23,301,2020,363,2582,1011,198,1655,29118,3937,33055,2020-04-21 20:09:48.143691,17230,2872,12953,40464,840,1153,4764,5930,5444,5425,4638,4640,220
187,4055,478,4688,6951,1024,8605,7698,818,9268,668,84,5536,7174,1070,8811,202,28,342,2048,381,2629,1011,198,1655,29807,4081,33888,2020-04-22 20:23:45.081132,17555,3116,13217,41534,854,1194,4901,6051,5590,5575,4747,4741,234
195,4057,480,4694,7117,1046,8836,7931,846,9616,684,98,5668,7298,1096,8986,244,30,409,2124,408,2744,1086,204,1756,30541,4208,34749,2020-04-23 20:21:22.636443,19124,1222,14401,42709,863,1226,5012,6186,5719,5723,4877,4905,237
203,4305,513,4995,7290,1077,9085,8266,883,10043,724,108,5871,7606,1141,9387,264,32,438,2215,433,2862,1124,211,1806,31794,4398,36192,2020-04-24 20:41:00.454451,19966,1203,15023,44487,902,1295,5245,6436,5962,5981,5053,5065,252
206,4432,545,5164,7490,1101,9359,8469,901,10299,786,116,6175,7748,1166,9578,287,36,475,2272,452,2944,1185,222,1891,32669,4539,37208,2020-04-25 20:30:57.347451,20611,1080,15517,45885,923,1342,5402,6608,6122,6151,5184,5213,262
206,4629,554,5388,7490,1101,9359,8931,926,10814,816,116,6220,7874,1184,9743,312,36,507,2291,455,2966,1241,230,1968,33584,4602,38184,2020-04-26 20:03:43.380551,21065,1269,15850,46965,950,1380,5558,6745,6273,6303,5319,5379,276
219,4677,579,5469,7707,1134,9665,8997,933,10898,825,119,6342,7998,1204,9913,331,36,544,2347,455,3022,1241,230,1968,34123,4690,38813,2020-04-27 20:44:06.489598,21375,1345,16093,47821,965,1397,5635,6841,6355,6410,5425,5504,280
225,4935,614,5787,7829,1166,9847,9257,953,11218,859,126,6578,8103,1213,10051,364,38,588,2682,457,3365,1285,238,2041,35314,4805,40119,2020-04-28 20:39:30.789751,21962,1631,16526,49475,982,1437,5788,7014,6524,6602,5692,5791,288
237,5194,643,6089,7949,1179,10018,9385,962,11383,896,138,6648,8123,1222,10090,380,41,617,2787,460,3479,1416,253,2202,36130,4898,41028,2020-04-29 19:58:46.199824,22781,1032,17215,50526,1033,1477,5922,7139,6640,6746,5834,5939,297
243,5423,643,6330,8118,1204,10257,9621,996,11699,910,147,6803,8252,1239,10258,411,44,658,2838,472,3554,1415,253,2202,36988,4998,41986,2020-04-30 20:57:54.737466,23299,1037,17650,51761,972,1407,5686,6882,6407,6463,5515,5593,3060
254,5722,731,6737,8422,1226,10637,9813,1017,11955,965,157,7272,8546,1283,,452,50,719,2877,494,3618,1571,269,2409,38368,5227,43595,2020-05-01 21:30:37.718863,24176,1041,18378,53984,975,1411,5686,6897,6419,6470,5519,5593,4624
257,5740,732,6760,8612,1245,10881,10117,1045,12323,1010,172,7352,8625,1295,10743,481,53,765,2920,500,3685,1571,269,2409,39076,5311,44387,2020-05-02 22:41:42.221434,24596,1046,18745,54918,975,1410,5688,6905,6425,6477,5522,5596,5388
262,5740,732,6761,8612,1245,10881,10516,1093,12841,1061,174,7643,8693,1310,10836,503,57,820,3007,527,3831,1711,288,2590,39843,5426,45269,2020-05-03 20:33:32.461573,25086,1058,19125,56203,1135,1639,6440,7683,7159,7240,6264,6258,1449
266,5745,730,6769,9053,1280,11441,10731,1105,13087,1070,172,7659,8800,1330,10983,525,59,867,3043,527,3869,1708,288,2599,40675,5491,46166,2020-05-04 19:46:24.058768,25511,1062,19593,57274,1183,1701,6663,7935,7409,7563,6623,6736,351
