County Name,Scrape Time,Total Cases,Total Deaths,Total Tests
Churchill,5/24/20 20:37,12,1,"1,021"
Carson City,5/24/20 20:37,83,4,"4,735"
Clark,5/24/20 20:37,"6,140",331,"94,023"
Douglas,5/24/20 20:37,26,0,636
Elko,5/24/20 20:37,22,1,"1,032"
Esmeralda,5/24/20 20:37,0,0,20
Eureka,5/24/20 20:37,0,0,25
Lander,5/24/20 20:37,22,0,438
Humboldt,5/24/20 20:37,76,4,"1,132"
Lincoln,5/24/20 20:37,2,0,47
Lyon,5/24/20 20:37,51,0,745
Mineral,5/24/20 20:37,4,0,516
Nye,5/24/20 20:37,59,1,"1,227"
Pershing,5/24/20 20:37,0,0,33
Storey,5/24/20 20:37,1,0,10
Washoe,5/24/20 20:37,"1,378",50,"20,566"
White Pine,5/24/20 20:37,3,0,446
Carson City,5/25/20 14:11,83,4,"4,735"
Churchill,5/25/20 14:11,12,1,"1,021"
Clark,5/25/20 14:11,"6,140",331,"94,023"
Douglas,5/25/20 14:11,26,0,636
Elko,5/25/20 14:11,22,1,"1,032"
Esmeralda,5/25/20 14:11,0,0,20
Eureka,5/25/20 14:11,0,0,25
Humboldt,5/25/20 14:11,76,4,"1,132"
Lander,5/25/20 14:11,22,0,438
Lincoln,5/25/20 14:11,2,0,47
Lyon,5/25/20 14:11,51,0,745
Mineral,5/25/20 14:11,4,0,516
Nye,5/25/20 14:11,59,1,"1,227"
Pershing,5/25/20 14:11,0,0,33
Storey,5/25/20 14:11,1,0,10
Washoe,5/25/20 14:11,"1,378",50,"20,566"
White Pine,5/25/20 14:11,3,0,446
Carson City,2020-05-25 21:36:24.197778,83,4,"4,735"
Churchill,2020-05-25 21:36:24.197778,6,1,"1,021"
Clark,2020-05-25 21:36:24.197778,"6,140",331,"94,023"
Douglas,2020-05-25 21:36:24.197778,27,0,636
Elko,2020-05-25 21:36:24.197778,22,1,"1,032"
Esmeralda,2020-05-25 21:36:24.197778,0,0,20
Eureka,2020-05-25 21:36:24.197778,0,0,25
Humboldt,2020-05-25 21:36:24.197778,76,4,"1,132"
Lander,2020-05-25 21:36:24.197778,20,0,438
Lincoln,2020-05-25 21:36:24.197778,2,0,47
Lyon,2020-05-25 21:36:24.197778,51,0,745
Mineral,2020-05-25 21:36:24.197778,4,0,516
Nye,2020-05-25 21:36:24.197778,59,1,"1,227"
Pershing,2020-05-25 21:36:24.197778,0,0,33
Storey,2020-05-25 21:36:24.197778,1,0,10
Washoe,2020-05-25 21:36:24.197778,"1,378",50,"20,566"
White Pine,2020-05-25 21:36:24.197778,3,0,446
Carson City,2020-05-26 22:42:18.605744,90,4,"4,978"
Churchill,2020-05-26 22:42:18.605744,7,1,"1,040"
Clark,2020-05-26 22:42:18.605744,"6,226",331,"101,527"
Douglas,2020-05-26 22:42:18.605744,28,0,660
Elko,2020-05-26 22:42:18.605744,22,1,"1,040"
Esmeralda,2020-05-26 22:42:18.605744,0,0,21
Eureka,2020-05-26 22:42:18.605744,0,0,25
Humboldt,2020-05-26 22:42:18.605744,76,4,"1,133"
Lander,2020-05-26 22:42:18.605744,20,0,439
Lincoln,2020-05-26 22:42:18.605744,2,0,48
Lyon,2020-05-26 22:42:18.605744,55,0,803
Mineral,2020-05-26 22:42:18.605744,4,0,574
Nye,2020-05-26 22:42:18.605744,59,1,"1,308"
Pershing,2020-05-26 22:42:18.605744,0,0,38
Storey,2020-05-26 22:42:18.605744,1,0,12
Washoe,2020-05-26 22:42:18.605744,"1,405",54,"21,885"
White Pine,2020-05-26 22:42:18.605744,3,0,446
Carson City,2020-05-27 21:11:01.987879,90,4,"5,153"
Churchill,2020-05-27 21:11:01.987879,7,1,"1,053"
Clark,2020-05-27 21:11:01.987879,"6,287",336,"105,493"
Douglas,2020-05-27 21:11:01.987879,29,0,676
Elko,2020-05-27 21:11:01.987879,19,1,"1,064"
Esmeralda,2020-05-27 21:11:01.987879,0,0,21
Eureka,2020-05-27 21:11:01.987879,0,0,26
Humboldt,2020-05-27 21:11:01.987879,76,4,"1,210"
Lander,2020-05-27 21:11:01.987879,20,0,446
Lincoln,2020-05-27 21:11:01.987879,2,0,50
Lyon,2020-05-27 21:11:01.987879,56,0,817
Mineral,2020-05-27 21:11:01.987879,4,0,587
Nye,2020-05-27 21:11:01.987879,60,1,"1,386"
Pershing,2020-05-27 21:11:01.987879,0,0,41
Storey,2020-05-27 21:11:01.987879,1,0,13
Washoe,2020-05-27 21:11:01.987879,"1,459",55,"22,871"
White Pine,2020-05-27 21:11:01.987879,3,0,445
Carson City,2020-05-28 20:14:11.184236,91,4,"5,246"
Churchill,2020-05-28 20:14:11.184236,7,1,"1,109"
Clark,2020-05-28 20:14:11.184236,"6,352",342,"108,163"
Douglas,2020-05-28 20:14:11.184236,30,0,705
Elko,2020-05-28 20:14:11.184236,20,1,"1,071"
Esmeralda,2020-05-28 20:14:11.184236,0,0,21
Eureka,2020-05-28 20:14:11.184236,0,0,27
Humboldt,2020-05-28 20:14:11.184236,75,4,"1,219"
Lander,2020-05-28 20:14:11.184236,20,0,447
Lincoln,2020-05-28 20:14:11.184236,2,0,50
Lyon,2020-05-28 20:14:11.184236,56,1,866
Mineral,2020-05-28 20:14:11.184236,4,0,589
Nye,2020-05-28 20:14:11.184236,61,2,"1,425"
Pershing,2020-05-28 20:14:11.184236,1,0,69
Storey,2020-05-28 20:14:11.184236,1,0,14
Washoe,2020-05-28 20:14:11.184236,"1,485",55,"23,932"
White Pine,2020-05-28 20:14:11.184236,3,0,451
Carson City,2020-05-29 20:30:31.613044,94,4,"5,296"
Churchill,2020-05-29 20:30:31.613044,7,1,"1,331"
Clark,2020-05-29 20:30:31.613044,"6,457",343,"110,463"
Douglas,2020-05-29 20:30:31.613044,30,0,724
Elko,2020-05-29 20:30:31.613044,20,1,"1,089"
Esmeralda,2020-05-29 20:30:31.613044,0,0,22
Eureka,2020-05-29 20:30:31.613044,0,0,31
Humboldt,2020-05-29 20:30:31.613044,77,4,"1,248"
Lander,2020-05-29 20:30:31.613044,20,0,464
Lincoln,2020-05-29 20:30:31.613044,2,0,52
Lyon,2020-05-29 20:30:31.613044,57,1,892
Mineral,2020-05-29 20:30:31.613044,4,0,622
Nye,2020-05-29 20:30:31.613044,62,2,"1,445"
Pershing,2020-05-29 20:30:31.613044,2,0,130
Storey,2020-05-29 20:30:31.613044,1,0,14
Washoe,2020-05-29 20:30:31.613044,"1,514",59,"25,092"
White Pine,2020-05-29 20:30:31.613044,3,0,469
Carson City,2020-05-30 20:54:45.888418,95,4,"5,477"
Churchill,2020-05-30 20:54:45.888418,7,1,"1,456"
Clark,2020-05-30 20:54:45.888418,"6,579",344,"113,905"
Douglas,2020-05-30 20:54:45.888418,30,0,748
Elko,2020-05-30 20:54:45.888418,20,1,"1,122"
Esmeralda,2020-05-30 20:54:45.888418,0,0,22
Eureka,2020-05-30 20:54:45.888418,0,0,32
Humboldt,2020-05-30 20:54:45.888418,77,4,"1,273"
Lander,2020-05-30 20:54:45.888418,20,0,496
Lincoln,2020-05-30 20:54:45.888418,2,0,55
Lyon,2020-05-30 20:54:45.888418,61,1,925
Mineral,2020-05-30 20:54:45.888418,4,0,623
Nye,2020-05-30 20:54:45.888418,63,2,"1,488"
Pershing,2020-05-30 20:54:45.888418,2,0,170
Storey,2020-05-30 20:54:45.888418,1,0,14
Washoe,2020-05-30 20:54:45.888418,"1,531",60,"26,161"
White Pine,2020-05-30 20:54:45.888418,3,0,496
Carson City,2020-05-31 21:23:19.839361,95,4,"5,571"
