0_17_COVID_CASE_RATE,0_17_DEATH_RATE,0_17_HOSPITALIZED_CASE_RATE,18_44_COVID_CASE_RATE,18_44_DEATH_RATE,18_44_HOSPITALIZED_CASE_RATE,45_64_COVID_CASE_RATE,45_64_DEATH_RATE,45_64_HOSPITALIZED_CASE_RATE,65_74_COVID_CASE_RATE,65_74_DEATH_RATE,65_74_HOSPITALIZED_CASE_RATE,75+_COVID_CASE_RATE,75+_DEATH_RATE,75+_HOSPITALIZED_CASE_RATE,City_Total_COVID_CASE_RATE,City_Total_DEATH_RATE,City_Total_HOSPITALIZED_CASE_RATE,DEATH_COUNT,Female_COVID_CASE_RATE,Female_DEATH_RATE,Female_HOSPITALIZED_CASE_RATE,HOSPITALIZED_CASE_COUNT,Male_COVID_CASE_RATE,Male_DEATH_RATE,Male_HOSPITALIZED_CASE_RATE,NEW_COVID_CASE_COUNT,Scrape_Time
25.83,nan,0.75,263.53,0.45,6.02,330.05,2.77,18.29,318.4,10.01,36.76,298.55,25.23,53.93,237.79,3.33,13.62,18,197.03,2.53,37.06,nan,282.7,4.22,57.24,21,3/25/20
28.66,nan,2.66,301.07,0.47,28.19,382.72,3.75,85.07,375.76,13.02,135.31,353.76,33.09,188.13,275.18,4.35,56.2,14,230.47,3.39,43.66,2,323.22,5.39,69.92,49,3/26/20
31.44,0,2.72,344.75,0.59,28.82,445.42,5.06,91.73,433.98,15.73,147.61,417.94,39.49,201.65,317.87,5.36,60,20,268.44,4.12,46.33,2,371.02,6.71,74.96,32,3/27/20
41.35,0.06,4.17,475.65,1.6,42.97,649.01,10.51,140.42,643.1,30.75,230.58,623.43,78.25,314.82,453.48,10.88,92.17,14,385.18,7.83,71.25,nan,527.21,14.2,115.08,24,3/30/20
43.84,0.06,4.29,514.8,1.99,45.46,714.43,12.6,155.4,717.33,36.47,261.19,706.8,93.97,351.39,497.35,13.05,101.79,23,425.18,9.13,78.65,nan,575.22,17.32,127.14,54,3/31/20
47.25,0.06,4.81,556.94,2.31,50.78,783.25,16.2,177.91,798.72,47.77,302.38,791.26,114.81,403.86,544.21,16.36,116.39,37,467.18,11.66,90.6,nan,627.26,21.49,144.58,43,4/1/20
51.02,0.06,5.1,602.82,2.67,53.92,851,18.58,192.7,871.81,53.78,328.99,879.56,130.35,442.98,591.84,18.6,126.09,13,511.86,13.41,97.71,nan,677.86,24.24,157.14,82,4/2/20
57.21,0.06,5.33,665.76,3.26,58.23,971.33,21.5,212.45,1010.42,65.94,367.89,1043.74,155.95,501.85,670.21,22.23,139.77,21,581.32,16.07,108.47,nan,765.66,28.93,173.99,63,4/3/20
62.37,0.12,5.56,710.81,3.92,61.43,1052.7,26.02,230,1103.68,79.67,400.93,1158.55,187.94,551.76,724.51,26.84,151.4,24,629.67,19.03,116.46,nan,826.27,35.35,189.62,76,4/4/20
65.72,0.12,5.85,753.28,4.15,65.7,1125.22,28.55,257.53,1181.49,87.54,453.71,1262.4,206.77,625.81,773.39,29.43,169.13,34,673.99,20.94,130.08,nan,880.09,38.69,211.86,82,4/5/20
