0_17_COVID_CASE_RATE,0_17_DEATH_RATE,0_17_HOSPITALIZED_CASE_RATE,18_44_COVID_CASE_RATE,18_44_DEATH_RATE,18_44_HOSPITALIZED_CASE_RATE,45_64_COVID_CASE_RATE,45_64_DEATH_RATE,45_64_HOSPITALIZED_CASE_RATE,65_74_COVID_CASE_RATE,65_74_DEATH_RATE,65_74_HOSPITALIZED_CASE_RATE,75+_COVID_CASE_RATE,75+_DEATH_RATE,75+_HOSPITALIZED_CASE_RATE,CASE_COUNT,City_Total_COVID_CASE_RATE,City_Total_DEATH_RATE,City_Total_HOSPITALIZED_CASE_RATE,DEATH_COUNT,Female_COVID_CASE_RATE,Female_DEATH_RATE,Female_HOSPITALIZED_CASE_RATE,HOSPITALIZED_COUNT,Male_COVID_CASE_RATE,Male_DEATH_RATE,Male_HOSPITALIZED_CASE_RATE,Scrape_Time
205.86,0.29,15.81,1722.48,14.3,169.01,2827.9,128.84,688.51,2824.85,416.24,1321.67,3274.19,1055.26,2049.82,27,1877.82,140.74,483.14,10.0,1724.47,105.26,384.29,1,2038.73,179.01,590.89,2020-04-28
210.26,0.35,16.27,1746.93,14.75,174.26,2863.6,133.36,698.72,2860.18,432.97,1345.12,3323.74,1099.32,2082.54,19,1903.44,146.3,491.93,7.0,1750.76,109.75,392.44,1,2065.89,186.02,600.6,2020-04-29
214.89,0.35,16.33,1771.2,15.05,175.6,2904.36,136.33,702.66,2899.8,443.56,1355.99,3383.34,1124.73,2106.13,12,1931.38,149.68,495.88,3.0,1779.15,112.23,395.92,nan,2094.77,190.52,605.17,2020-04-30 14:47:43.928816
214.89,0.35,16.33,1771.2,15.05,175.6,2904.36,136.33,702.66,2899.8,443.56,1355.99,3383.34,1124.73,2106.13,12,1931.38,149.68,495.88,3.0,1779.15,112.23,395.92,nan,2094.77,190.52,605.17,2020-04-30 20:57:57.219489
219.0,0.35,16.5,1794.92,15.76,177.79,2945.07,141.44,711.95,2937.56,460.15,1379.74,3440.93,1158.37,2167.19,11,1958.68,154.78,505.04,6.0,1807.42,115.69,403.96,nan,2121.56,197.18,615.46,2020-05-01 20:27:26.648064
225.66,0.35,16.56,1821.42,15.85,179.01,2987.48,142.85,716.37,2977.04,466.3,1388.75,3481.88,1173.18,2185.84,8,1987.0,156.64,508.59,4.0,1833.28,117.1,403.66,nan,2142.88,199.4,613.36,2020-05-02 20:34:06.236670
232.96,0.35,16.62,1843.17,15.97,179.66,3022.16,144.6,719.2,3007.22,471.45,1395.9,3514.05,1189.27,2197.18,10,2010.36,158.58,510.9,3.0,1856.91,118.47,406.94,nan,2170.89,202.05,619.4,2020-05-03 20:33:34.909710
236.72,0.35,16.85,1861.24,16.17,180.14,3049.54,147.27,720.7,3038.83,481.03,1401.62,3556.1,1205.36,2205.4,9,2030.47,161.17,512.52,1.0,1877.24,120.29,408.56,nan,2192.45,205.59,622.67,2020-05-04 19:46:26.657346
239.56,0.35,17.14,1874.03,16.29,181.14,3070.06,149.7,725.52,3058.57,486.76,1411.92,3582.98,1222.54,2228.8,7,2044.63,163.41,516.54,nan,1890.69,122.16,412.52,nan,2207.78,208.19,627.14,2020-05-05 20:20:05.226754
242.51,0.35,17.55,1891.16,16.53,182.36,3096.72,151.7,729.9,3088.18,494.62,1421.22,3616.07,1242.65,2245.26,21,2063.26,165.95,520.03,6.0,1909.75,123.98,415.16,nan,2226.55,211.46,632.03,2020-05-06 20:17:07.043939
