0_17_COVID_CASE_RATE,18_44_COVID_CASE_RATE,45_64_COVID_CASE_RATE,65_74_COVID_CASE_RATE,75+_COVID_CASE_RATE,City_Total_COVID_CASE_RATE,0_17_HOSPITALIZED_CASE_RATE,18_44_HOSPITALIZED_CASE_RATE,45_64_HOSPITALIZED_CASE_RATE,65_74_HOSPITALIZED_CASE_RATE,75+_HOSPITALIZED_CASE_RATE,City_Total_HOSPITALIZED_CASE_RATE,0_17_DEATH_RATE,18_44_DEATH_RATE,45_64_DEATH_RATE,65_74_DEATH_RATE,75+_DEATH_RATE,City_Total_DEATH_RATE,0_17_CASE_COUNT,18_44_CASE_COUNT,45_64_CASE_COUNT,65_74_CASE_COUNT,75+_CASE_COUNT,City_Total_CASE_COUNT,0_17_HOSP_COUNT,18_44_HOSP_COUNT,45_64_HOSP_COUNT,65_74_HOSP_COUNT,75+_HOSP_COUNT,City_Total_HOSP_COUNT,0_17_DEATH_COUNT,18_44_DEATH_COUNT,45_64_DEATH_COUNT,65_74_DEATH_COUNT,75+_DEATH_COUNT,City_Total_DEATH_COUNT,Female_COVID_CASE_RATE,Male_COVID_CASE_RATE,Female_HOSPITALIZED_CASE_RATE,Male_HOSPITALIZED_CASE_RATE,Female_DEATH_RATE,Male_DEATH_RATE,Female_CASE_COUNT,Male_CASE_COUNT,Female_HOSP_COUNT,Male_HOSP_COUNT,Female_DEATH_COUNT,Male_DEATH_COUNT,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,Scrape_Time
288.95,2073.25,3385.72,3402.72,4094.52,2275.02,24.67,223.88,829.46,1608.31,2549.11,597.91,0.58,18.67,173.88,570.72,1421.64,190.3,4990,69862,69612,23789,22396,191073,426,7544,17054,11244,13943,50217,10,629,3575,3990,7776,15983,2106.43,2455.64,490.83,713.76,142.44,241.41,92531,98372,21561,28593,6257,9671,25,0,3,2020-05-18 20:55:33.213053
290.98,2079.39,3395.06,3412.16,4109.33,2281.89,25.13,227.8,835.39,1616.75,2563.74,602.69,0.58,18.73,174.9,573.58,1427.67,191.21,5025,70069,69804,23855,22477,191650,434,7676,17176,11303,14023,50618,10,631,3596,4010,7809,16059,2112.94,2462.63,495.9,717.93,143.1,242.34,92817,98652,21784,28760,6286,9708,49,0,0,2020-05-19 20:00:20.548590
293.59,2087.7,3406.19,3426.32,4121.39,2290.51,25.36,228.42,836.12,1618.18,2567.21,603.52,0.58,18.87,176.11,576.01,1436.26,192.33,5070,70349,70033,23954,22543,192374,438,7697,17191,11313,14042,50688,10,636,3621,4027,7856,16153,2121.57,2472.16,496.86,719.48,144.35,244.11,93196,99034,21826,28822,6341,9779,26,0,0,2020-05-20 20:06:06.369932
295.44,2093.31,3413.2,3437.04,4132.18,2296.06,25.65,228.95,837.38,1620.47,2571.23,604.49,0.58,19.02,176.7,579.3,1443.94,193.27,5102,70538,70177,24029,22602,192840,443,7715,17217,11329,14064,50770,10,641,3633,4050,7898,16232,2127.95,2477.5,498.14,720.47,145.47,245.23,93476,99248,21882,28862,6390,9824,20,0,0,2020-05-21 20:59:21.898452
301.81,2105.03,3428.76,3455.07,4162.53,2309.28,26.12,229.58,838.55,1623.47,2574.71,605.6,0.58,19.08,178.11,583.31,1451.62,194.47,5212,70933,70497,24155,22768,193951,451,7736,17241,11350,14083,50863,10,643,3662,4078,7940,16333,2141.13,2490.51,499.16,721.7,146.24,246.83,94055,99769,21927,28911,6424,9888,28,0,1,2020-05-22 20:07:26.127668
303.72,2113.22,3440.53,3466.65,4177.89,2317.81,26.23,231.59,842.39,1630.34,2585.13,608.63,0.58,19.14,178.98,585.17,1458.38,195.3,5245,71209,70739,24236,22852,194667,453,7804,17320,11398,14140,51117,10,645,3680,4091,7977,16403,2150.19,2498.52,502.35,724.69,147.04,247.83,94453,100090,22067,29031,6459,9928,26,0,0,2020-05-23 20:43:23.629814
306.33,2121.95,3452.98,3480.67,4194.71,2327.16,26.52,231.92,842.93,1632.2,2588.97,609.35,0.58,19.17,179.96,588.03,1462.96,196.09,5290,71503,70995,24334,22944,195452,458,7815,17331,11411,14161,51178,10,646,3700,4111,8002,16469,2158.54,2508.58,503.08,725.27,147.42,248.95,94820,100493,22099,29054,6476,9973,18,0,0,2020-05-24 20:35:16.554732
308.18,2128.54,3464.71,3489.11,4210.06,2334.85,26.52,231.98,843.27,1632.49,2590.43,609.58,0.58,19.17,180.2,588.46,1463.87,196.24,5322,71725,71236,24393,23028,196098,458,7817,17338,11413,14169,51197,10,646,3705,4114,8007,16482,2165.01,2517.74,503.26,725.74,147.54,249.45,95104,100860,22107,29073,6481,9993,16,0,0,2020-05-25 20:51:37.316849
309.22,2134.09,3474.38,3496.41,4221.58,2341.1,26.46,232.63,844.19,1635.06,2596.28,610.65,0.58,19.32,180.93,590.89,1472.28,197.23,5340,71912,71435,24444,23091,196623,457,7839,17357,11431,14201,51287,10,651,3720,4131,8053,16565,2171.2,2523.86,504.12,726.94,148.54,250.3,95376,101105,22145,29121,6525,10027,13,0,0,2020-05-26 21:05:37.971775
310.96,2141.83,3486.83,3507.42,4238.04,2349.77,27.22,233.35,845.17,1636.78,2600.48,611.76,0.58,19.32,181.32,592.17,1477.4,197.77,5370,72173,71691,24521,23181,197351,470,7863,17377,11443,14224,51380,10,651,3728,4140,8081,16610,2178.85,2533.57,505.12,728.09,148.9,250.95,95712,101494,22189,29167,6541,10053,19,0,1,2020-05-27 20:41:29.577200
313.74,2152.6,3503.66,3519.29,4248.82,2360.53,28.03,233.61,845.7,1638.21,2605.06,612.58,0.58,19.35,182.05,594.18,1483.43,198.52,5418,72536,72037,24604,23240,198255,484,7872,17388,11453,14249,51449,10,652,3743,4154,8114,16673,2188.91,2545.15,505.92,728.94,149.5,251.77,96154,101958,22224,29201,6567,10086,19,0,0,2020-05-28 20:18:14.799915
316.0,2161.77,3517.14,3531.45,4260.89,2369.85,28.2,233.7,845.99,1639.21,2607.43,612.96,0.58,19.38,182.92,596.89,1488.19,199.28,5457,72845,72314,24689,23306,199038,487,7875,17394,11460,14262,51481,10,653,3761,4173,8140,16737,2198.49,2554.44,506.22,729.66,150.18,252.95,96575,102330,22237,29230,6597,10133,13,1,1,2020-05-29 20:01:22.131632
