,AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,0-4,485.18,61.29,,2541.0,321.0,
1,5-12,679.68,22.87,,5081.0,171.0,
2,13-17,1362.15,59.61,,5896.0,258.0,
3,0-17,,,0.94,,,16.0
4,18-24,2761.57,188.03,4.97,19460.0,1325.0,35.0
5,25-34,3218.64,268.38,12.87,47755.0,3982.0,191.0
6,35-44,3819.14,446.56,46.09,43420.0,5077.0,524.0
7,45-54,4463.92,742.54,126.93,45893.0,7634.0,1305.0
8,55-64,4709.35,1214.6,306.23,47043.0,12133.0,3059.0
9,65-74,4259.77,1812.76,669.73,30619.0,13030.0,4814.0
10,75+,4944.53,2926.59,1704.39,27769.0,16436.0,9572.0
11,Citywide,3310.45,724.13,234.11,275986.0,60369.0,19517.0
