Age [0-4],Age [5-17],Age [18-35],Age [36-49],Age [50-64],Age [65+],Female,Male,Total,pullTime
4,5,64,70,97,137,191,186,377,2020-03-28 21:54:53.227110
4,5,75,78,118,154,223,206,429,2020-03-29 19:35:47.611897
4,6,80,90,132,169,253,228,481,2020-03-30 20:37:36.015602
4,8,91,108,155,199,290,275,565,2020-03-31 20:28:37.180568
6,9,111,138,194,261,364,355,719,2020-04-01 20:33:00.462700
9,12,139,178,232,309,451,428,879,2020-04-02 20:29:00.796317
12,12,154,204,266,340,510,478,988,2020-04-03 20:25:35.131361
13,20,191,239,301,395,599,560,1159,2020-04-04 20:12:06.820278
13,21,216,256,325,421,659,593,1252,2020-04-05 20:15:42.878818
14,22,232,276,345,438,694,633,1327,2020-04-06 20:29:25.307367
15,23,257,307,384,486,772,700,1472,2020-04-07 20:05:23.298349
15,25,264,315,402,503,802,722,1524,2020-04-08 20:19:29.696914
15,25,299,352,447,546,896,788,1684,2020-04-09 20:26:43.478133
16,28,315,375,467,593,957,837,1794,2020-04-10 20:21:21.896786
16,30,329,384,486,623,1006,862,1868,2020-04-11 19:53:59.263941
19,31,348,400,499,673,1081,889,1970,2020-04-12 20:41:37.386632
20,32,371,423,527,696,1140,929,2064,2020-04-13 20:22:24.277023
21,35,387,450,561,730,1203,981,2184,2020-04-14 20:02:10.066948
21,39,402,466,580,755,1247,1016,2263,2020-04-15 20:13:24.288394
22,41,426,483,597,788,1311,1046,2357,2020-04-16 20:17:45.341988
