Cases: Age [0-9],Cases: Age [10-19],Cases: Age [20-29],Cases: Age [30-39],Cases: Age [40-49],Cases: Age [50-59],Cases: Age [60-69],Cases: Age [70-79],Cases: Age [80+],Cases: Age [NA]},Hospitalized: Age [0-9],Hospitalized: Age [10-19],Hospitalized: Age [20-29],Hospitalized: Age [30-39],Hospitalized: Age [40-49],Hospitalized: Age [50-59],Hospitalized: Age [60-69],Hospitalized: Age [70-79],Hospitalized: Age [80+],Hospitalized: Age [NA]},Deaths: Age [0-9],Deaths: Age [10-19],Deaths: Age [20-29],Deaths: Age [30-39],Deaths: Age [40-49],Deaths: Age [50-59],Deaths: Age [60-69],Deaths: Age [70-79],Deaths: Age [80+],Deaths: Age [NA]},Cases: Female,Cases: Male,Cases: NA Gender,Deaths: Female,Deaths: Male,Deaths: NA Gender,Hospitalized: yes,Hospitalized: no,Hospitalized: unknown,Available Adult ICU Beds,Total ICU Beds,Available Adult non-ICU Beds,Total Adult non-ICU Beds,Available Pediatric NICU/PICU Beds,Total Pediatric NICU/PICU Beds,Available Pediatric non-ICU Beds,Total Pediatric non-ICU Beds,Available Ventilators,Currently Hospitalized: COVID-19 Confirmed and Suspected,Patients in ICU Beds: COVID-19 Confirmed and Suspected,Patients on Ventilators: COVID-19 Confirmed and Suspected,Currently Hospitalized: COVID-19 Confirmed,Patients in ICU Beds: COVID-19 Confirmed,Patients on Ventilators: COVID-19 Confirmed,pullTime
12,60,328,418,444,471,415,256,169,6,3,1,24,35,75,93,155,116,86,3,0,0,0,0,3,3,20,30,48,0,1397,1171,10,44,60,0,591,1833,155,250,827,1868,7490,69,292,157,349,797,208,49,23,105,37,21,2020-05-01 21:05:03.794851
13,64,338,430,454,479,420,260,171,6,3,1,24,35,76,93,155,118,86,4,0,0,0,0,3,3,21,33,49,0,1426,1200,8,46,63,0,595,1884,156,265,827,1852,7471,79,292,158,349,798,209,50,22,98,33,19,2020-05-02 20:34:07.099878
13,65,352,438,462,483,423,264,175,5,3,1,24,37,76,93,155,120,86,3,0,0,0,0,3,3,21,33,49,0,1449,1221,9,46,63,0,598,1922,160,295,827,1935,7471,72,292,157,349,800,205,46,21,92,33,18,2020-05-03 20:33:35.825571
13,74,369,446,476,498,424,270,181,8,3,2,24,40,78,95,157,120,86,3,0,0,0,0,3,3,21,33,49,0,1489,1268,1,46,63,0,608,1976,175,276,827,1912,7463,71,292,152,349,804,207,41,17,90,26,15,2020-05-04 19:46:27.852258
13,77,380,462,487,509,428,278,194,11,3,3,26,41,77,99,157,123,89,4,0,0,0,0,3,3,21,36,50,0,1536,1301,1,46,67,0,622,2037,180,266,823,1925,6966,70,292,147,349,798,219,49,25,93,27,17,2020-05-05 20:20:06.307259
14,81,387,477,503,521,432,284,206,11,4,3,25,43,79,104,158,125,97,3,0,0,0,0,3,3,20,36,53,0,1571,1343,1,46,69,0,641,2088,187,263,823,1872,6971,85,286,151,349,775,191,47,20,91,26,15,2020-05-06 20:17:08.301389
15,83,404,492,512,533,438,293,209,10,4,3,24,42,78,105,158,130,98,3,0,0,0,0,3,3,22,37,56,0,1613,1374,1,50,71,0,645,2139,205,245,807,1895,6876,84,302,149,332,797,171,48,23,76,23,16,2020-05-07 20:56:27.622781
17,87,422,513,523,544,447,295,210,10,4,2,25,43,83,109,160,131,99,3,0,0,0,0,3,4,22,37,58,0,1657,1409,1,52,72,0,659,2200,209,241,807,1899,6866,81,302,149,331,792,159,42,18,75,24,16,2020-05-08 22:05:12.433998
21,92,438,532,545,557,454,298,211,12,4,2,25,42,83,109,161,132,99,5,0,0,0,0,3,5,22,38,59,0,1700,1458,1,54,73,0,662,2269,229,219,812,1905,6942,77,302,148,332,799,139,34,19,64,18,14,2020-05-09 20:40:50.654983
24,97,450,545,553,566,460,300,214,19,4,2,25,43,83,110,161,132,101,9,0,0,0,0,3,5,22,38,59,0,1735,1490,2,54,73,0,670,2324,234,230,812,1913,6939,75,302,155,332,793,164,45,22,63,17,14,2020-05-10 20:06:23.621978
