Cases: Age [0-19],Cases: Age [20-29],Cases: Age [30-39],Cases: Age [40-49],Cases: Age [50-59],Cases: Age [60-69],Cases: Age [70-79],Cases: Age [80+],Cases: Age [NA]},Hospitalized: Age [0-19],Hospitalized: Age [20-29],Hospitalized: Age [30-39],Hospitalized: Age [40-49],Hospitalized: Age [50-59],Hospitalized: Age [60-69],Hospitalized: Age [70-79],Hospitalized: Age [80+],Hospitalized: Age [NA]},Deaths: Age [0-19],Deaths: Age [20-29],Deaths: Age [30-39],Deaths: Age [40-49],Deaths: Age [50-59],Deaths: Age [60-69],Deaths: Age [70-79],Deaths: Age [80+],Deaths: Age [NA]},Cases: Female,Cases: Male,Cases: NA Gender,Deaths: Female,Deaths: Male,Deaths: NA Gender,Hospitalized: yes,Hospitalized: no,Hospitalized: unknown,Available Adult ICU Beds,Total ICU Beds,Available Adult non-ICU Beds,Total Adult non-ICU Beds,Available Pediatric NICU/PICU Beds,Total Pediatric NICU/PICU Beds,Available Pediatric non-ICU Beds,Total Pediatric non-ICU Beds,Available Ventilators,Currently Hospitalized: COVID-19 Confirmed and Suspected,Patients in ICU Beds: COVID-19 Confirmed and Suspected,Patients on Ventilators: COVID-19 Confirmed and Suspected,Currently Hospitalized: COVID-19 Confirmed,Patients in ICU Beds: COVID-19 Confirmed,Patients on Ventilators: COVID-19 Confirmed,pullTime
26,133,186,233,226,223,129,83,0,5,16,20,48,55,84,55,41,0,0,0,0,0,1,7,12,18,0,664,570,5,20,18,0,324,812,103,302,739,2175,6809,92,198,192,287,785,440,125,67,156,61,58,2020-04-08 21:10:31.839492
31,141,203,245,237,241,138,84,1,3,13,19,46,50,91,63,41,0,0,0,0,1,1,7,15,20,0,711,602,8,22,22,0,326,872,123,294,739,2237,6826,90,198,189,287,794,400,105,64,146,66,54,2020-04-09 19:52:15.714154
33,148,208,254,245,246,146,91,0,3,14,20,48,51,92,64,46,0,0,0,0,1,1,9,15,22,0,736,629,6,22,26,0,338,924,109,296,748,2203,6968,89,198,182,294,797,353,93,58,140,58,46,2020-04-10 21:07:04.333348
35,159,216,269,258,261,153,96,0,3,15,21,50,51,92,65,48,0,0,0,0,1,1,9,15,25,0,780,658,9,24,27,0,345,980,122,295,748,2215,6968,80,198,150,294,768,334,101,54,142,60,48,2020-04-11 19:53:59.477981
36,167,236,284,268,266,166,104,0,3,15,21,53,52,94,71,50,0,0,0,0,1,1,9,15,26,0,835,683,9,25,27,0,359,1039,129,325,749,2035,6975,86,198,148,287,760,295,81,52,150,52,45,2020-04-12 20:39:54.715955
38,178,242,295,276,275,173,105,2,3,16,21,54,52,99,73,50,1,0,0,0,1,1,10,15,26,0,867,708,9,26,27,0,369,1065,150,332,751,2094,6974,90,198,169,287,770,321,96,50,145,51,38,2020-04-13 20:22:24.606453
38,182,249,303,289,287,178,107,0,3,18,21,54,54,103,76,52,-,0,0,0,1,1,10,16,27,0,907,717,9,27,28,0,381,1112,140,328,751,2134,6974,85,198,187,287,794,311,88,44,150,52,37,2020-04-14 20:02:10.504836
39,188,250,308,296,291,181,109,1,3,18,22,54,57,111,82,54,-,0,0,0,1,1,10,16,30,0,922,736,5,29,29,0,401,1146,116,307,807,2254,7409,105,264,175,367,794,305,95,43,140,48,35,2020-04-15 20:13:24.529838
40,192,267,322,310,305,186,114,0,3,18,22,56,60,118,83,54,-,0,0,0,1,2,11,18,32,0,961,771,4,31,33,0,414,1201,121,287,818,2163,7318,103,251,170,347,768,307,89,43,132,51,28,2020-04-16 20:17:45.602570
42,195,276,329,318,315,191,119,0,3,18,23,57,61,122,85,58,-,0,0,0,1,1,13,19,36,0,990,790,5,35,35,0,427,1243,115,274,818,2012,7269,99,251,153,347,800,301,69,41,125,43,28,2020-04-17 20:04:59.361111
43,206,283,338,327,326,195,125,1,3,19,26,59,63,129,88,62,0,0,0,0,1,1,14,19,37,0,1022,822,0,35,37,0,449,1307,88,302,818,2106,7280,103,251,151,347,790,290,74,37,131,41,26,2020-04-18 20:11:59.950170
45,217,295,355,335,334,198,130,1,3,19,26,60,63,131,89,64,1,0,0,0,1,1,16,19,37,0,1054,855,1,35,39,0,456,1341,113,323,821,2071,7277,102,251,179,347,795,278,66,37,125,38,25,2020-04-19 20:25:28.911369
48,223,300,361,349,342,202,131,1,3,19,28,61,66,131,93,64,0,0,0,0,2,1,16,19,37,0,1074,877,5,35,40,0,465,1376,115,326,821,2089,7279,107,251,188,347,797,303,74,35,131,39,26,2020-04-20 20:22:12.437254
49,230,304,362,362,357,205,133,0,3,19,30,61,66,134,94,64,0,0,0,0,3,1,18,19,37,0,1094,905,3,36,42,0,471,1428,103,346,821,2211,7231,104,257,160,347,784,297,70,35,125,34,25,2020-04-21 20:09:51.189558
50,237,313,366,380,361,213,137,2,3,20,30,61,75,135,97,66,1,0,0,0,3,1,18,19,37,0,1120,927,12,36,42,0,488,1458,113,336,821,2195,7250,105,257,166,347,788,302,67,35,124,37,24,2020-04-22 20:23:48.393790
52,245,331,376,400,365,217,139,2,3,21,32,63,85,140,99,68,1,0,0,0,3,1,18,22,39,0,1160,955,11,37,46,0,512,1497,118,359,821,2208,7255,97,257,175,347,803,304,74,36,131,36,23,2020-04-23 20:21:25.746249
52,255,339,385,404,367,225,148,2,3,21,32,64,87,140,102,71,0,0,0,0,3,1,18,22,42,0,1186,979,11,37,49,0,520,1543,114,324,826,2150,7366,90,296,165,347,811,258,56,29,133,34,23,2020-04-24 20:41:03.752653
56,268,356,395,418,374,233,151,2,4,21,33,68,89,142,106,73,0,0,0,0,3,2,18,22,42,0,1226,1018,8,37,50,0,536,1584,133,277,826,2071,7365,88,296,164,347,789,261,60,29,132,34,23,2020-04-25 20:31:00.498885
58,276,363,403,428,381,238,159,5,4,20,33,68,90,145,110,76,0,0,0,0,3,3,18,24,43,0,1253,1048,9,39,52,0,546,1625,140,280,827,2014,7365,90,292,171,347,795,249,71,31,128,42,25,2020-04-26 20:03:46.444321
59,289,369,407,436,389,240,161,4,4,21,33,69,90,147,110,80,0,0,0,0,3,3,18,24,44,0,1272,1072,9,40,52,0,554,1659,141,280,827,2014,7365,90,292,171,347,795,249,71,31,128,42,25,2020-04-27 20:44:09.774778
63,294,375,412,438,395,242,162,4,4,20,34,70,92,150,113,82,0,0,0,0,3,3,19,26,48,0,1288,1089,7,43,56,0,565,1689,131,293,827,2049,7494,81,292,166,347,784,243,65,28,116,37,21,2020-04-28 20:39:33.897841
63,304,395,420,447,406,243,164,4,4,20,35,72,92,150,112,82,2,0,0,0,3,3,19,28,48,0,1328,1111,6,44,57,0,569,1734,143,286,827,2029,7491,84,292,156,349,780,227,56,24,102,34,22,2020-04-29 19:58:49.402505
67,313,412,430,456,411,250,166,5,4,20,35,74,91,154,112,85,3,0,0,0,3,3,20,29,48,0,1362,1140,7,44,59,0,578,1781,151,293,827,2049,7494,81,292,166,347,784,243,65,28,116,37,21,2020-04-30 20:57:58.121117
