County Name,Scrape Time,Total Cases,Total Deaths,Total Tested: Negative
Baker,2020-06-24 11:35:50.184927,1,0,405
Benton,2020-06-24 11:35:50.184927,68,5,5746
Clackamas,2020-06-24 11:35:50.184927,632,23,19837
Clatsop,2020-06-24 11:35:50.184927,46,0,2096
Columbia,2020-06-24 11:35:50.184927,26,0,2397
Coos,2020-06-24 11:35:50.184927,37,0,2352
Crook,2020-06-24 11:35:50.184927,9,0,911
Curry,2020-06-24 11:35:50.184927,7,0,627
Deschutes,2020-06-24 11:35:50.184927,149,0,9343
Douglas,2020-06-24 11:35:50.184927,34,0,4460
Gilliam,2020-06-24 11:35:50.184927,0,0,84
Grant,2020-06-24 11:35:50.184927,1,0,172
Harney,2020-06-24 11:35:50.184927,1,0,357
Hood River,2020-06-24 11:35:50.184927,89,0,2149
Jackson,2020-06-24 11:35:50.184927,92,0,10519
Jefferson,2020-06-24 11:35:50.184927,81,0,1711
Josephine,2020-06-24 11:35:50.184927,26,1,3590
Klamath,2020-06-24 11:35:50.184927,95,0,4586
Lake,2020-06-24 11:35:50.184927,6,0,220
Lane,2020-06-24 11:35:50.184927,107,3,19576
Lincoln,2020-06-24 11:35:50.184927,292,1,3809
Linn,2020-06-24 11:35:50.184927,129,9,6197
Malheur,2020-06-24 11:35:50.184927,53,1,1100
Marion,2020-06-24 11:35:50.184927,1365,35,14901
Morrow,2020-06-24 11:35:50.184927,35,1,324
Multnomah,2020-06-24 11:35:50.184927,1893,68,43670
Polk,2020-06-24 11:35:50.184927,131,12,2622
Sherman,2020-06-24 11:35:50.184927,1,0,136
Tillamook,2020-06-24 11:35:50.184927,7,0,1080
Umatilla,2020-06-24 11:35:50.184927,298,4,2712
Union,2020-06-24 11:35:50.184927,282,0,1281
Wallowa,2020-06-24 11:35:50.184927,8,0,364
Wasco,2020-06-24 11:35:50.184927,52,1,2014
Washington,2020-06-24 11:35:50.184927,1120,20,27382
Wheeler,2020-06-24 11:35:50.184927,0,0,113
Yamhill,2020-06-24 11:35:50.184927,101,8,4595
Baker,2020-06-24 21:20:45.750517,1,0,423
Benton,2020-06-24 21:20:45.750517,70,5,5809
Clackamas,2020-06-24 21:20:45.750517,640,24,20082
Clatsop,2020-06-24 21:20:45.750517,47,0,2123
Columbia,2020-06-24 21:20:45.750517,26,0,2429
Coos,2020-06-24 21:20:45.750517,37,0,2360
Crook,2020-06-24 21:20:45.750517,9,0,932
Curry,2020-06-24 21:20:45.750517,7,0,632
Deschutes,2020-06-24 21:20:45.750517,153,0,9439
Douglas,2020-06-24 21:20:45.750517,34,0,4506
Gilliam,2020-06-24 21:20:45.750517,0,0,84
Grant,2020-06-24 21:20:45.750517,1,0,172
Harney,2020-06-24 21:20:45.750517,1,0,368
Hood River,2020-06-24 21:20:45.750517,88,0,2161
Jackson,2020-06-24 21:20:45.750517,94,0,10731
Jefferson,2020-06-24 21:20:45.750517,84,0,1738
Josephine,2020-06-24 21:20:45.750517,26,1,3667
Klamath,2020-06-24 21:20:45.750517,98,0,4596
Lake,2020-06-24 21:20:45.750517,6,0,220
Lane,2020-06-24 21:20:45.750517,107,3,19946
Lincoln,2020-06-24 21:20:45.750517,301,2,4244
Linn,2020-06-24 21:20:45.750517,130,9,6246
Malheur,2020-06-24 21:20:45.750517,58,1,1126
Marion,2020-06-24 21:20:45.750517,1378,36,15019
Morrow,2020-06-24 21:20:45.750517,35,1,352
Multnomah,2020-06-24 21:20:45.750517,1938,68,44189
Polk,2020-06-24 21:20:45.750517,132,12,2641
Sherman,2020-06-24 21:20:45.750517,1,0,137
Tillamook,2020-06-24 21:20:45.750517,7,0,1098
Umatilla,2020-06-24 21:20:45.750517,333,4,2783
Union,2020-06-24 21:20:45.750517,287,0,1317
Wallowa,2020-06-24 21:20:45.750517,8,0,387
Wasco,2020-06-24 21:20:45.750517,54,1,2024
Washington,2020-06-24 21:20:45.750517,1151,20,27762
Wheeler,2020-06-24 21:20:45.750517,0,0,114
Yamhill,2020-06-24 21:20:45.750517,102,8,4645
Baker,2020-06-25 20:02:15.468732,1,0,438
Benton,2020-06-25 20:02:15.468732,76,5,5831
Clackamas,2020-06-25 20:02:15.468732,648,24,20364
Clatsop,2020-06-25 20:02:15.468732,48,0,2130
Columbia,2020-06-25 20:02:15.468732,26,0,2442
Coos,2020-06-25 20:02:15.468732,39,0,2384
Crook,2020-06-25 20:02:15.468732,9,0,938
Curry,2020-06-25 20:02:15.468732,7,0,642
Deschutes,2020-06-25 20:02:15.468732,155,0,9523
Douglas,2020-06-25 20:02:15.468732,34,0,4542
Gilliam,2020-06-25 20:02:15.468732,0,0,86
Grant,2020-06-25 20:02:15.468732,1,0,172
Harney,2020-06-25 20:02:15.468732,1,0,369
Hood River,2020-06-25 20:02:15.468732,88,0,2176
Jackson,2020-06-25 20:02:15.468732,93,0,10855
Jefferson,2020-06-25 20:02:15.468732,85,0,1762
Josephine,2020-06-25 20:02:15.468732,26,1,3711
Klamath,2020-06-25 20:02:15.468732,111,0,4602
Lake,2020-06-25 20:02:15.468732,9,0,220
Lane,2020-06-25 20:02:15.468732,112,3,20236
Lincoln,2020-06-25 20:02:15.468732,301,2,4293
Linn,2020-06-25 20:02:15.468732,132,9,6296
Malheur,2020-06-25 20:02:15.468732,60,1,1197
Marion,2020-06-25 20:02:15.468732,1382,38,15178
Morrow,2020-06-25 20:02:15.468732,36,1,360
Multnomah,2020-06-25 20:02:15.468732,1967,68,44677
Polk,2020-06-25 20:02:15.468732,134,12,2658
Sherman,2020-06-25 20:02:15.468732,1,0,138
Tillamook,2020-06-25 20:02:15.468732,7,0,1112
Umatilla,2020-06-25 20:02:15.468732,341,4,2823
Union,2020-06-25 20:02:15.468732,297,0,1379
Wallowa,2020-06-25 20:02:15.468732,8,0,392
Wasco,2020-06-25 20:02:15.468732,55,1,2032
Washington,2020-06-25 20:02:15.468732,1175,20,28200
Wheeler,2020-06-25 20:02:15.468732,0,0,114
Yamhill,2020-06-25 20:02:15.468732,103,8,4713
Baker,2020-06-26 19:41:00.041713,1,0,-
Benton,2020-06-26 19:41:00.041713,80,5,-
Clackamas,2020-06-26 19:41:00.041713,665,24,-
Clatsop,2020-06-26 19:41:00.041713,48,0,-
Columbia,2020-06-26 19:41:00.041713,27,0,-
Coos,2020-06-26 19:41:00.041713,39,0,-
Crook,2020-06-26 19:41:00.041713,9,0,-
Curry,2020-06-26 19:41:00.041713,7,0,-
Deschutes,2020-06-26 19:41:00.041713,159,0,-
