state,stateAbbrev,date,Cases,Tested,Deaths,Age [0-4],Age [5-12],Age [13-18],Age [19-24],Age [25-49],Age [50-64],Age [65+],Sex_Cases [Female],Sex_Cases [Male],Sex_Cases [Neither],Sex_Cases [Unknown],Race_Cases [African American/Black],Race_Cases [Asian],Race_Cases [White],Race_Cases [Other],Race_Cases [Not reported],Hospitalizations,Hospitalized_Age [0-29],Hospitalized_Age [30-49],Hospitalized_Age [50-64],Hospitalized_Age [65-79],Hospitalized_Age [80+],pullTime,Hospitalized_Age [0-4],Hospitalized_Age [5-12],Hospitalized_Age [13-18],Hospitalized_Age [19-24],Hospitalized_Age [25-49],Hospitalized_Age [65+],ProbableCases,Age_Cases [0-9],Age_Cases [10-19],Age_Cases [20-29],Age_Cases [30-39],Age_Cases [40-49],Age_Cases [50-59],Age_Cases [60-69],Age_Cases [70-79],Age_Cases [80-89],Age_Cases [90-99],Age_Cases [9100],Age_Cases [Not Reported],Age_Deaths [0-9],Age_Deaths [10-19],Age_Deaths [20-29],Age_Deaths [30-39],Age_Deaths [40-49],Age_Deaths [50-59],Age_Deaths [60-69],Age_Deaths [70-79],Age_Deaths [80-89],Age_Deaths [90-99],Age_Deaths [99100],Sex_Cases [Not Reported],Sex_Deaths [Female],Sex_Deaths [Male],Race_Deaths [African American/Black],Race_Deaths [Asian],Race_Deaths [Multiple/Other],Race_Deaths [White],Ethnicity_Cases [Hispanic],Ethnicity_Cases [Not Hispanic],Ethnicity_Cases [Not Reported],Unnamed: 69,Age_Deaths [<0-9],Age_Deaths [ 10-19],Age_Deaths [100+],Race_Cases [Unknown],Race_Cases [Black]
Pennsylvania,PA,2020-03-27,2218,23234,22,0.0,0.0,44.0,243.0,887.0,621.0,399.0,,,,,,,,,,241.0,,,65.0,,,2020-03-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-03-28,2751,28005,34,0.0,0.0,27.0,302.0,1072.0,770.0,522.0,,,,,,,,,,316.0,,,85.0,,,2020-03-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-03-29,3394,33455,38,0.0,0.0,33.0,339.0,1391.0,916.0,644.0,,,,,,,,,,353.0,,,95.0,,,2020-03-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-03-30,4087,37864,48,0.0,0.0,40.0,408.0,1675.0,1144.0,776.0,,,,,,,,,,386.0,,,96.0,,,2020-03-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-03-31,4843,42488,63,0.0,0.0,48.0,484.0,1985.0,1404.0,920.0,,,,,,,,,,514.0,,,133.0,,,2020-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-01,5805,48232,74,0.0,0.0,58.0,522.0,2322.0,1683.0,1102.0,,,,,,,,,,620.0,,,167.0,,,2020-04-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-02,7016,54714,90,0.0,0.0,70.0,631.0,2876.0,2034.0,1333.0,,,,,,,,,,730.0,,,204.0,,,2020-04-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-03,8420,62115,102,0.0,0.0,84.0,673.0,3452.0,2441.0,1684.0,,,,,,,,,,852.0,,,238.0,,,2020-04-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-04,10017,70030,136,0.0,0.0,100.0,801.0,4106.0,2904.0,2003.0,,,,,,,,,,1004.0,,,281.0,,,2020-04-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-05,11510,77771,150,0.0,0.0,115.0,920.0,4834.0,3337.0,2302.0,,,,,,,,,,1072.0,,,300.0,,,2020-04-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-06,12980,83854,162,0.0,0.0,129.0,908.0,5451.0,3764.0,2596.0,,,,,,,,,,1145.0,,,320.0,,,2020-04-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-07,14559,91278,240,0.0,0.0,145.0,1019.0,6114.0,4222.0,2911.0,,,,,,,,,,,,,,,,2020-04-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-08,16239,98538,309,0.0,0.0,162.0,1136.0,6657.0,4709.0,3247.0,,,,,,,,,,,,,,,,2020-04-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-09,18228,105602,338,0.0,0.0,182.0,1275.0,7473.0,5286.0,3827.0,,,,,,,,,,,,,,,,2020-04-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-10,19979,113019,416,0.0,0.0,199.0,1398.0,8191.0,5793.0,4195.0,,,,,,,,,,,,,,,,2020-04-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-11,21655,120153,494,0.0,0.0,216.0,1515.0,8878.0,6279.0,4547.0,,,,,,,,,,,,,,,,2020-04-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-12,22833,124890,507,0.0,0.0,228.0,1598.0,9361.0,6621.0,4794.0,,,,,,,,,,,,,,,,2020-04-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-13,24199,129792,524,0.0,0.0,241.0,1451.0,9921.0,7017.0,5081.0,,,,,,,,,,,,,,,,2020-04-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-14,25345,133631,584,0.0,0.0,253.0,1774.0,10138.0,7350.0,5575.0,,,,,,,,,,,,,,,,2020-04-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-15,26490,137584,647,0.0,0.0,264.0,1589.0,10596.0,7682.0,5827.0,,,,,,,,,,,,,,,,2020-04-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-16,27735,141470,707,0.0,0.0,277.0,1664.0,11094.0,8043.0,6379.0,14554.0,12717.0,1.0,463.0,2324.0,237.0,4540.0,83.0,20551.0,,,,,,,2020-04-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-17,29441,147373,756,0.0,0.0,294.0,1766.0,11776.0,8537.0,6771.0,15549.0,13426.0,2.0,464.0,2497.0,253.0,4876.0,91.0,21724.0,,,,,,,2020-04-17 18:49:07.535458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-18,31069,153965,836,0.0,0.0,310.0,1864.0,12116.0,8699.0,7456.0,16455.0,14143.0,1.0,470.0,2670.0,269.0,5275.0,97.0,22758.0,,,,,,,2020-04-18 20:15:31.227859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-19,32284,158854,1112,0.0,0.0,322.0,1937.0,12590.0,9039.0,7748.0,17184.0,14616.0,1.0,483.0,2792.0,290.0,5523.0,109.0,23570.0,,,,,,,2020-04-19 20:28:40.604829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-20,33232,162952,1204,0.0,0.0,332.0,1993.0,12960.0,9304.0,7975.0,17744.0,14997.0,1.0,490.0,2878.0,301.0,5699.0,113.0,24241.0,,,,,,,2020-04-20 20:24:15.291536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-21,34528,166851,1564,0.0,0.0,345.0,2071.0,13465.0,9667.0,8632.0,18332.0,15482.0,1.0,713.0,3097.0,321.0,6226.0,123.0,24761.0,,,,,,,2020-04-21 20:16:10.233968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-22,35684,171956,1622,0.0,0.0,356.0,2141.0,13916.0,9991.0,8921.0,18959.0,16003.0,1.0,721.0,3289.0,339.0,6639.0,128.0,25289.0,2187.0,43.0,109.0,196.0,415.0,437.0,2020-04-22 21:18:13.994575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-23,37053,179114,1421,0.0,0.0,370.0,2223.0,14450.0,10374.0,9263.0,19849.0,16680.0,1.0,523.0,3481.0,361.0,7051.0,145.0,26015.0,2187.0,43.0,109.0,218.0,437.0,459.0,2020-04-23 21:25:32.948849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-24,38652,186143,1492,0.0,0.0,386.0,2319.0,14687.0,10822.0,9663.0,20790.0,17298.0,1.0,563.0,3719.0,384.0,7497.0,154.0,26898.0,2187.0,43.0,109.0,218.0,437.0,437.0,2020-04-24 20:42:55.583025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-25,40049,192935,1537,0.0,0.0,400.0,2402.0,15218.0,11213.0,10412.0,21584.0,17902.0,2.0,561.0,3874.0,401.0,7949.0,169.0,27656.0,2187.0,43.0,109.0,218.0,437.0,437.0,2020-04-25 20:34:47.969921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2020-04-26,41165,198593,1550,0.0,0.0,411.0,2469.0,15642.0,11114.0,10702.0,22236.0,18355.0,2.0,572.0,,420.0,8292.0,176.0,28250.0,2187.0,43.0,109.0,218.0,437.0,437.0,2020-04-26 20:08:03.237612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
