# Cases Age [0-4],# Cases Age [10-14],# Cases Age [15-18],# Cases Age [19-24],# Cases Age [25-29],# Cases Age [30-39],# Cases Age [40-49],# Cases Age [5-9],# Cases Age [50-59],# Cases Age [60-69],# Cases Age [70-79],# Cases Age [80-89],# Cases Age [90+],# Cases Age [Pending further information],# Deaths Age [0-4],# Deaths Age [10-14],# Deaths Age [15-18],# Deaths Age [19-24],# Deaths Age [25-29],# Deaths Age [30-39],# Deaths Age [40-49],# Deaths Age [5-9],# Deaths Age [50-59],# Deaths Age [60-69],# Deaths Age [70-79],# Deaths Age [80-89],# Deaths Age [90+],# Deaths Age [Pending further information],# Hospitalizations Age [0-4],# Hospitalizations Age [10-14],# Hospitalizations Age [15-18],# Hospitalizations Age [19-24],# Hospitalizations Age [25-29],# Hospitalizations Age [30-39],# Hospitalizations Age [40-49],# Hospitalizations Age [5-9],# Hospitalizations Age [50-59],# Hospitalizations Age [60-69],# Hospitalizations Age [70-79],# Hospitalizations Age [80-89],# Hospitalizations Age [90+],# Hospitalizations Age [Pending further information],Cases_Sex: Female,Cases_Sex: Male,Cases_Sex: Other,Cases_Sex: Pending further information,Cases_race/ethn: American Indian or Alaska Native*,Cases_race/ethn: Asian*,Cases_race/ethn: Black or African American*,Cases_race/ethn: Declined,Cases_race/ethn: Hispanic or Latino†,Cases_race/ethn: Multiple race*,Cases_race/ethn: Native Hawaiian or Other Pacific Islander*,Cases_race/ethn: Other race*,Cases_race/ethn: Unknown or pending further information,Cases_race/ethn: White*,Deaths_Sex: Female,Deaths_Sex: Male,Deaths_Sex: Other,Deaths_Sex: Pending further information,Deaths_race/ethn: American Indian or Alaska Native*,Deaths_race/ethn: Asian*,Deaths_race/ethn: Black or African American*,Deaths_race/ethn: Declined,Deaths_race/ethn: Hispanic or Latino†,Deaths_race/ethn: Multiple race*,Deaths_race/ethn: Native Hawaiian or Other Pacific Islander*,Deaths_race/ethn: Other race*,Deaths_race/ethn: Unknown or pending further information,Deaths_race/ethn: White*,Hospitalizations_Sex: Female,Hospitalizations_Sex: Male,Hospitalizations_Sex: Other,Hospitalizations_Sex: Pending further information,Hospitalizations_race/ethn: American Indian or Alaska Native*,Hospitalizations_race/ethn: Asian*,Hospitalizations_race/ethn: Black or African American*,Hospitalizations_race/ethn: Declined,Hospitalizations_race/ethn: Hispanic or Latino†,Hospitalizations_race/ethn: Multiple race*,Hospitalizations_race/ethn: Native Hawaiian or Other Pacific Islander*,Hospitalizations_race/ethn: Other race*,Hospitalizations_race/ethn: Unknown or pending further information,Hospitalizations_race/ethn: White*
349,384,766,2153,1940,3540,3227,342,3233,2269,1481,1271,841,6,0,<5,0,<5,<5,7,16,0,49,111,249,341,279,0,23,11,19,68,90,208,302,8,405,501,486,328,135,<5,11979,9674,78,71,70,342,2126,186,7807,143,0,288,4514,6326,561,496,0,0,<5,12,54,0,102,0,0,0,187,701,1225,1347,7,8,5,26,253,7,731,5,0,34,569,957
349,384,766,2153,1940,3540,3227,342,3233,2269,1481,1271,841,6,0,<5,0,<5,<5,7,16,0,49,111,249,341,279,0,23,11,19,68,90,208,302,8,405,501,486,328,135,<5,11979,9674,78,71,70,342,2126,186,7807,143,0,288,4514,6326,561,496,0,0,<5,12,54,0,102,0,0,0,187,701,1225,1347,7,8,5,26,253,7,731,5,0,34,569,957
349,384,766,2153,1940,3540,3227,342,3233,2269,1481,1271,841,6,0,<5,0,<5,<5,7,16,0,49,111,249,341,279,0,23,11,19,68,90,208,302,8,405,501,486,328,135,<5,11979,9674,78,71,70,342,2126,186,7807,143,0,288,4514,6326,561,496,0,0,<5,12,54,0,102,0,0,0,187,701,1225,1347,7,8,5,26,253,7,731,5,0,34,569,957
349,384,766,2153,1940,3540,3227,342,3233,2269,1481,1271,841,6,0,<5,0,<5,<5,7,16,0,49,111,249,341,279,0,23,11,19,68,90,208,302,8,405,501,486,328,135,<5,11979,9674,78,71,70,342,2126,186,7807,143,0,288,4514,6326,561,496,0,0,<5,12,54,0,102,0,0,0,187,701,1225,1347,7,8,5,26,253,7,731,5,0,34,569,957
349,384,766,2153,1940,3540,3227,342,3233,2269,1481,1271,841,6,0,<5,0,<5,<5,7,16,0,49,111,249,341,279,0,23,11,19,68,90,208,302,8,405,501,486,328,135,<5,11979,9674,78,71,70,342,2126,186,7807,143,0,288,4514,6326,561,496,0,0,<5,12,54,0,102,0,0,0,187,701,1225,1347,7,8,5,26,253,7,731,5,0,34,569,957
349,384,766,2153,1940,3540,3227,342,3233,2269,1481,1271,841,6,0,<5,0,<5,<5,7,16,0,49,111,249,341,279,0,23,11,19,68,90,208,302,8,405,501,486,328,135,<5,11979,9674,78,71,70,342,2126,186,7807,143,0,288,4514,6326,561,496,0,0,<5,12,54,0,102,0,0,0,187,701,1225,1347,7,8,5,26,253,7,731,5,0,34,569,957
349,384,766,2153,1940,3540,3227,342,3233,2269,1481,1271,841,6,0,<5,0,<5,<5,7,16,0,49,111,249,341,279,0,23,11,19,68,90,208,302,8,405,501,486,328,135,<5,11979,9674,78,71,70,342,2126,186,7807,143,0,288,4514,6326,561,496,0,0,<5,12,54,0,102,0,0,0,187,701,1225,1347,7,8,5,26,253,7,731,5,0,34,569,957
356,406,810,2215,1983,3621,3292,356,3301,2330,1523,1303,872,8,0,<5,0,<5,<5,7,16,0,49,113,251,347,286,0,24,14,19,73,94,207,304,8,411,517,497,333,143,<5,12291,9915,100,70,70,353,2187,189,7983,150,0,301,4594,6549,568,506,0,0,<5,13,54,0,102,<5,0,0,192,711,1256,1374,9,8,5,30,264,7,745,5,0,36,580,975
356,406,810,2215,1983,3621,3292,356,3301,2330,1523,1303,872,8,0,<5,0,<5,<5,7,16,0,49,113,251,347,286,0,24,14,19,73,94,207,304,8,411,517,497,333,143,<5,12291,9915,100,70,70,353,2187,189,7983,150,0,301,4594,6549,568,506,0,0,<5,13,54,0,102,<5,0,0,192,711,1256,1374,9,8,5,30,264,7,745,5,0,36,580,975
356,406,810,2215,1983,3621,3292,356,3301,2330,1523,1303,872,8,0,<5,0,<5,<5,7,16,0,49,113,251,347,286,0,24,14,19,73,94,207,304,8,411,517,497,333,143,<5,12291,9915,100,70,70,353,2187,189,7983,150,0,301,4594,6549,568,506,0,0,<5,13,54,0,102,<5,0,0,192,711,1256,1374,9,8,5,30,264,7,745,5,0,36,580,975
