Age_0_9,Age_100_plus,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_89,Age_90_99,CasesFemale,CasesMale,CasesOther,Scrape_Time,UpdateAge,UpdateGender
<5,<5,11,88,111,105,156,127,72,48,30,395,341,1,2020-04-04 22:11:47.532609,2020-04-04,2020-04-04
<5,<5,13,104,136,123,176,150,86,56,33,448,415,1,2020-04-05 20:15:43.729820,2020-04-05,2020-04-05
<5,<5,19,123,153,146,202,172,100,65,41,537,477,1,2020-04-06 20:29:26.091425,2020-04-06,2020-04-05
<5,<5,23,132,170,165,240,196,115,82,49,632,532,1,2020-04-07 20:05:24.122113,2020-04-07,2020-04-07
6,<5,25,166,188,195,289,226,127,99,54,743,617,1,2020-04-08 20:19:30.327947,2020-04-08,2020-04-08
8,<5,36,204,231,239,335,275,155,124,72,903,749,1,2020-04-09 19:52:16.221412,2020-04-09,2020-04-09
9,<5,46,244,259,284,393,313,170,145,84,1038,857,1,2020-04-10 20:21:22.554039,2020-04-10,2020-04-10
11,<5,52,279,287,317,441,348,191,164,97,1171,980,1,2020-04-11 19:54:00.058428,2020-04-11,2020-04-11
11,<5,52,279,287,317,441,348,191,164,97,1171,980,1,2020-04-12 20:39:55.207726,2020-04-11,2020-04-11
11,<5,52,279,287,317,441,348,191,164,97,1171,980,1,2020-04-13 20:22:25.189047,2020-04-11,2020-04-11
22,<5,94,422,427,485,611,467,279,214,126,1699,1381,1,2020-04-14 20:02:11.447579,2020-04-14,2020-04-14
22,<5,94,422,427,485,611,467,279,214,126,1699,1381,1,2020-04-15 20:13:25.123255,2020-04-14,2020-04-14
22,<5,94,422,427,485,611,467,279,214,126,1699,1381,1,2020-04-16 20:17:46.342438,2020-04-14,2020-04-14
22,<5,94,422,427,485,611,467,279,214,126,1699,1381,1,2020-04-17 20:05:00.139478,2020-04-14,2020-04-14
22,<5,94,422,427,485,611,467,279,214,126,1699,1381,1,2020-04-18 20:12:00.596524,2020-04-14,2020-04-14
22,<5,94,422,427,485,611,467,279,214,126,1699,1381,1,2020-04-19 20:25:29.515712,2020-04-14,2020-04-14

