CasesAge_0_9,CasesAge_100_plus,CasesAge_10_19,CasesAge_20_29,CasesAge_30_39,CasesAge_40_49,CasesAge_50_59,CasesAge_60_69,CasesAge_70_79,CasesAge_80_89,CasesAge_90_99,CasesFemale,CasesMale,CasesOther,DeathAge_0_9,DeathAge_100_plus,DeathAge_10_19,DeathAge_20_29,DeathAge_30_39,DeathAge_40_49,DeathAge_50_59,DeathAge_60_69,DeathAge_70_79,DeathAge_80_89,DeathAge_90_99,DeathFemale,DeathMale,DeathOther,HospAge_0_9,HospAge_100_plus,HospAge_10_19,HospAge_20_29,HospAge_30_39,HospAge_40_49,HospAge_50_59,HospAge_60_69,HospAge_70_79,HospAge_80_89,HospAge_90_99,HospFemale,HospMale,HospOther,Scrape_Time
50,5,152,712,763,814,967,712,407,305,203,2850,2140,100,0,<5,0,<5,<5,<5,8,18,41,52,29,83,72,0,0,<5,0,18,30,79,116,134,116,79,42,250,353,8,2020-04-20 20:04:57.9
57,13,176,713,753,830,970,702,410,320,196,2810,2237,103,0,<5,0,<5,<5,<5,10,18,46,55,35,89,82,0,0,<5,0,21,28,71,102,125,109,72,35,230,326,8,2020-04-21 20:37:16.8
59,13,193,760,831,895,1030,746,458,356,215,3029,2434,106,0,<5,0,<5,<5,<5,10,20,47,59,37,95,86,0,0,<5,0,21,30,78,112,136,117,75,37,241,358,8,2020-04-22 20:25:25.9
66,14,208,791,883,941,1081,780,487,374,242,3194,2581,102,0,<5,0,<5,<5,<5,11,21,49,60,40,98,91,0,0,<5,0,24,30,79,116,140,121,77,41,253,369,7,2020-04-23 20:51:45.425664
71,18,220,846,954,991,1148,833,522,418,276,3417,2780,110,0,<5,0,<5,<5,<5,12,25,54,62,41,104,98,0,0,<5,0,24,32,83,120,150,127,81,43,272,388,<5,2020-04-24 20:41:04.382554
78,19,235,903,1022,1046,1205,882,541,442,284,3605,2949,112,0,<5,0,<5,<5,<5,12,26,55,70,43,111,104,0,0,<5,0,25,34,86,125,155,130,84,45,282,401,<5,2020-04-25 20:31:01.114011
87,22,259,961,1076,1089,1257,912,571,464,294,3790,3091,120,0,<5,0,<5,<5,<5,13,26,59,71,48,118,108,0,0,<5,0,26,35,87,129,159,135,89,46,290,415,<5,2020-04-26 20:03:47.185802
101,24,283,1006,1134,1146,1305,939,594,478,310,3978,3225,126,0,<5,0,<5,<5,<5,14,27,60,72,51,121,112,0,0,<5,0,26,38,89,133,161,137,93,47,294,429,<5,2020-04-27 20:44:10.669913
107,24,286,1020,1148,1160,1324,950,609,486,315,4034,3276,128,0,<5,0,<5,<5,<5,15,28,62,73,52,122,117,0,0,<5,0,26,40,90,136,163,145,95,47,302,438,<5,2020-04-28 20:39:34.746323
125,37,320,1022,1231,1248,1407,1056,677,535,353,4349,3533,138,0,<5,0,<5,<5,<5,16,29,65,77,55,125,126,0,0,<5,0,26,41,91,142,165,147,97,47,307,447,<5,2020-04-29 19:58:50.275163
135,44,338,1024,1278,1303,1458,1097,694,549,373,4503,3699,141,0,<5,0,<5,<5,<5,16,30,69,82,59,134,132,0,0,<5,0,26,41,91,142,165,147,97,47,307,447,<5,2020-04-30 21:34:12.689754
153,25,363,1214,1342,1363,1537,1073,705,571,354,4724,3887,145,0,5,0,<5,<5,<5,17,30,74,87,60,139,140,0,0,0,<5,31,66,114,187,214,172,123,50,416,549,<5,2020-05-01 20:27:28.076694
168,27,385,1259,1403,1411,1576,1124,732,609,372,4940,4044,146,0,5,0,<5,<5,<5,18,32,79,91,64,148,148,0,<5,0,<5,29,65,120,193,219,185,126,52,431,560,<5,2020-05-02 20:34:08.087936
175,27,405,1296,1459,1452,1613,1151,755,620,386,5103,4162,150,0,5,0,<5,5,5,19,33,82,99,71,160,159,<5,<5,0,<5,32,75,126,200,236,192,132,55,459,593,<5,2020-05-03 20:33:36.571716
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-04 19:46:28.620220
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-05 20:20:07.204866
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-06 20:17:09.131254
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-07 20:59:04.647947
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-08 22:05:13.274940
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-09 20:28:45.519826
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-10 20:06:24.583817
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-11 20:53:07.682994
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-12 20:16:27.207617
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-13 20:08:12.701470
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-14 21:04:32.059428
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-15 20:23:45.383141
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-16 19:58:25.432797
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-17 19:55:57.529186
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-18 20:19:38.996224
178,27,418,1314,1486,1481,1642,1168,761,634,396,5201,4243,155,0,5,0,<5,5,6,19,35,83,108,79,172,169,0,<5,0,<5,33,80,128,206,242,198,138,57,475,607,7,2020-05-19 20:00:22.545297
