# Cases Race/Ethnicity: Black,# Cases Race/Ethnicity: Hispanic,# Cases Race/Ethnicity: Multiple Races,# Cases Race/Ethnicity: Other Race,# Cases Race/Ethnicity: Unknown,# Cases Race/Ethnicity: White,# Deaths Race/Ethnicity: Black,# Deaths Race/Ethnicity: Hispanic,# Deaths Race/Ethnicity: Multiple Races,# Deaths Race/Ethnicity: Other Race,# Deaths Race/Ethnicity: Unknown,# Deaths Race/Ethnicity: White,# Hospitalized Race/Ethnicity: Black,# Hospitalized Race/Ethnicity: Hispanic,# Hospitalized Race/Ethnicity: Multiple Races,# Hospitalized Race/Ethnicity: Other Race,# Hospitalized Race/Ethnicity: Unknown,# Hospitalized Race/Ethnicity: White,CasesAge_0_9,CasesAge_100_plus,CasesAge_10_19,CasesAge_20_29,CasesAge_30_39,CasesAge_40_49,CasesAge_50_59,CasesAge_60_69,CasesAge_70_79,CasesAge_80_89,CasesAge_90_99,CasesFemale,CasesMale,CasesOther,DeathAge_0_9,DeathAge_100_plus,DeathAge_10_19,DeathAge_20_29,DeathAge_30_39,DeathAge_40_49,DeathAge_50_59,DeathAge_60_69,DeathAge_70_79,DeathAge_80_89,DeathAge_90_99,DeathFemale,DeathMale,DeathOther,HospAge_0_9,HospAge_100_plus,HospAge_10_19,HospAge_20_29,HospAge_30_39,HospAge_40_49,HospAge_50_59,HospAge_60_69,HospAge_70_79,HospAge_80_89,HospAge_90_99,HospFemale,HospMale,HospOther,Scrape_Time
1399,5009,287,416,3345,4052,37,69,0,7,100,507,153,439,50,45,382,655,351,48,696,2151,2296,2230,2304,1642,1114,1020,656,8018,6327,163,0,11,0,<5,8,9,35,74,185,226,171,383,337,0,8,<5,12,61,121,197,289,363,336,233,93,769,925,30,2020-06-03 15:34:22.780910
1399,5009,287,416,3345,4052,37,69,0,7,100,507,153,439,50,45,382,655,351,48,696,2151,2296,2230,2304,1642,1114,1020,656,8018,6327,163,0,11,0,<5,8,9,35,74,185,226,171,383,337,0,8,<5,12,61,121,197,289,363,336,233,93,769,925,30,2020-06-03 19:57:56.570212
1399,5009,287,416,3345,4052,37,69,0,7,100,507,153,439,50,45,382,655,351,48,696,2151,2296,2230,2304,1642,1114,1020,656,8018,6327,163,0,11,0,<5,8,9,35,74,185,226,171,383,337,0,8,<5,12,61,121,197,289,363,336,233,93,769,925,30,2020-06-04 20:31:55.728112
1399,5009,287,416,3345,4052,37,69,0,7,100,507,153,439,50,45,382,655,351,48,696,2151,2296,2230,2304,1642,1114,1020,656,8018,6327,163,0,11,0,<5,8,9,35,74,185,226,171,383,337,0,8,<5,12,61,121,197,289,363,336,233,93,769,925,30,2020-06-05 20:18:29.996522
1399,5009,287,416,3345,4052,37,69,0,7,100,507,153,439,50,45,382,655,351,48,696,2151,2296,2230,2304,1642,1114,1020,656,8018,6327,163,0,11,0,<5,8,9,35,74,185,226,171,383,337,0,8,<5,12,61,121,197,289,363,336,233,93,769,925,30,2020-06-06 20:37:15.651948
1399,5009,287,416,3345,4052,37,69,0,7,100,507,153,439,50,45,382,655,351,48,696,2151,2296,2230,2304,1642,1114,1020,656,8018,6327,163,0,11,0,<5,8,9,35,74,185,226,171,383,337,0,8,<5,12,61,121,197,289,363,336,233,93,769,925,30,2020-06-07 20:33:20.468518
1468,5350,308,431,3376,4209,40,69,0,9,120,561,165,465,55,44,385,693,376,49,744,2261,2393,2350,2395,1700,1145,1051,677,8369,6611,162,0,13,0,<5,7,9,35,81,207,250,196,428,371,0,8,5,13,69,127,207,300,379,352,247,100,814,973,20,2020-06-08 20:30:46.961553
1468,5350,308,431,3376,4209,40,69,0,9,120,561,165,465,55,44,385,693,376,49,744,2261,2393,2350,2395,1700,1145,1051,677,8369,6611,162,0,13,0,<5,7,9,35,81,207,250,196,428,371,0,8,5,13,69,127,207,300,379,352,247,100,814,973,20,2020-06-09 20:33:34.949537
1468,5350,308,431,3376,4209,40,69,0,9,120,561,165,465,55,44,385,693,376,49,744,2261,2393,2350,2395,1700,1145,1051,677,8369,6611,162,0,13,0,<5,7,9,35,81,207,250,196,428,371,0,8,5,13,69,127,207,300,379,352,247,100,814,973,20,2020-06-10 20:36:51.696506
1468,5350,308,431,3376,4209,40,69,0,9,120,561,165,465,55,44,385,693,376,49,744,2261,2393,2350,2395,1700,1145,1051,677,8369,6611,162,0,13,0,<5,7,9,35,81,207,250,196,428,371,0,8,5,13,69,127,207,300,379,352,247,100,814,973,20,2020-06-11 20:31:19.788660
