Active Cases,Currently Hospitalized,Recovered Cases,Total Cases,Total Persons Negative,Ever Hospitalized,Deaths,# of Cases: 0-9 years,# of Deaths: 0-9 years,# of Cases: 10-19 years,# of Deaths: 10-19 years,# of Cases: 20-29 years,# of Deaths: 20-29 years,# of Cases: 30-39 years,# of Deaths: 30-39 years,# of Cases: 40-49 years,# of Deaths: 40-49 years,# of Cases: 50-59 years,# of Deaths: 50-59 years,# of Cases: 60-69 years,# of Deaths: 60-69 years,# of Cases: 70-79 years,# of Deaths: 70-79 years,# of Cases: 80+ years,# of Deaths: 80+ years,# of Cases: Female,# of Deaths: Female,# of Cases: Male,# of Deaths: Male,"# of Cases: White, Non-Hispanic","% of Cases: White, Non-Hispanic","# of Cases: Native American, Non-Hispanic","% of Cases: Native American, Non-Hispanic","# of Cases: Unknown, Non-Hispanic","% of Cases: Unknown, Non-Hispanic",# of Cases: Hispanic,% of Cases: Hispanic,"# of Cases: Black, Non-Hispanic","% of Cases: Black, Non-Hispanic","# of Cases: Other, Non-Hispanic","% of Cases: Other, Non-Hispanic","# of Cases: Asian, Non-Hispanic","% of Cases: Asian, Non-Hispanic",Scrape Time
10745,366,28083,39203,206727,2436,375,1226,0,4222,0,8136,2,6558,7,5488,12,5529,30,4236,53,2189,72,1619,199,20440,176,18763,199,25700,66%,4891,12%,3513,9%,1864,5%,1445,4%,927,2%,863,2%,2020-10-25 18:21:28.268827
10745,366,28083,39203,206727,2436,375,1226,0,4222,0,8136,2,6558,7,5488,12,5529,30,4236,53,2189,72,1619,199,20440,176,18763,199,25700,66%,4891,12%,3513,9%,1864,5%,1445,4%,927,2%,863,2%,2020-10-25 20:13:37.622787
11061,377,28305,39741,207353,2453,375,1233,0,4262,0,8244,2,6642,7,5588,12,5622,30,4295,53,2217,72,1638,199,20646,176,19095,199,26014,65%,4962,12%,3641,9%,1875,5%,1450,4%,935,2%,864,2%,2020-10-26 20:08:21.196760
11188,395,29167,40730,208435,2483,375,1250,0,4313,0,8470,2,6872,7,5757,12,5755,30,4394,53,2262,72,1657,199,20902,176,19828,199,26405,65%,5133,13%,4000,10%,1896,5%,1460,4%,970,2%,866,2%,2020-10-27 20:14:47.425993
11933,412,29683,42000,209296,2545,384,1290,0,4434,0,8718,2,7078,7,5939,12,5922,31,4552,54,2331,73,1736,205,21570,179,20430,205,27245,65%,5309,13%,4196,10%,1923,5%,1464,3%,996,2%,867,2%,2020-10-28 20:08:50.400939
12462,413,30135,43000,210514,2602,403,1327,0,4524,0,8887,2,7243,7,6082,12,6081,32,4681,57,2385,76,1790,217,22098,190,20902,213,27961,65%,5470,13%,4266,10%,1942,5%,1482,3%,1009,2%,870,2%,2020-10-29 20:18:23.852917
13520,403,30624,44559,212097,2660,415,1366,0,4670,0,9188,2,7521,7,6310,13,6316,32,4851,57,2484,77,1853,227,22897,198,21662,217,29019,65%,5692,13%,4455,10%,1987,4%,1494,3%,1035,2%,877,2%,2020-10-30 19:49:31.176267
14373,415,31194,45992,213540,2683,425,1426,0,4793,0,9440,2,7782,7,6523,13,6513,34,5009,57,2580,78,1926,234,23656,204,22336,221,30026,65%,5854,13%,4650,10%,2016,4%,1508,3%,1058,2%,880,2%,2020-10-31 20:15:54.324339
13138,421,33749,47324,214841,2721,437,1466,0,4921,0,9674,2,8027,7,6710,13,6699,34,5179,61,2665,80,1983,240,24354,209,22970,228,30897,65%,5967,13%,4919,10%,2055,4%,1520,3%,1081,2%,885,2%,2020-11-01 20:30:13.970555
13325,402,34087,47850,215287,2755,438,1482,0,4967,0,9755,2,8118,7,6788,13,6790,34,5236,61,2703,80,2011,241,24624,210,23226,228,31268,65%,6006,13%,4999,10%,2070,4%,1522,3%,1097,2%,888,2%,2020-11-02 20:09:41.470124
13367,480,35041,48854,216356,2824,446,1513,0,5057,0,9933,2,8308,7,6942,15,6950,35,5335,62,2758,82,2058,243,25116,216,23738,230,31985,65%,6130,13%,5092,10%,2094,4%,1534,3%,1125,2%,894,2%,2020-11-03 20:26:42.163057
13908,483,35423,49791,217005,2873,460,1536,0,5149,0,10076,2,8493,7,7079,15,7100,35,5434,65,2808,83,2116,253,25630,222,24161,238,32589,65%,6297,13%,5207,10%,2115,4%,1551,3%,1135,2%,897,2%,2020-11-04 20:22:11.096497
13610,475,37059,51151,217985,2955,482,1572,0,5302,0,10299,2,8723,7,7277,15,7303,36,5593,69,2903,92,2179,261,26328,230,24823,252,33551,66%,6491,13%,5347,10%,2140,4%,1555,3%,1163,2%,904,2%,2020-11-05 21:31:00.894405
14426,493,37703,52639,219551,3023,510,1637,0,5471,0,10524,2,8999,7,7510,15,7507,37,5763,71,2978,101,2250,277,27121,247,25518,263,34505,66%,6675,13%,5616,11%,2176,4%,1573,3%,1183,2%,911,2%,2020-11-06 20:06:19.155673
15050,515,38403,53976,220707,3108,523,1680,0,5645,0,10781,2,9209,8,7701,15,7676,38,5916,72,3074,103,2294,285,27853,255,26123,268,35442,66%,6828,13%,5776,11%,2209,4%,1588,3%,1213,2%,920,2%,2020-11-07 20:56:49.101728
15750,546,39118,55404,221631,3184,536,1732,0,5800,0,11057,2,9423,8,7925,15,7862,39,6058,77,3171,103,2376,292,28650,263,26754,273,36484,66%,6973,13%,5922,11%,2247,4%,1606,3%,1244,2%,928,2%,2020-11-08 20:31:45.573153
16266,566,39508,56311,222492,3227,537,1761,0,5912,0,11209,2,9580,8,8046,15,7983,39,6176,77,3224,104,2420,292,29134,263,27177,274,37042,66%,7042,13%,6145,11%,2270,4%,1622,3%,1258,2%,932,2%,2020-11-09 19:28:12.340481
16595,607,40199,57334,223365,3277,540,1802,0,6019,0,11379,2,9772,8,8201,15,8108,39,6307,77,3283,106,2463,293,29692,264,27642,276,37748,66%,7150,12%,6287,11%,2289,4%,1628,3%,1292,2%,940,2%,2020-11-10 19:49:50.361315
17461,543,40668,58696,224424,3389,567,1860,0,6178,0,11616,2,9996,8,8406,15,8314,40,6453,79,3346,113,2527,310,30456,274,28240,293,38632,66%,7327,12%,6503,11%,2311,4%,1640,3%,1330,2%,953,2%,2020-11-11 19:54:40.111658
18722,551,41427,60716,225372,3455,567,1928,0,6419,0,11983,2,10347,8,8717,15,8584,40,6672,79,3430,113,2636,310,31498,274,29218,293,39911,66%,7592,13%,6874,11%,2352,4%,1667,3%,1361,2%,959,2%,2020-11-12 20:51:51.681336
18627,556,43132,62327,226334,3540,568,2011,0,6606,0,12307,2,10598,8,8930,15,8789,40,6844,79,3535,113,2707,311,32366,274,29961,294,41070,66%,7743,12%,7079,11%,2395,4%,1675,3%,1395,2%,970,2%,2020-11-13 21:20:11.653396
18747,549,44814,64182,227641,3598,621,2075,0,6847,0,12638,2,10879,9,9189,15,9076,42,7069,82,3622,126,2787,345,33358,303,30824,318,42413,66%,7908,12%,7300,11%,2445,4%,1692,3%,1445,2%,979,2%,2020-11-14 20:08:43.363994
19360,553,45377,65381,228733,3644,644,2112,0,6987,0,12854,2,11062,9,9357,15,9246,42,7226,85,3700,129,2837,362,34011,314,31370,330,43295,66%,8010,12%,7417,11%,2474,4%,1711,3%,1490,2%,984,2%,2020-11-15 20:07:51.271342
18139,560,47495,66278,229869,3698,644,2147,0,7103,0,13005,2,11218,9,9480,15,9358,42,7340,85,3755,129,2872,362,34489,314,31789,330,43999,66%,8096,12%,7471,11%,2497,4%,1719,3%,1502,2%,994,1%,2020-11-16 20:00:12.405785
18624,582,48016,67284,231075,3769,644,2186,0,7201,0,13142,2,11387,9,9620,15,9529,42,7458,85,3825,129,2936,362,35051,314,32233,330,44803,67%,8164,12%,7548,11%,2516,4%,1732,3%,1524,2%,997,1%,2020-11-17 20:39:39.431316
19240,593,48757,68671,232302,3864,674,2248,0,7357,0,13365,2,11613,9,9824,15,9704,42,7611,87,3918,140,3031,379,35828,328,32843,346,45719,67%,8341,12%,7740,11%,2547,4%,1744,3%,1569,2%,1011,1%,2020-11-18 20:07:23.601279
17884,578,51153,69742,233527,3922,705,2289,0,7495,0,13530,2,11771,9,9995,15,9862,45,7728,93,3977,147,3095,394,36422,343,33320,362,46489,67%,8487,12%,7828,11%,2577,4%,1754,3%,1590,2%,1017,1%,2020-11-19 20:39:16.898576
18407,574,51922,71070,235799,3993,741,2350,0,7655,0,13755,2,11975,9,10173,15,10045,46,7889,97,4066,155,3162,417,37103,364,33967,377,47436,67%,8649,12%,7959,11%,2610,4%,1768,2%,1624,2%,1024,1%,2020-11-20 21:22:30.306401
16897,577,55349,73065,238153,4094,819,2445,0,7898,0,14060,2,12291,9,10459,16,10315,51,8121,106,4192,174,3284,461,38145,404,34920,415,48789,67%,8900,12%,8198,11%,2662,4%,1794,2%,1677,2%,1045,1%,2020-11-22 19:56:02.415775
17350,582,55679,73848,239449,4107,819,2486,0,8002,0,14186,2,12409,9,10575,16,10424,51,8207,106,4244,174,3315,461,38580,404,35268,415,49401,67%,8952,12%,8267,11%,2682,4%,1803,2%,1696,2%,1047,1%,2020-11-23 20:13:16.351426
16657,574,57381,74859,240935,4193,821,2533,0,8132,0,14339,2,12572,9,10712,16,10569,51,8323,106,4320,174,3359,463,39090,405,35769,416,50152,67%,9041,12%,8339,11%,2718,4%,1818,2%,1740,2%,1051,1%,2020-11-24 23:56:12.800175
15312,570,59981,76142,242212,4243,849,2602,0,8284,0,14527,2,12760,9,10903,16,10783,53,8475,107,4393,177,3415,485,39776,420,36366,429,51026,67%,9237,12%,8466,11%,2758,4%,1828,2%,1760,2%,1067,1%,2020-11-25 19:38:23.733487
15312,570,59981,76142,242212,4243,849,2602,0,8284,0,14527,2,12760,9,10903,16,10783,53,8475,107,4393,177,3415,485,39776,420,36366,429,51026,67%,9237,12%,8466,11%,2758,4%,1828,2%,1760,2%,1067,1%,2020-11-26 20:09:13.388777
16382,569,61010,78280,245204,4353,888,2694,0,8511,0,14860,2,13112,9,11204,17,11112,53,8740,113,4526,189,3521,505,40856,440,37424,448,52591,67%,9447,12%,8693,11%,2817,4%,1853,2%,1800,2%,1079,1%,2020-11-27 20:10:29.428831
