Age [0-19],Age [20-29],Age [30-39],Age [40-49],Age [50-59],Age [60-69],Age [70-79],Age [80+],Male,Female,pullTime
3,10,9,10,18,13,4,1,35,33,2020-03-29 10:46:44.414448
4,16,9,18,20,16,6,1,45,45,2020-03-29 19:32:39.406582
4,16,9,18,20,16,6,1,45,45,2020-03-29 19:35:48.216439
5,19,13,18,22,17,6,1,52,49,2020-03-30 20:37:41.430500
5,21,13,20,24,17,7,1,56,52,2020-03-31 20:28:42.345863
6,23,15,26,30,20,7,2,69,60,2020-04-01 20:08:53.006862
6,23,15,26,30,20,7,2,69,60,2020-04-01 20:12:49.015488
6,30,22,31,36,26,8,6,78,87,2020-04-02 20:26:49.528686
6,34,28,34,39,30,9,7,93,94,2020-04-03 20:25:04.476773
7,38,37,37,43,33,9,8,103,109,2020-04-04 20:10:40.431749
9,47,46,43,45,33,9,8,118,122,2020-04-05 20:40:26.874832
10,54,57,52,58,40,9,8,147,141,2020-04-06 20:45:45.766291
12,58,67,55,66,44,10,8,167,153,2020-04-07 20:05:28.387363
