Age [0-19]: Cases,Age [20-29]: Cases,Age [30-39]: Cases,Age [40-49]: Cases,Age [50-59]: Cases,Age [60-69]: Cases,Age [70-79]: Cases,Age [80+]: Cases,Age [0-19]: Deaths,Age [20-29]: Deaths,Age [30-39]: Deaths,Age [40-49]: Deaths,Age [50-59]: Deaths,Age [60-69]: Deaths,Age [70-79]: Deaths,Age [80+]: Deaths,Male: Cases,Female: CasesMale: Deaths,Female: Deaths,pullTime
14,72,92,64,80,53,10,8,0,0,0,0,2,1,1,2,209,184,4,2,2020-04-08 21:26:35.937502
14,87,103,70,96,58,11,8,0,0,0,0,2,1,1,2,240,207,4,2,2020-04-09 19:52:20.401304
16,103,133,88,109,66,12,9,0,0,0,0,2,1,1,2,292,244,4,2,2020-04-10 20:21:26.721727
21,121,155,107,126,73,14,9,0,0,0,0,2,1,1,2,343,283,4,2,2020-04-11 19:54:04.823422
26,146,175,128,143,84,16,12,0,0,0,0,2,1,1,2,388,342,4,2,2020-04-12 20:39:59.197203
37,166,212,158,163,101,17,14,0,0,0,0,2,1,1,2,459,409,4,2,2020-04-13 20:22:32.310363
44,187,246,187,182,110,18,14,0,0,0,0,2,1,1,2,534,454,4,2,2020-04-14 20:02:16.516122
55,220,286,236,215,123,19,14,0,0,0,0,2,1,1,2,637,531,4,2,2020-04-15 20:13:29.274206
69,249,321,266,242,130,20,14,0,0,0,0,2,2,1,2,711,600,5,2,2020-04-16 20:17:50.462161
74,271,344,286,259,134,22,21,0,0,0,0,2,2,1,2,765,646,5,2,2020-04-17 20:05:05.409491
88,294,368,318,279,146,25,24,0,0,0,0,2,2,1,2,839,703,5,2,2020-04-18 20:12:05.222949
94,312,382,336,300,155,26,30,0,0,0,0,2,2,1,2,892,743,5,2,2020-04-19 20:25:34.049648
97,317,390,346,307,159,32,37,0,0,0,0,2,2,1,2,915,770,5,2,2020-04-20 20:25:34.049648
98,330,408,361,316,168,35,39,0,0,0,0,2,3,1,2,936,819,6,2,2020-04-21 20:25:34.049648
105,345,431,386,333,179,40,39,0,0,0,0,2,3,1,3,999,859,7,2,2020-04-22 20:25:34.049648
111,362,457,401,355,185,41,44,0,0,0,0,2,3,1,3,1048,908,7,2,2020-04-23 20:25:34.049648
116,382,474,416,370,190,45,47,0,0,0,0,3,3,1,3,1090,950,8,2,2020-04-24 20:25:34.049648
128,407,498,428,386,199,48,53,0,0,0,0,3,3,1,3,1136,1011,8,2,2020-04-25 20:25:34.049648
138,416,511,444,396,203,50,54,0,0,0,0,4,3,1,3,1167,1045,9,2,2020-04-26 20:01:00.000000
143,422,514,449,402,208,53,54,0,0,0,0,4,3,1,3,1183,1062,9,2,2020-04-27 20:01:00.000000
