Active Cases,Currently Hospitalized,Recovered,Total Positive Cases*,Total Negative Cases*,Ever Hospitalized**,Deaths***,# of Cases: 0-19 years,# of Cases: 20-29 years,# of Cases: 30-39 years,# of Cases: 40-49 years,# of Cases: 50-59 years,# of Cases: 60-69 years,# of Cases: 70-79 years,# of Cases: 80+ years,# of Deaths: 0-19 years,# of Deaths: 20-29 years,# of Deaths: 30-39 years,# of Deaths: 40-49 years,# of Deaths: 50-59 years,# of Deaths: 60-69 years,# of Deaths: 70-79 years,# of Deaths: 80+ years,# of Cases: Female,# of Cases: Male,# of Deaths: Female,# of Deaths: Male,"# of Cases: Asian, Non-Hispanic","# of Cases: Black, Non-Hispanic",# of Cases: Hispanic,"# of Cases: Native American, Non-Hispanic",# of Cases: Other,"# of Cases: White, Non-Hispanic","% of Cases: Asian, Non-Hispanic","% of Cases: Black, Non-Hispanic",% of Cases: Hispanic,"% of Cases: Native American, Non-Hispanic",% of Cases: Other,"% of Cases: White, Non-Hispanic",Scrape Time
910,69,1392,2313,14299,157,11,149,435,533,461,415,213,53,54,0,0,0,0,4,3,1,3,1089,1224,2,9,275,461,423,95,329,730,12%,20%,18%,4%,14%,32%,2020-04-28 19:49:16.342467
868,69,1492,2373,14460,165,13,149,444,550,472,427,220,53,58,0,0,0,0,4,3,1,5,1123,1250,2,11,282,470,430,104,333,754,12%,20%,18%,4%,14%,32%,2020-04-29 12:58:52.963078
868,69,1492,2373,14460,165,13,149,444,550,472,427,220,53,58,0,0,0,0,4,3,1,5,1123,1250,2,11,282,470,430,104,333,754,12%,20%,18%,4%,14%,32%,2020-04-29 19:58:54.814584
859,76,1573,2449,14579,173,17,154,460,570,483,438,226,55,63,0,0,0,1,4,3,2,7,1156,1293,4,13,291,480,446,110,336,786,12%,20%,18%,4%,14%,32%,2020-04-30 21:07:37.082954
818,69,1686,2525,14838,179,21,161,476,585,494,444,233,59,73,0,0,0,1,4,4,3,9,1200,1325,6,15,297,489,453,123,347,816,12%,19%,18%,5%,14%,32%,2020-05-01 20:44:25.880039
808,71,1759,2588,15503,187,21,171,486,595,506,452,240,63,75,0,0,0,1,4,4,3,9,1232,1356,6,15,300,496,466,133,351,842,12%,19%,18%,5%,14%,33%,2020-05-02 17:01:14.225907
808,71,1759,2588,15503,187,21,171,486,595,506,452,240,63,75,0,0,0,1,4,4,3,9,1232,1356,6,15,300,496,466,133,351,842,12%,19%,18%,5%,14%,33%,2020-05-02 20:34:14.097265
811,71,1799,2631,15786,197,21,177,494,601,509,461,247,64,78,0,0,0,1,4,4,3,9,1250,1381,6,15,303,499,472,139,355,863,12%,19%,18%,5%,13%,33%,2020-05-03 20:33:44.454987
817,69,1830,2668,16045,211,21,180,501,610,516,466,251,65,79,0,0,0,1,4,4,3,9,1263,1405,6,15,306,504,483,140,358,877,11%,19%,18%,5%,13%,33%,2020-05-04 19:46:33.414285
802,75,1895,2721,16301,220,24,182,509,625,520,477,259,68,81,0,0,0,1,4,4,3,12,1287,1434,9,15,308,507,493,148,364,901,11%,19%,18%,5%,13%,33%,2020-05-05 20:44:24.382110
773,72,1977,2779,16637,230,29,189,516,635,530,485,269,69,86,0,0,0,1,4,5,4,15,1307,1472,13,16,309,511,504,157,366,932,11%,18%,18%,6%,13%,34%,2020-05-06 20:19:12.877470
846,70,2028,2905,17209,236,31,216,527,665,554,505,277,73,88,0,0,0,1,4,5,4,17,1360,1545,15,16,306,544,523,159,429,944,11%,19%,18%,5%,15%,32%,2020-05-07 20:57:49.185865
1044,76,2069,3144,18149,247,31,251,562,724,597,543,301,77,89,0,0,0,1,4,5,4,17,1466,1678,15,16,340,623,559,169,466,987,11%,20%,18%,5%,15%,31%,2020-05-08 22:05:18.903558
1234,79,2125,3393,19559,253,34,289,602,789,637,586,313,84,93,0,0,0,1,4,5,5,19,1553,1840,17,17,405,717,583,184,463,1041,12%,21%,17%,5%,14%,31%,2020-05-09 20:28:50.264596
1336,77,2147,3517,20377,261,34,311,619,819,661,604,325,85,93,0,0,0,1,4,5,5,19,1599,1918,17,17,427,761,611,198,462,1058,12%,22%,17%,6%,13%,30%,2020-05-10 20:06:29.649722
1393,78,2187,3614,20964,263,34,335,636,843,680,612,329,85,94,0,0,0,1,4,5,5,19,1632,1982,17,17,442,807,624,202,470,1069,12%,22%,17%,6%,13%,30%,2020-05-11 20:50:53.625482
1315,74,2309,3663,21534,271,39,338,642,861,686,619,335,86,96,0,0,1,1,5,6,5,21,1658,2005,21,18,444,817,630,213,476,1083,12%,22%,17%,6%,13%,30%,2020-05-12 20:16:31.831555
1326,79,2367,3732,22112,281,39,343,660,874,695,638,339,87,96,0,0,1,1,5,6,5,21,1697,2035,21,18,449,827,644,229,484,1099,12%,22%,17%,6%,13%,29%,5/13/20 21:24
