Active Cases,Currently Hospitalized,Recovered,Total Positive Cases*,Total Negative Cases*,Ever Hospitalized**,Deaths***,# of Cases: 0-19 years,# of Deaths: 0-19 years,# of Cases: 20-29 years,# of Deaths: 20-29 years,# of Cases: 30-39 years,# of Deaths: 30-39 years,# of Cases: 40-49 years,# of Deaths: 40-49 years,# of Cases: 50-59 years,# of Deaths: 50-59 years,# of Cases: 60-69 years,# of Deaths: 60-69 years,# of Cases: 70-79 years,# of Deaths: 70-79 years,# of Cases: 80+ years,# of Deaths: 80+ years,# of Cases: Female,# of Deaths: Female,# of Cases: Male,# of Deaths: Male,"# of Cases: Asian, Non-Hispanic","% of Cases: Asian, Non-Hispanic","# of Cases: Black, Non-Hispanic","% of Cases: Black, Non-Hispanic",# of Cases: Hispanic,% of Cases: Hispanic,"# of Cases: Native American, Non-Hispanic","% of Cases: Native American, Non-Hispanic",# of Cases: Other,% of Cases: Other,"# of Cases: White, Non-Hispanic","% of Cases: White, Non-Hispanic",Scrape Time
1312,85,2437,3792,22681,290,43,347,0,671,0,888,1,704,1,649,6,347,7,87,5,99,23,1729,22,2063,21,454,12%,840,22%,654,17%,240,6%,485,13%,1119,30%,2020-05-14 15:01:16.946155
1312,85,2437,3792,22681,290,43,347,0,671,0,888,1,704,1,649,6,347,7,87,5,99,23,1729,22,2063,21,454,12%,840,22%,654,17%,240,6%,485,13%,1119,30%,2020-05-14 21:16:19.799314
1269,80,2574,3887,23527,296,44,363,0,693,0,907,1,716,1,657,6,355,7,91,5,105,24,1781,23,2106,21,461,12%,848,22%,674,17%,250,6%,500,13%,1154,30%,2020-05-15 20:42:11.607634
1242,75,2673,3959,24217,304,44,366,0,714,0,923,1,726,1,669,6,362,7,93,5,106,24,1816,23,2143,21,472,12%,854,22%,690,17%,259,7%,502,13%,1182,30%,2020-05-16 20:39:51.753456
1219,77,2724,3987,24572,312,44,368,0,719,0,926,1,728,1,675,6,365,7,99,5,107,24,1830,23,2157,21,475,12%,859,22%,696,17%,264,7%,503,13%,1190,30%,2020-05-17 20:18:18.464281
1199,77,2784,4027,25018,316,44,369,0,729,0,933,1,734,1,685,6,369,7,99,5,109,24,1847,23,2180,21,476,12%,862,21%,705,18%,271,7%,507,13%,1206,30%,2020-05-18 20:19:43.567181
1125,75,2914,4085,25624,327,46,378,0,741,0,943,1,744,1,690,7,377,7,102,5,110,25,1879,24,2206,22,478,12%,863,21%,713,17%,292,7%,515,13%,1224,30%,2020-05-19 20:00:27.018608
1108,81,3023,4177,26212,333,46,392,0,767,0,957,1,756,1,705,7,385,7,104,5,111,25,1916,24,2261,22,488,12%,868,21%,729,17%,310,7%,535,13%,1247,30%,2020-05-20 20:06:08.329651
1108,81,3023,4177,26212,333,46,392,0,767,0,957,1,756,1,705,7,385,7,104,5,111,25,1916,24,2261,22,488,12%,868,21%,729,17%,310,7%,535,13%,1247,30%,2020-05-21 20:59:29.507642
2020-05-22 20:07:33.755270
1108,81,3023,4177,26212,333,46,392,0,767,0,957,1,756,1,705,7,385,7,104,5,111,25,1916,24,2261,22,488,12%,868,21%,729,17%,310,7%,535,13%,1247,30%,2020-05-23 20:43:29.922330
1108,81,3023,4177,26212,333,46,392,0,767,0,957,1,756,1,705,7,385,7,104,5,111,25,1916,24,2261,22,488,12%,868,21%,729,17%,310,7%,535,13%,1247,30%,2020-05-24 20:35:44.476261
1108,81,3023,4177,26212,333,46,392,0,767,0,957,1,756,1,705,7,385,7,104,5,111,25,1916,24,2261,22,488,12%,868,21%,729,17%,310,7%,535,13%,1247,30%,2020-05-25 20:51:43.587683
1075,106,3528,4653,32385,378,50,435,0,875,0,1053,2,822,1,779,7,437,7,124,5,128,28,2171,27,2482,23,529,11%,893,19%,801,17%,416,9%,599,13%,1415,30%,2020-05-26 14:52:41.112982
1075,106,3528,4653,32385,378,50,435,0,875,0,1053,2,822,1,779,7,437,7,124,5,128,28,2171,27,2482,23,529,11%,893,19%,801,17%,416,9%,599,13%,1415,30%,2020-05-26 22:47:51.715498
1037,101,3619,4710,33296,391,54,439,0,890,0,1069,3,828,1,790,8,442,9,124,5,128,28,2205,29,2505,25,555,12%,895,19%,819,17%,440,9%,567,12%,1434,30%,2020-05-27 21:16:08.155334
1041,105,3698,4793,34233,406,54,453,0,913,0,1081,3,835,1,802,8,449,9,129,5,131,28,2250,29,2543,25,562,12%,900,19%,846,18%,453,9%,562,12%,1470,31%,2020-05-28 20:23:15.298350
1063,95,3744,4866,35816,418,59,464,0,937,0,1091,3,848,3,808,8,451,9,131,6,136,30,2284,32,2582,27,569,12%,904,19%,855,18%,461,9%,579,12%,1498,31%,2020-05-29 20:35:33.959741
1093,93,3805,4960,37978,427,62,472,0,957,1,1112,3,862,4,823,8,460,10,135,6,139,30,2329,35,2631,27,573,12%,905,18%,873,18%,481,10%,603,12%,1525,31%,2020-05-30 20:15:13.513705
1094,86,3837,4993,39135,432,62,475,0,964,1,1123,3,868,4,825,8,462,10,136,6,140,30,2348,35,2645,27,580,12%,906,18%,881,18%,493,10%,594,12%,1539,31%,2020-05-31 20:46:21.263751
1069,87,3903,5034,40627,435,62,482,0,972,1,1131,3,872,4,832,8,465,10,139,6,141,30,2367,35,2667,27,585,12%,909,18%,890,18%,508,10%,592,12%,1550,31%,2020-06-01 20:14:52.703075
1015,89,3990,5067,41779,443,62,487,0,975,1,1139,3,882,4,838,8,466,10,139,6,141,30,2385,35,2682,27,591,12%,912,18%,894,18%,522,10%,590,12%,1558,31%,2020-06-02 20:38:01.287507
1016,87,4084,5162,43500,456,62,501,0,995,1,1154,3,898,4,848,8,478,10,145,6,143,30,2445,35,2717,27,599,12%,917,18%,903,17%,541,10%,607,12%,1595,31%,2020-06-03 20:20:04.264547
1020,86,4163,5247,47375,464,64,520,0,1020,1,1174,3,905,4,856,8,481,11,146,6,145,31,2488,36,2759,28,607,12%,918,17%,924,18%,560,11%,621,12%,1617,31%,2020-06-04 21:24:49.735600
1033,83,4179,5277,48086,467,65,522,0,1026,1,1178,3,911,4,861,9,482,11,148,6,149,31,2502,36,2775,29,616,12%,920,17%,930,18%,568,11%,608,12%,1635,31%,2020-06-05 20:25:55.166404
1029,93,4273,5367,50091,474,65,535,0,1047,1,1204,3,919,4,872,9,486,11,152,6,152,31,2542,36,2825,29,621,12%,923,17%,934,17%,590,11%,627,12%,1672,31%,2020-06-06 20:55:22.506208
1038,87,4335,5438,51622,478,65,544,0,1067,1,1218,3,927,4,880,9,491,11,158,6,153,31,2577,36,2861,29,634,12%,924,17%,944,17%,604,11%,631,12%,1701,31%,2020-06-07 20:58:41.133698
1003,92,4403,5471,52348,482,65,546,0,1081,1,1226,3,929,4,882,9,493,11,160,6,154,31,2597,36,2874,29,636,12%,926,17%,946,17%,611,11%,628,11%,1724,32%,2020-06-08 16:24:46.556495
1003,92,4403,5471,52348,482,65,546,0,1081,1,1226,3,929,4,882,9,493,11,160,6,154,31,2597,36,2874,29,636,12%,926,17%,946,17%,611,11%,628,11%,1724,32%,2020-06-08 20:30:50.780391
2020-06-09 20:33:39.162821
2020-06-10 20:36:56.154041
2020-06-11 20:31:26.979845
2020-06-12 20:27:18.594027
2020-06-13 20:44:21.326623
972,90,4483,5523,53636,487,68,555,0,1096,1,1231,3,934,4,887,10,500,11,165,6,155,33,2626,38,2897,30,639,12%,929,17%,949,17%,628,11%,633,11%,1745,32%,2020-06-14 20:03:49.128188
2020-06-15 20:28:03.839140
820,92,5069,5966,61236,562,77,601,0,1217,1,1309,3,981,5,952,12,540,13,187,7,179,36,2851,42,3115,35,662,11%,947,16%,995,17%,758,13%,655,11%,1949,33%,2020-06-16 21:52:54.205792
829,91,5143,6050,62938,570,78,613,0,1235,1,1326,3,992,5,960,12,546,13,195,7,183,37,2901,42,3149,36,668,11%,954,16%,999,17%,780,13%,669,11%,1980,33%,2020-06-17 20:34:47.226640
2020-06-18 21:07:52.253120
801,95,5276,6158,65035,589,81,627,0,1265,1,1339,3,1005,5,979,12,551,13,206,7,186,40,2955,45,3203,36,674,11%,958,16%,1012,16%,809,13%,669,11%,2036,33%,2020-06-19 19:51:28.819042
2020-06-20 21:23:33.703867
2020-06-21 20:58:21.126060
808,88,5437,6326,67003,616,81,645,0,1299,1,1372,3,1036,5,1007,12,566,13,212,7,189,40,3040,45,3286,36,688,11%,962,15%,1041,16%,842,13%,677,11%,2116,33%,2020-06-22 20:01:40.211551
773,85,5497,6353,67633,624,83,650,0,1302,1,1377,3,1037,5,1012,12,569,13,217,8,189,41,3055,46,3298,37,689,11%,961,15%,1045,16%,852,13%,678,11%,2128,33%,2020-06-23 19:28:57.357382
781,81,5554,6419,68658,629,84,654,0,1311,1,1391,3,1048,5,1024,12,577,13,219,9,195,41,3093,46,3326,38,696,11%,961,15%,1055,16%,877,14%,680,11%,2150,33%,2020-06-24 12:20:31.726865
781,81,5554,6419,68658,629,84,654,0,1311,1,1391,3,1048,5,1024,12,577,13,219,9,195,41,3093,46,3326,38,696,11%,961,15%,1055,16%,877,14%,680,11%,2150,33%,2020-06-24 21:42:31.253131
800,79,5592,6479,69375,632,87,664,0,1329,1,1401,3,1052,6,1032,12,585,13,220,11,196,41,3126,48,3353,39,696,11%,963,15%,1061,16%,893,14%,681,11%,2185,34%,2020-06-25 21:26:29.024130
795,79,5652,6535,70480,639,88,669,0,1347,1,1410,3,1059,6,1040,12,590,13,223,11,197,42,3154,49,3381,39,697,11%,965,15%,1067,16%,906,14%,690,11%,2210,34%,2020-06-26 20:01:45.492091
818,73,5717,6626,71474,645,91,684,0,1365,1,1423,3,1072,6,1051,12,605,15,229,12,197,42,3197,51,3429,40,698,11%,967,15%,1071,16%,951,14%,695,10%,2244,34%,2020-06-27 21:43:53.099134
838,75,5752,6681,72212,652,91,689,0,1375,1,1434,3,1076,6,1061,12,612,15,235,12,199,42,3227,51,3454,40,700,10%,968,14%,1077,16%,962,14%,701,10%,2273,34%,2020-06-28 21:18:50.153578
807,70,5818,6716,72741,657,91,690,0,1383,1,1442,3,1084,6,1068,12,614,15,235,12,200,42,3240,51,3476,40,700,10%,969,14%,1081,16%,977,15%,699,10%,2290,34%,2020-06-29 22:57:46.069297
801,62,5872,6764,73324,666,91,698,0,1394,1,1452,3,1090,6,1071,12,622,15,237,12,200,42,3265,51,3499,40,702,10%,971,14%,1086,16%,991,15%,705,10%,2309,34%,2020-06-30 20:21:55.845986
800,65,5933,6826,74117,674,93,705,0,1407,1,1461,3,1102,7,1078,12,628,15,242,13,203,42,3299,52,3527,41,703,10%,971,14%,1092,16%,1012,15%,706,10%,2342,34%,2020-07-01 20:13:47.561536
800,65,5933,6826,74117,674,93,705,0,1407,1,1461,3,1102,7,1078,12,628,15,242,13,203,42,3299,52,3527,41,703,10%,971,14%,1092,16%,1012,15%,706,10%,2342,34%,2020-07-02 22:20:29.886765
800,65,5933,6826,74117,674,93,705,0,1407,1,1461,3,1102,7,1078,12,628,15,242,13,203,42,3299,52,3527,41,703,10%,971,14%,1092,16%,1012,15%,706,10%,2342,34%,2020-07-03 22:49:49.577278
