Active Cases,Currently Hospitalized,Recovered Cases,Total Cases,Total Persons Negative,Ever Hospitalized,Deaths,# of Cases: 0-19 years,# of Deaths: 0-19 years,# of Cases: 20-29 years,# of Deaths: 20-29 years,# of Cases: 30-39 years,# of Deaths: 30-39 years,# of Cases: 40-49 years,# of Deaths: 40-49 years,# of Cases: 50-59 years,# of Deaths: 50-59 years,# of Cases: 60-69 years,# of Deaths: 60-69 years,# of Cases: 70-79 years,# of Deaths: 70-79 years,# of Cases: 80+ years,# of Deaths: 80+ years,# of Cases: Female,# of Deaths: Female,# of Cases: Male,# of Deaths: Male,"# of Cases: Asian, Non-Hispanic","% of Cases: Asian, Non-Hispanic","# of Cases: Black, Non-Hispanic","% of Cases: Black, Non-Hispanic",# of Cases: Hispanic,% of Cases: Hispanic,"# of Cases: Native American, Non-Hispanic","% of Cases: Native American, Non-Hispanic",# of Cases: Other,% of Cases: Other,"# of Cases: White, Non-Hispanic","% of Cases: White, Non-Hispanic",Scrape Time
1058,56,8691,9897,114873,896,148,1250,0,2187,2,1929,6,1475,7,1458,18,879,26,388,24,331,65,4884,76,5013,72,733,7%,1052,11%,1247,13%,1513,15%,907,9%,4445,45%,2020-08-14 10:17:33.011070
1101,65,8773,10024,115990,903,150,1272,0,2213,2,1959,6,1487,7,1475,18,886,26,398,24,334,67,4943,77,5081,73,734,7%,1056,11%,1254,13%,1534,15%,918,9%,4528,45%,2020-08-14 20:10:30.230711
1082,63,8884,10118,117331,913,152,1279,0,2249,2,1975,6,1493,7,1490,18,893,27,402,24,337,68,4997,77,5121,75,734,7%,1052,10%,1261,12%,1544,15%,923,9%,4604,46%,2020-08-15 20:11:15.786114
1182,66,8939,10274,118500,916,153,1296,0,2287,2,2003,6,1511,7,1514,18,914,27,406,24,343,69,5081,78,5192,75,735,7%,1054,10%,1268,12%,1549,15%,954,9%,4713,46%,2020-08-16 20:19:53.610538
1194,60,9013,10360,118933,921,153,1307,0,2306,2,2018,6,1525,7,1523,18,924,27,409,24,348,69,5134,78,5226,75,735,7%,1058,10%,1275,12%,1554,15%,958,9%,4780,46%,2020-08-17 19:54:51.618910
1194,60,9013,10360,118933,921,153,1307,0,2306,2,2018,6,1525,7,1523,18,924,27,409,24,348,69,5134,78,5226,75,735,7%,1058,10%,1275,12%,1554,15%,958,9%,4780,46%,2020-08-18 20:02:31.221649
1194,60,9013,10360,118933,921,153,1307,0,2306,2,2018,6,1525,7,1523,18,924,27,409,24,348,69,5134,78,5226,75,735,7%,1058,10%,1275,12%,1554,15%,958,9%,4780,46%,2020-08-19 20:17:00.291812
1194,60,9013,10360,118933,921,153,1307,0,2306,2,2018,6,1525,7,1523,18,924,27,409,24,348,69,5134,78,5226,75,735,7%,1058,10%,1275,12%,1554,15%,958,9%,4780,46%,2020-08-20 20:18:17.251018
1194,60,9013,10360,118933,921,153,1307,0,2306,2,2018,6,1525,7,1523,18,924,27,409,24,348,69,5134,78,5226,75,735,7%,1058,10%,1275,12%,1554,15%,958,9%,4780,46%,2020-08-21 22:05:45.563490
1194,60,9013,10360,118933,921,153,1307,0,2306,2,2018,6,1525,7,1523,18,924,27,409,24,348,69,5134,78,5226,75,735,7%,1058,10%,1275,12%,1554,15%,958,9%,4780,46%,2020-08-22 19:17:38.809865
