County Name,Scrape Time,Total Deaths,Total Negative Cases,Total Positive Cases,Total Recovered Cases
Lincoln,2020-08-14 10:17:33.011070,2,6978,672,578
Lyman,2020-08-14 10:17:33.011070,3,969,91,80
Marshall,2020-08-14 10:17:33.011070,0,473,12,7
McCook,2020-08-14 10:17:33.011070,1,645,30,24
McPherson,2020-08-14 10:17:33.011070,0,219,8,7
Meade,2020-08-14 10:17:33.011070,1,2017,98,77
Mellette,2020-08-14 10:17:33.011070,0,389,24,23
Miner,2020-08-14 10:17:33.011070,0,256,15,14
Minnehaha,2020-08-14 10:17:33.011070,68,28015,4521,4077
Moody,2020-08-14 10:17:33.011070,0,637,32,29
Oglala Lakota,2020-08-14 10:17:33.011070,2,2951,157,136
Pennington,2020-08-14 10:17:33.011070,32,11160,915,774
Perkins,2020-08-14 10:17:33.011070,0,187,6,5
Potter,2020-08-14 10:17:33.011070,0,291,2,1
Roberts,2020-08-14 10:17:33.011070,1,1829,80,70
Sanborn,2020-08-14 10:17:33.011070,0,230,13,13
Spink,2020-08-14 10:17:33.011070,0,1159,26,21
Stanley,2020-08-14 10:17:33.011070,0,254,14,14
Sully,2020-08-14 10:17:33.011070,0,79,3,3
Todd,2020-08-14 10:17:33.011070,5,2164,74,62
Lincoln,2020-08-14 20:10:30.230711,2,7054,687,589
Lyman,2020-08-14 20:10:30.230711,3,974,91,81
Marshall,2020-08-14 20:10:30.230711,0,475,12,8
McCook,2020-08-14 20:10:30.230711,1,651,32,25
McPherson,2020-08-14 20:10:30.230711,0,220,8,7
Meade,2020-08-14 20:10:30.230711,1,2034,97,79
Mellette,2020-08-14 20:10:30.230711,0,391,24,23
Miner,2020-08-14 20:10:30.230711,0,256,15,14
Minnehaha,2020-08-14 20:10:30.230711,68,28324,4561,4101
Moody,2020-08-14 20:10:30.230711,0,640,33,30
Oglala Lakota,2020-08-14 20:10:30.230711,2,2959,157,137
Pennington,2020-08-14 20:10:30.230711,33,11227,924,782
Perkins,2020-08-14 20:10:30.230711,0,187,6,5
Potter,2020-08-14 20:10:30.230711,0,297,2,1
Roberts,2020-08-14 20:10:30.230711,1,1856,83,71
Sanborn,2020-08-14 20:10:30.230711,0,231,13,13
Spink,2020-08-14 20:10:30.230711,0,1162,26,21
Stanley,2020-08-14 20:10:30.230711,0,257,15,14
Sully,2020-08-14 20:10:30.230711,0,80,4,3
Todd,2020-08-14 20:10:30.230711,5,2176,75,62
Lincoln,2020-08-15 20:11:15.786114,2,7121,694,604
Lyman,2020-08-15 20:11:15.786114,3,980,91,81
Marshall,2020-08-15 20:11:15.786114,0,482,12,8
McCook,2020-08-15 20:11:15.786114,1,655,33,25
McPherson,2020-08-15 20:11:15.786114,0,220,8,7
Meade,2020-08-15 20:11:15.786114,1,2042,97,81
Mellette,2020-08-15 20:11:15.786114,0,392,24,24
Miner,2020-08-15 20:11:15.786114,0,258,15,14
Minnehaha,2020-08-15 20:11:15.786114,68,28580,4584,4144
Moody,2020-08-15 20:11:15.786114,0,642,33,30
Oglala Lakota,2020-08-15 20:11:15.786114,2,2960,158,138
Pennington,2020-08-15 20:11:15.786114,33,11300,930,787
Perkins,2020-08-15 20:11:15.786114,0,187,6,5
