County Name,Scrape Time,Total Negative Cases,Total Positive Cases,Total Recovered Cases
Aurora,2020-06-24 12:20:31.726865,260,34,33
Beadle,2020-06-24 12:20:31.726865,1348,504,409
Bennett,2020-06-24 12:20:31.726865,400,3,1
Bon Homme,2020-06-24 12:20:31.726865,543,11,10
Brookings,2020-06-24 12:20:31.726865,1505,54,38
Brown,2020-06-24 12:20:31.726865,2708,330,307
Brule,2020-06-24 12:20:31.726865,430,16,11
Buffalo,2020-06-24 12:20:31.726865,412,68,51
Butte,2020-06-24 12:20:31.726865,419,0,0
Campbell,2020-06-24 12:20:31.726865,61,0,0
Charles Mix,2020-06-24 12:20:31.726865,522,56,23
Clark,2020-06-24 12:20:31.726865,301,13,10
Clay,2020-06-24 12:20:31.726865,878,76,59
Codington,2020-06-24 12:20:31.726865,1753,49,45
Corson,2020-06-24 12:20:31.726865,126,16,12
Custer,2020-06-24 12:20:31.726865,456,7,1
Davison,2020-06-24 12:20:31.726865,1506,35,30
Day,2020-06-24 12:20:31.726865,384,13,13
Deuel,2020-06-24 12:20:31.726865,270,1,1
Dewey,2020-06-24 12:20:31.726865,822,4,0
Aurora,2020-06-24 21:42:31.253131,260,34,33
Beadle,2020-06-24 21:42:31.253131,1348,504,409
Bennett,2020-06-24 21:42:31.253131,400,3,1
Bon Homme,2020-06-24 21:42:31.253131,543,11,10
Brookings,2020-06-24 21:42:31.253131,1505,54,38
Brown,2020-06-24 21:42:31.253131,2708,330,307
Brule,2020-06-24 21:42:31.253131,430,16,11
Buffalo,2020-06-24 21:42:31.253131,412,68,51
Butte,2020-06-24 21:42:31.253131,419,0,0
Campbell,2020-06-24 21:42:31.253131,61,0,0
Charles Mix,2020-06-24 21:42:31.253131,522,56,23
Clark,2020-06-24 21:42:31.253131,301,13,10
Clay,2020-06-24 21:42:31.253131,878,76,59
Codington,2020-06-24 21:42:31.253131,1753,49,45
Corson,2020-06-24 21:42:31.253131,126,16,12
Custer,2020-06-24 21:42:31.253131,456,7,1
Davison,2020-06-24 21:42:31.253131,1506,35,30
Day,2020-06-24 21:42:31.253131,384,13,13
Deuel,2020-06-24 21:42:31.253131,270,1,1
Dewey,2020-06-24 21:42:31.253131,822,4,0
Aurora,2020-06-25 21:26:29.024130,261,34,33
Beadle,2020-06-25 21:26:29.024130,1357,508,412
Bennett,2020-06-25 21:26:29.024130,401,4,1
Bon Homme,2020-06-25 21:26:29.024130,545,11,10
Brookings,2020-06-25 21:26:29.024130,1534,57,40
Brown,2020-06-25 21:26:29.024130,2736,335,311
Brule,2020-06-25 21:26:29.024130,439,17,11
Buffalo,2020-06-25 21:26:29.024130,427,68,51
Butte,2020-06-25 21:26:29.024130,426,0,0
Campbell,2020-06-25 21:26:29.024130,61,0,0
Charles Mix,2020-06-25 21:26:29.024130,531,57,24
Clark,2020-06-25 21:26:29.024130,307,13,10
Clay,2020-06-25 21:26:29.024130,889,79,62
Codington,2020-06-25 21:26:29.024130,1764,51,45
Corson,2020-06-25 21:26:29.024130,126,17,12
Custer,2020-06-25 21:26:29.024130,464,7,1
Davison,2020-06-25 21:26:29.024130,1522,35,30
Day,2020-06-25 21:26:29.024130,384,13,13
Deuel,2020-06-25 21:26:29.024130,274,1,1
Dewey,2020-06-25 21:26:29.024130,824,4,0
Aurora,2020-06-26 20:01:45.492091,276,34,33
Beadle,2020-06-26 20:01:45.492091,1380,515,423
Bennett,2020-06-26 20:01:45.492091,407,4,1
Bon Homme,2020-06-26 20:01:45.492091,552,11,10
Brookings,2020-06-26 20:01:45.492091,1570,57,40
Brown,2020-06-26 20:01:45.492091,2790,335,314
Brule,2020-06-26 20:01:45.492091,446,18,12
Buffalo,2020-06-26 20:01:45.492091,431,69,52
Butte,2020-06-26 20:01:45.492091,443,0,0
Campbell,2020-06-26 20:01:45.492091,61,0,0
Charles Mix,2020-06-26 20:01:45.492091,538,58,24
Clark,2020-06-26 20:01:45.492091,309,13,10
Clay,2020-06-26 20:01:45.492091,900,79,63
Codington,2020-06-26 20:01:45.492091,1786,51,46
Corson,2020-06-26 20:01:45.492091,133,17,12
Custer,2020-06-26 20:01:45.492091,502,7,3
Davison,2020-06-26 20:01:45.492091,1534,36,31
Day,2020-06-26 20:01:45.492091,386,13,13
Deuel,2020-06-26 20:01:45.492091,274,3,1
Dewey,2020-06-26 20:01:45.492091,832,4,0
Aurora,2020-06-27 21:43:53.099134,276,34,33
Beadle,2020-06-27 21:43:53.099134,1388,518,432
Bennett,2020-06-27 21:43:53.099134,410,5,1
Bon Homme,2020-06-27 21:43:53.099134,565,11,10
Brookings,2020-06-27 21:43:53.099134,1600,58,46
Brown,2020-06-27 21:43:53.099134,2849,339,315
Brule,2020-06-27 21:43:53.099134,452,18,12
Buffalo,2020-06-27 21:43:53.099134,443,71,52
Butte,2020-06-27 21:43:53.099134,447,0,0
Campbell,2020-06-27 21:43:53.099134,61,0,0
Charles Mix,2020-06-27 21:43:53.099134,569,68,24
Clark,2020-06-27 21:43:53.099134,311,14,10
Clay,2020-06-27 21:43:53.099134,913,80,64
Codington,2020-06-27 21:43:53.099134,1802,53,46
Corson,2020-06-27 21:43:53.099134,135,17,14
Custer,2020-06-27 21:43:53.099134,504,8,4
Davison,2020-06-27 21:43:53.099134,1548,37,31
Day,2020-06-27 21:43:53.099134,392,15,13
Deuel,2020-06-27 21:43:53.099134,279,3,1
Dewey,2020-06-27 21:43:53.099134,834,4,0
Aurora,2020-06-28 21:18:50.153578,278,34,33
Beadle,2020-06-28 21:18:50.153578,1396,522,436
Bennett,2020-06-28 21:18:50.153578,411,5,2
Bon Homme,2020-06-28 21:18:50.153578,568,11,10
Brookings,2020-06-28 21:18:50.153578,1623,61,47
Brown,2020-06-28 21:18:50.153578,2905,341,316
Brule,2020-06-28 21:18:50.153578,456,18,12
Buffalo,2020-06-28 21:18:50.153578,447,72,53
Butte,2020-06-28 21:18:50.153578,454,0,0
Campbell,2020-06-28 21:18:50.153578,62,0,0
Charles Mix,2020-06-28 21:18:50.153578,577,70,25
Clark,2020-06-28 21:18:50.153578,314,14,10
Clay,2020-06-28 21:18:50.153578,914,80,67
Codington,2020-06-28 21:18:50.153578,1820,57,46
Corson,2020-06-28 21:18:50.153578,136,17,13
Custer,2020-06-28 21:18:50.153578,508,8,4
Davison,2020-06-28 21:18:50.153578,1561,39,31
Day,2020-06-28 21:18:50.153578,397,16,13
Deuel,2020-06-28 21:18:50.153578,284,3,1
Dewey,2020-06-28 21:18:50.153578,833,4,0
Aurora,2020-06-29 22:57:46.069297,278,34,33
Beadle,2020-06-29 22:57:46.069297,1401,523,444
Bennett,2020-06-29 22:57:46.069297,413,5,2
