County Name,Scrape Time,Total Deaths
Beadle,2020-06-24 12:20:31.726865,6
Brown,2020-06-24 12:20:31.726865,2
Jackson,2020-06-24 12:20:31.726865,1
Jerauld,2020-06-24 12:20:31.726865,1
Lake,2020-06-24 12:20:31.726865,1
Lincoln,2020-06-24 12:20:31.726865,1
McCook,2020-06-24 12:20:31.726865,1
Meade,2020-06-24 12:20:31.726865,1
Minnehaha,2020-06-24 12:20:31.726865,56
Pennington,2020-06-24 12:20:31.726865,12
Todd,2020-06-24 12:20:31.726865,1
Union,2020-06-24 12:20:31.726865,1
Beadle,2020-06-24 21:42:31.253131,6
Brown,2020-06-24 21:42:31.253131,2
Jackson,2020-06-24 21:42:31.253131,1
Jerauld,2020-06-24 21:42:31.253131,1
Lake,2020-06-24 21:42:31.253131,1
Lincoln,2020-06-24 21:42:31.253131,1
McCook,2020-06-24 21:42:31.253131,1
Meade,2020-06-24 21:42:31.253131,1
Minnehaha,2020-06-24 21:42:31.253131,56
Pennington,2020-06-24 21:42:31.253131,12
Todd,2020-06-24 21:42:31.253131,1
Union,2020-06-24 21:42:31.253131,1
Beadle,2020-06-25 21:26:29.024130,6
Brown,2020-06-25 21:26:29.024130,2
Buffalo,2020-06-25 21:26:29.024130,1
Faulk,2020-06-25 21:26:29.024130,1
Jackson,2020-06-25 21:26:29.024130,1
Jerauld,2020-06-25 21:26:29.024130,1
Lake,2020-06-25 21:26:29.024130,1
Lincoln,2020-06-25 21:26:29.024130,1
McCook,2020-06-25 21:26:29.024130,1
Meade,2020-06-25 21:26:29.024130,1
Minnehaha,2020-06-25 21:26:29.024130,56
Pennington,2020-06-25 21:26:29.024130,13
Todd,2020-06-25 21:26:29.024130,1
Union,2020-06-25 21:26:29.024130,1
Beadle,2020-06-26 20:01:45.492091,6
Brown,2020-06-26 20:01:45.492091,2
Buffalo,2020-06-26 20:01:45.492091,1
Faulk,2020-06-26 20:01:45.492091,1
Jackson,2020-06-26 20:01:45.492091,1
Jerauld,2020-06-26 20:01:45.492091,1
Lake,2020-06-26 20:01:45.492091,1
Lincoln,2020-06-26 20:01:45.492091,1
McCook,2020-06-26 20:01:45.492091,1
Meade,2020-06-26 20:01:45.492091,1
Minnehaha,2020-06-26 20:01:45.492091,56
Pennington,2020-06-26 20:01:45.492091,14
Todd,2020-06-26 20:01:45.492091,1
Union,2020-06-26 20:01:45.492091,1
Beadle,2020-06-27 21:43:53.099134,6
Brown,2020-06-27 21:43:53.099134,2
Buffalo,2020-06-27 21:43:53.099134,1
Faulk,2020-06-27 21:43:53.099134,1
Jackson,2020-06-27 21:43:53.099134,1
Jerauld,2020-06-27 21:43:53.099134,1
Lake,2020-06-27 21:43:53.099134,1
Lincoln,2020-06-27 21:43:53.099134,1
McCook,2020-06-27 21:43:53.099134,1
Meade,2020-06-27 21:43:53.099134,1
Minnehaha,2020-06-27 21:43:53.099134,57
Pennington,2020-06-27 21:43:53.099134,16
Todd,2020-06-27 21:43:53.099134,1
Union,2020-06-27 21:43:53.099134,1
Beadle,2020-06-28 21:18:50.153578,6
Brown,2020-06-28 21:18:50.153578,2
Buffalo,2020-06-28 21:18:50.153578,1
Faulk,2020-06-28 21:18:50.153578,1
Jackson,2020-06-28 21:18:50.153578,1
Jerauld,2020-06-28 21:18:50.153578,1
Lake,2020-06-28 21:18:50.153578,1
Lincoln,2020-06-28 21:18:50.153578,1
McCook,2020-06-28 21:18:50.153578,1
Meade,2020-06-28 21:18:50.153578,1
Minnehaha,2020-06-28 21:18:50.153578,57
Pennington,2020-06-28 21:18:50.153578,16
Todd,2020-06-28 21:18:50.153578,1
Union,2020-06-28 21:18:50.153578,1
Beadle,2020-06-29 22:57:46.069297,6
Brown,2020-06-29 22:57:46.069297,2
Buffalo,2020-06-29 22:57:46.069297,1
Faulk,2020-06-29 22:57:46.069297,1
Jackson,2020-06-29 22:57:46.069297,1
Jerauld,2020-06-29 22:57:46.069297,1
Lake,2020-06-29 22:57:46.069297,1
Lincoln,2020-06-29 22:57:46.069297,1
McCook,2020-06-29 22:57:46.069297,1
Meade,2020-06-29 22:57:46.069297,1
Minnehaha,2020-06-29 22:57:46.069297,57
Pennington,2020-06-29 22:57:46.069297,16
Todd,2020-06-29 22:57:46.069297,1
Union,2020-06-29 22:57:46.069297,1
Beadle,2020-06-30 20:21:55.845986,6
Brown,2020-06-30 20:21:55.845986,2
Buffalo,2020-06-30 20:21:55.845986,1
Faulk,2020-06-30 20:21:55.845986,1
Jackson,2020-06-30 20:21:55.845986,1
Jerauld,2020-06-30 20:21:55.845986,1
Lake,2020-06-30 20:21:55.845986,1
Lincoln,2020-06-30 20:21:55.845986,1
McCook,2020-06-30 20:21:55.845986,1
Meade,2020-06-30 20:21:55.845986,1
Minnehaha,2020-06-30 20:21:55.845986,57
Pennington,2020-06-30 20:21:55.845986,16
Todd,2020-06-30 20:21:55.845986,1
Union,2020-06-30 20:21:55.845986,1
Beadle,2020-07-01 20:13:47.561536,6
Brown,2020-07-01 20:13:47.561536,2
Buffalo,2020-07-01 20:13:47.561536,2
Faulk,2020-07-01 20:13:47.561536,1
Jackson,2020-07-01 20:13:47.561536,1
Jerauld,2020-07-01 20:13:47.561536,1
Lake,2020-07-01 20:13:47.561536,1
Lincoln,2020-07-01 20:13:47.561536,1
McCook,2020-07-01 20:13:47.561536,1
Meade,2020-07-01 20:13:47.561536,1
Minnehaha,2020-07-01 20:13:47.561536,58
Pennington,2020-07-01 20:13:47.561536,16
Todd,2020-07-01 20:13:47.561536,1
Union,2020-07-01 20:13:47.561536,1
Beadle,2020-07-02 22:20:29.886765,6
Brown,2020-07-02 22:20:29.886765,2
Buffalo,2020-07-02 22:20:29.886765,2
Faulk,2020-07-02 22:20:29.886765,1
Jackson,2020-07-02 22:20:29.886765,1
Jerauld,2020-07-02 22:20:29.886765,1
Lake,2020-07-02 22:20:29.886765,1
Lincoln,2020-07-02 22:20:29.886765,1
McCook,2020-07-02 22:20:29.886765,1
Meade,2020-07-02 22:20:29.886765,1
Minnehaha,2020-07-02 22:20:29.886765,58
Pennington,2020-07-02 22:20:29.886765,16
Todd,2020-07-02 22:20:29.886765,1
Union,2020-07-02 22:20:29.886765,1
Beadle,2020-07-03 22:49:49.577278,6
Brown,2020-07-03 22:49:49.577278,2
Buffalo,2020-07-03 22:49:49.577278,2
Faulk,2020-07-03 22:49:49.577278,1
Jackson,2020-07-03 22:49:49.577278,1
Jerauld,2020-07-03 22:49:49.577278,1
Lake,2020-07-03 22:49:49.577278,1
Lincoln,2020-07-03 22:49:49.577278,1
McCook,2020-07-03 22:49:49.577278,1
Meade,2020-07-03 22:49:49.577278,1
Minnehaha,2020-07-03 22:49:49.577278,58
Pennington,2020-07-03 22:49:49.577278,16
Todd,2020-07-03 22:49:49.577278,1
Union,2020-07-03 22:49:49.577278,1
Beadle,2020-07-04 20:38:09.503488,6
Brown,2020-07-04 20:38:09.503488,2
Buffalo,2020-07-04 20:38:09.503488,2
Faulk,2020-07-04 20:38:09.503488,1
Jackson,2020-07-04 20:38:09.503488,1
Jerauld,2020-07-04 20:38:09.503488,1
Lake,2020-07-04 20:38:09.503488,1
Lincoln,2020-07-04 20:38:09.503488,1
McCook,2020-07-04 20:38:09.503488,1
Meade,2020-07-04 20:38:09.503488,1
Minnehaha,2020-07-04 20:38:09.503488,58
Pennington,2020-07-04 20:38:09.503488,16
Todd,2020-07-04 20:38:09.503488,1
Union,2020-07-04 20:38:09.503488,1
Beadle,2020-07-05 20:12:04.329465,6
Brown,2020-07-05 20:12:04.329465,2
Buffalo,2020-07-05 20:12:04.329465,2
Faulk,2020-07-05 20:12:04.329465,1
