Date,Total_Cases,Active_Cases,Total_Deaths
2/15/20 00:00,28,19,0
2/16/20 00:00,29,20,0
2/17/20 00:00,30,20,0
2/18/20 00:00,31,19,0
2/19/20 00:00,58,42,0
2/20/20 00:00,111,94,1
2/21/20 00:00,209,190,2
2/22/20 00:00,436,416,2
2/23/20 00:00,602,578,6
2/24/20 00:00,833,803,8
2/25/20 00:00,977,944,11
2/26/20 00:00,1261,1225,12
2/27/20 00:00,1766,1726,13
2/28/20 00:00,2337,2297,16
2/29/20 00:00,3150,3109,17
3/1/20 00:00,3736,3685,21
3/2/20 00:00,4335,4277,28
3/3/20 00:00,5186,5120,32
3/4/20 00:00,5621,5498,35
3/5/20 00:00,6284,6107,42
3/6/20 00:00,6593,6415,43
3/7/20 00:00,7041,6875,48
3/8/20 00:00,7313,7097,50
3/9/20 00:00,7578,7178,53
3/10/20 00:00,7513,7165,60
3/11/20 00:00,7755,7362,60
3/12/20 00:00,7869,7293,66
3/13/20 00:00,7979,7198,67
3/14/20 00:00,8086,7180,72
3/15/20 00:00,8162,7253,75
3/16/20 00:00,8236,7024,75
3/17/20 00:00,8320,6838,81
3/18/20 00:00,8413,6789,84
3/19/20 00:00,8565,6527,91
3/20/20 00:00,8652,6325,94
3/21/20 00:00,8799,6085,102
3/22/20 00:00,8897,5884,104
3/23/20 00:00,8961,5684,111
3/24/20 00:00,9037,5410,120
3/25/20 00:00,9137,5281,126
3/26/20 00:00,9241,4966,131
3/27/20 00:00,9332,4665,139
3/28/20 00:00,9478,4523,144
3/29/20 00:00,9583,4398,152
3/30/20 00:00,9661,4275,158
3/31/20 00:00,9786,4216,162
4/1/20 00:00,9887,4155,165
4/2/20 00:00,9976,3979,169
4/3/20 00:00,10062,3867,174
4/4/20 00:00,10156,3654,177
4/5/20 00:00,10237,3591,183
4/6/20 00:00,10284,3500,186
4/7/20 00:00,10331,3445,192
4/8/20 00:00,10384,3408,200
4/9/20 00:00,10423,3246,204
4/10/20 00:00,10450,3125,208
4/11/20 00:00,10480,3026,211
4/12/20 00:00,10512,2930,214
4/13/20 00:00,10537,2873,217
4/14/20 00:00,10564,2808,222
4/15/20 00:00,10591,2750,225
4/16/20 00:00,10613,2627,229
4/17/20 00:00,10635,2576,230
4/18/20 00:00,10653,2484,232
4/19/20 00:00,10661,2385,234
4/20/20 00:00,10674,2324,236
4/21/20 00:00,10683,2233,237
4/22/20 00:00,10694,2179,238
4/23/20 00:00,10702,2051,240
4/24/20 00:00,10708,1967,240
4/25/20 00:00,10718,1843,240
