Age_0s_Confirmed,Age_0s_Deceased,Age_10s_Confirmed,Age_10s_Deceased,Age_20s_Confirmed,Age_20s_Deceased,Age_30s_Confirmed,Age_30s_Deceased,Age_40s_Confirmed,Age_40s_Deceased,Age_50s_Confirmed,Age_50s_Deceased,Age_60s_Confirmed,Age_60s_Deceased,Age_70s_Confirmed,Age_70s_Deceased,Age_80s_Confirmed,Age_80s_Deceased,Date,Gender_female_Confirmed,Gender_female_Deceased,Gender_male_Confirmed,Gender_male_Deceased
32,0,169,0,1235,0,506,1,633,1,834,5,530,6,192,6,81,3,2020-03-02,2621,9,1591,13
34,0,204,0,1417,0,578,1,713,1,952,5,597,7,224,9,93,5,2020-03-03,3002,12,1810,16
34,0,233,0,1575,0,631,1,790,1,1051,5,646,7,260,12,108,6,2020-03-04,3332,12,1996,20
38,0,257,0,1727,0,659,1,847,1,1127,5,699,8,288,13,124,7,2020-03-05,3617,14,2149,21
45,0,292,0,1877,0,693,1,889,1,1217,5,763,11,340,14,168,10,2020-03-06,3939,17,2345,25
52,0,327,0,2038,0,727,1,941,1,1287,5,830,11,384,14,191,12,2020-03-07,4245,18,2522,26
58,0,360,0,2133,0,760,1,975,1,1349,5,878,11,409,18,212,14,2020-03-08,4440,20,2694,29
66,0,381,0,2190,0,779,1,1005,1,1391,5,916,12,438,18,216,14,2020-03-09,4583,20,2799,31
67,0,393,0,2213,0,789,1,1030,1,1416,5,929,13,454,19,222,15,2020-03-10,4661,21,2852,33
75,0,405,0,2238,0,804,1,1082,1,1472,6,960,14,483,21,236,17,2020-03-11,4808,25,2947,35
76,0,412,0,2261,0,812,1,1101,1,1495,6,972,14,497,24,243,20,2020-03-12,4875,28,2994,38
77,0,421,0,2274,0,823,1,1117,1,1523,6,985,14,506,24,253,21,2020-03-13,4936,28,3043,39
81,0,424,0,2287,0,833,1,1133,1,1551,6,999,14,515,27,263,23,2020-03-14,4986,31,3100,41
83,0,427,0,2301,0,842,1,1141,1,1568,6,1012,14,525,28,263,25,2020-03-15,5026,34,3136,41
85,0,432,0,2313,0,849,1,1147,1,1585,6,1024,14,531,28,270,25,2020-03-16,5067,34,3169,41
86,0,436,0,2330,0,856,1,1164,1,1602,6,1033,16,539,29,274,28,2020-03-17,5120,37,3200,44
87,0,438,0,2342,0,873,1,1171,1,1615,6,1059,16,542,29,286,31,2020-03-18,5173,39,3240,45
91,0,444,0,2358,0,886,1,1181,1,1642,7,1080,17,562,34,321,31,2020-03-19,5269,42,3296,49
97,0,452,0,2365,0,893,1,1193,1,1656,7,1099,17,568,35,329,33,2020-03-20,5322,43,3330,51
99,0,457,0,2380,0,900,1,1203,1,1672,7,1118,17,589,37,381,39,2020-03-21,5412,48,3387,54
101,0,460,0,2396,0,909,1,1221,1,1691,7,1132,17,595,37,392,41,2020-03-22,5467,49,3430,55
