Age [0-10],Age [11-20],Age [21-30],Age [31-40],Age [41-50],Age [51-60],Age [61-70],Age [71-80],Age [80+],Age [pending]},Hospitalizations,Fatalities,pullTime
16,71,346,221,224,218,153,87,28,9,118,6,2020-03-29 11:05:47.370724
17,80,380,239,262,239,176,97,33,14,133,7,2020-03-29 19:33:17.996449
17,80,380,239,262,239,176,97,33,14,133,7,2020-03-29 19:35:49.370616
18,96,462,286,299,280,212,120,50,11,148,13,2020-03-30 20:37:42.201340
24,107,566,346,351,368,254,144,63,16,175,23,2020-03-31 20:28:43.479324
33,131,637,426,417,456,308,175,79,21,200,24,2020-04-01 20:08:53.727952
33,131,637,426,417,456,308,175,79,21,200,24,2020-04-01 20:12:51.900206
36,138,665,456,437,484,331,184,97,17,263,32,2020-04-02 20:26:50.302453
39,148,693,494,474,544,359,196,105,15,293,37,2020-04-03 20:25:05.239459
43,158,744,543,510,593,391,205,107,27,311,43,2020-04-04 20:10:41.254622
42,171,815,608,565,644,431,215,118,24,328,44,2020-04-05 20:15:53.756224
45,183,846,627,587,679,454,232,122,27,352,65,2020-04-06 20:29:30.999151
52,198,905,684,639,755,508,251,124,22,408,72,2020-04-07 20:05:29.153057
53,208,943,705,674,803,542,268,143,23,449,79,2020-04-08 20:19:35.090184
