state,stateAbbrev,date,Cases,Deaths,Tests,Sex_Cases [Male],Sex_Cases [Female],Sex_Cases [Unknown],Age_Cases [0-1],Age_Cases [1-9],Age_Cases [10-19],Age_Cases [20-29],Age_Cases [30-39],Age_Cases [40-49],Age_Cases [50-59],Age_Cases [60-64],Age_Cases [65-69],Age_Cases [70-74],Age_Cases [75-79],Age_Cases [80+],Race_Cases [Asian],Race_Cases [Black],Race_Cases [Hispanic],Race_Cases [Other],Race_Cases [Unknown],Race_Cases [White],pullTime,Sex_Deaths [Female],Sex_Deaths [Male],Sex_Deaths [Unknown],Age_Cases [Unknown],Age_Deaths [0-1],Age_Deaths [1-9],Age_Deaths [10-19],Age_Deaths [20-29],Age_Deaths [30-39],Age_Deaths [40-49],Age_Deaths [50-59],Age_Deaths [60-64],Age_Deaths [65-69],Age_Deaths [70-74],Age_Deaths [75-79],Age_Deaths [80+],Age_Deaths [Unknown],Race_Deaths [Asian],Race_Deaths [Black],Race_Deaths [Hispanic],Race_Deaths [Other],Race_Deaths [White],Race_Deaths [Unknown],Sex_Cases [Gender],Sex_Deaths [Gender],"Age_Cases [Age
Grouping]","Age_Deaths [Age
Grouping]",Race_Cases [Race/Ethnicity],Race_Deaths [Race/Ethnicity],Age_Cases [Pending DOB],Sex_Cases [Total],Sex_Deaths [Total],Age_Cases [Total],Age_Deaths [Grand Total],Race_Cases [Total],Race_Deaths [Total ]
Texas,TX,2020-04-15,15492,364,151810.0,1073.0,1042.0,67.0,3.0,16.0,49.0,290.0,361.0,420.0,416.0,200.0,149.0,104.0,69.0,100.0,98.0,250.0,552.0,16.0,428.0,838.0,4/15/20 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-16,16455,393,158547.0,1096.0,1053.0,67.0,3.0,16.0,50.0,292.0,362.0,423.0,420.0,206.0,153.0,106.0,73.0,107.0,98.0,253.0,557.0,16.0,442.0,850.0,19:53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-17,17371,428,169536.0,1147.0,1111.0,77.0,4.0,16.0,52.0,309.0,379.0,436.0,448.0,210.0,162.0,113.0,77.0,124.0,103.0,267.0,590.0,16.0,476.0,883.0,08:45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-18,18260,453,176239.0,1210.0,1181.0,82.0,4.0,17.0,58.0,331.0,393.0,456.0,466.0,217.0,172.0,118.0,84.0,151.0,108.0,278.0,634.0,17.0,516.0,920.0,15:31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-19,18923,477,182710.0,1271.0,1220.0,83.0,4.0,18.0,59.0,336.0,404.0,470.0,480.0,228.0,178.0,123.0,88.0,180.0,110.0,296.0,663.0,18.0,543.0,944.0,28:41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-20,19458,495,190394.0,1323.0,1267.0,84.0,4.0,18.0,61.0,354.0,425.0,485.0,497.0,240.0,188.0,125.0,89.0,182.0,114.0,310.0,694.0,20.0,560.0,976.0,24:16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-21,20196,517,205399.0,1382.0,1334.0,83.0,4.0,18.0,64.0,375.0,448.0,503.0,524.0,249.0,192.0,130.0,93.0,192.0,114.0,326.0,739.0,22.0,573.0,1025.0,16:11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-22,21069,541,216783.0,1411.0,1386.0,105.0,4.0,20.0,67.0,387.0,464.0,523.0,544.0,254.0,198.0,132.0,97.0,205.0,115.0,340.0,775.0,22.0,609.0,1041.0,26:49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-23,21944,561,225078.0,1482.0,1396.0,106.0,4.0,21.0,68.0,397.0,483.0,541.0,560.0,262.0,201.0,135.0,97.0,208.0,115.0,372.0,794.0,22.0,620.0,1061.0,26:39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2020-04-24,22806,593,242547.0,1544.0,1436.0,107.0,4.0,21.0,72.0,412.0,498.0,560.0,582.0,269.0,206.0,141.0,103.0,212.0,118.0,396.0,835.0,22.0,631.0,1085.0,42:37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
