Female,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 5 to 9 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over,Female: Under 5 years,Male,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 5 to 9 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Male: Under 5 years,Total,state_fips,state
2494971,154333,94397,64288,35875,36158,98990,161732,156669,152831,157463,161471,149284,176258,172841,65434,91124,58864,75198,100123,76173,55764,55840,143861,2346193,159647,98334,67790,37110,36861,97495,157445,150718,142795,153127,153538,156423,165372,159393,57496,83307,51203,65750,83372,56930,36796,26381,148910,4841164,1,AL
351559,24045,14641,8210,5113,5220,15480,28801,25760,22215,21813,22405,25873,25090,25494,9350,10411,5974,7566,9041,4957,3701,3872,26527,385296,26748,15441,10841,6454,6537,20685,32384,28830,25203,22825,24496,26436,27423,26562,9739,12593,7308,7532,9156,5268,2833,2097,27905,736855,2,AK
3384471,223684,133385,89383,49033,48714,134665,219870,216076,204566,209442,205985,223450,217702,212313,83813,121512,80605,104283,143438,102397,71555,75848,212752,3344106,230981,139485,95817,52489,52008,146215,236810,226955,209457,212254,205609,233694,210863,193980,75009,108268,71116,93278,128136,92182,60110,47203,222187,6728577,4,AZ
1511778,96544,58396,40287,21224,20941,58592,97426,95308,91286,93337,93594,97685,102388,100763,37363,54230,35078,45231,62998,44963,34675,36391,93078,1456694,99276,60841,41841,22574,22531,59657,96753,95829,90575,91825,91401,103608,98508,93411,34931,49676,31719,41506,52879,37145,24064,18338,97806,2968472,5,AR
19453236,1241495,764625,519943,286577,278352,827776,1412695,1363383,1278035,1292901,1294480,1243193,1323507,1238979,462083,623185,389084,490069,630402,468253,364898,437219,1222102,19200970,1295400,800330,548548,309098,306053,883164,1505740,1419349,1293345,1294750,1297127,1295679,1300080,1179528,430372,567891,346029,428748,538074,374949,267766,241491,1277459,38654206,6,CA
2669659,172535,99678,67883,36131,36646,109288,192351,192927,179556,172745,173510,172645,186432,182687,67910,92399,57543,70333,85262,61476,44794,51038,163890,2689636,179296,103842,74213,39665,41634,117304,207489,205243,188656,183409,175786,182693,182810,173732,65844,88824,54824,65699,75581,52147,32221,27122,171602,5359295,8,CO
1838300,111858,70966,52473,25584,24156,66361,107880,109801,104588,120115,135544,102808,145381,134745,50489,66289,41509,52849,68489,51857,42732,59327,92499,1750270,116685,74774,54309,25986,26042,73878,112436,108354,102147,112756,127850,107749,137202,129033,45692,60804,36999,46364,57749,39732,28816,28600,96313,3588570,9,CT
482279,27593,16931,12927,7205,5852,18645,31864,29724,28685,28069,32293,28707,35039,35369,12522,18039,12267,16092,20363,14926,10278,11622,27267,452416,29815,17676,12912,6771,6702,18574,31941,29156,26498,27215,30011,27859,32458,30465,11357,16377,10695,13473,17964,12116,7657,6380,28344,934695,10,DE
346380,12443,7792,12344,6167,6026,19515,42094,37066,25774,20866,18976,16058,19295,18526,7653,10533,5909,8154,9981,7838,5507,7275,20588,312629,12316,7757,10131,5632,5994,15518,36030,34033,24647,21493,19235,16364,19353,17605,6072,8580,4309,5774,8553,4990,3561,3315,21367,659009,11,DC
10193189,561698,346378,229916,135805,127541,370042,638989,615923,594164,633332,671345,545791,726973,701147,270593,394168,264201,356264,493807,373731,283192,322646,535543,9741262,583860,363328,245922,139232,134229,391801,660191,617424,588665,618111,652788,571008,693463,641400,239610,337776,226636,315411,427820,320189,221663,192065,558670,19934451,12,FL
