state,stateAbbrev,date,Cases,Tested,Deaths,Hospitalizations,Hospitalized_Age [0-1],Hospitalized_Age [1-14],Hospitalized_Age [15-24],Hospitalized_Age [25-44],Hospitalized_Age [45-64],Hospitalized_Age [65-84],Hospitalized_Age [85+],HospitalizationsPending,HospitalizedPending_Age [0-1],HospitalizedPending_Age [1-14],HospitalizedPending_Age [15-24],HospitalizedPending_Age [25-44],HospitalizedPending_Age [45-64],HospitalizedPending_Age [65-84],HospitalizedPending_Age [85+],Age [0-1],Age [1-14],Age [15-24],Age [25-44],Age [45-64],Age [65-84],Age [85+],Female,Male,Female_Age [0-1],Female_Age [1-14],Female_Age [15-24],Female_Age [25-44],Female_Age [45-64],Female_Age [65-84],Female_Age [85+],Male_Age [0-1],Male_Age [1-14],Male_Age [15-24],Male_Age [25-44],Male_Age [45-64],Male_Age [65-84],Male_Age [85+],Race_Cases [American Indian/Alaska Native],Race_Cases [Asian],Race_Cases [Black/African American],Race_Cases [Hispanic or Latino],Race_Cases [Native Hawaiian/Pacific Islander],"Race_Cases [White alone, not Hispanic or Latino]",Race_Cases [Other race],Race_Cases [Unknown],Race_Cases [Statewide],Race_Hospitalizations [American Indian/Alaska Native],Race_Hospitalizations [Asian],Race_Hospitalizations [Black/African American],Race_Hospitalizations [Hispanic or Latino],Race_Hospitalizations [Native Hawaiian/Pacific Islander],"Race_Hospitalizations [White alone, not Hispanic or Latino]",Race_Hospitalizations [Other race],Race_Hospitalizations [Unknown],Race_Hospitalizations [Statewide],pullTime,Race_Deaths [American Indian/Alaska Native],Race_Deaths [Asian],Race_Deaths [Black/African American],Race_Deaths [Hispanic or Latino],Race_Deaths [Native Hawaiian/Pacific Islander],"Race_Deaths [White alone, not Hispanic or Latino]",Race_Deaths [Other race],Race_Deaths [Unknown],Race_Deaths [Statewide],Tests
Utah,UT,2020-04-02,1074,21065,7,100,0,0,6,19,42,33,0,122,1,5,25,42,34,14,1,2,17,152,426,344,130,3,489,577,1,6,80,193,153,54,2,,11,69,232,189,75,1,,,,,,,,,,,,,,,,,,,2020-04-02 00:00:00,,,,,,,,,,
Utah,UT,2020-04-03,1246,24248,7,106,0,0,6,19,43,37,1,142,0,2,28,57,40,15,0,3,19,187,501,388,145,3,568,675,2,7,101,226,174,56,2,1.0,12,86,274,212,89,1,,,,,,,,,,,,,,,,,,,2020-04-03 00:00:00,,,,,,,,,,
Utah,UT,2020-04-04,1428,28043,8,117,0,0,6,21,50,39,1,143,1,3,32,57,35,15,0,6,25,222,582,434,159,4,668,759,3,11,121,267,200,63,3,3.0,14,99,314,232,96,1,,,,,,,,,,,,,,,,,,,2020-04-04 00:00:00,,,,,,,,,,
Utah,UT,2020-04-05,1605,30892,8,124,0,0,6,24,54,39,1,167,1,7,35,51,46,25,1,7,31,249,646,486,180,5,748,854,4,14,138,296,222,70,4,3.0,17,111,350,261,110,1,,,,,,,,,,,,,,,,,,,2020-04-05 00:00:00,,,,,,,,,,
Utah,UT,2020-04-06,1675,33394,13,138,0,0,7,28,59,43,1,134,1,4,25,47,39,17,1,8,32,258,675,514,183,5,782,891,4,14,142,311,237,70,4,4.0,18,116,364,275,113,1,,,,,,,,,,,,,,,,,,,2020-04-06 00:00:00,,,,,,,,,,
Utah,UT,2020-04-07,1738,34647,13,148,0,0,8,31,63,45,1,117,0,4,18,38,37,18,2,9,34,268,696,534,191,6,819,919,5,15,150,322,247,75,5,4.0,19,118,374,287,116,1,,,,,,,,,,,,,,,,,,,2020-04-07 00:00:00,,,,,,,,,,
Utah,UT,2020-04-08,1846,36116,13,158,0,0,8,35,66,47,2,120,0,2,21,47,31,18,1,13,40,279,735,569,202,8,867,972,7,18,153,337,265,81,6,5.0,21,125,397,302,120,2,,,,,,,,,,,,,,,,,,,2020-04-08 00:00:00,,,,,,,,,,
Utah,UT,2020-04-09,1976,38373,13,168,0,1,8,35,71,50,3,117,0,2,23,47,34,11,0,10,46,299,788,611,212,8,930,1040,6,18,163,363,288,86,6,4.0,28,136,422,322,125,2,,,,,,,,,,,,,,,,,,,2020-04-09 00:00:00,,,,,,,,,,
Utah,UT,2020-04-10,2102,40762,17,183,0,1,9,41,76,52,4,120,1,1,23,50,32,12,1,12,54,317,840,648,219,10,987,1113,7,23,166,384,310,90,7,5.0,31,151,455,338,129,3,,,,,,,,,,,,,,,,,,,2020-04-10 00:00:00,,,,,,,,,,
Utah,UT,2020-04-11,2206,42546,18,190,0,1,9,45,77,53,5,92,0,0,15,44,25,8,0,12,55,328,896,672,231,10,1033,1170,7,24,169,407,321,98,7,5.0,31,159,488,351,132,3,,,,,,,,,,,,,,,,,,,2020-04-11 00:00:00,,,,,,,,,,
