Age_0_9,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_plus,Age_Missing,Gender_Female,Gender_Male,Gender_NotReported,Race_Black,Race_NotReported,Race_Other,Race_White,ReportDate,Scrape_Time
15,29,259,276,322,393,347,235,135,1,988,991,33,229,1177,103,503,4/3/2020,2020-04-03 20:41:03.059317
16,34,293,335,382,466,415,284,182,,1199,1162,46,310,1390,118,589,4/4/2020,2020-04-04 22:17:38.778714
19,36,326,366,421,512,453,305,199,,1330,1257,50,345,1488,143,661,4/5/2020,2020-04-05 20:15:54.855939
21,38,349,398,461,574,499,327,211,,1467,1360,51,389,1538,193,758,4/6/2020,2020-04-06 20:29:32.184203
25,43,412,483,543,660,573,361,232,1,1718,1563,52,448,1833,216,836,4/7/2020,2020-04-07 20:22:30.743228
24,53,444,529,598,730,625,391,250,1,1880,1717,48,506,1978,244,917,4/8/2020,2020-04-08 20:19:37.090112
25,64,484,595,660,808,692,425,288,1,2053,1930,59,614,2075,310,1043,4/9/2020,2020-04-09 19:52:22.383374
26,79,526,678,744,905,757,464,329,1,2289,2163,57,692,2186,389,1242,4/10/2020,2020-04-10 20:21:28.677600
30,96,589,765,850,1022,844,505,374,2,2569,2452,56,808,2303,486,1480,4/11/2020,2020-04-11 19:54:06.630704
33,104,609,796,882,1062,871,528,386,3,2671,2543,60,841,2402,503,1528,4/12/2020,2020-04-12 20:40:02.226331
38,110,663,864,966,1154,949,561,440,2,2908,2774,65,921,2626,571,1629,4/13/2020,2020-04-13 20:22:34.307398
42,127,716,917,1028,1226,1013,608,492,2,3153,2951,67,1060,2633,633,1845,4/14/2020,2020-04-14 20:02:19.656619
46,138,755,963,1095,1277,1061,634,530,1,3335,3097,68,1158,2596,717,2029,4/15/2020,2020-04-15 20:13:31.723627
48,145,808,1028,1168,1349,1114,662,566,1,3542,3279,68,1278,2609,788,2214,4/16/2020,2020-04-16 20:17:52.280660
60,158,877,1104,1254,1466,1204,714,653,1,3877,3535,79,1401,2781,849,2460,4/17/2020,2020-04-17 20:05:07.587863
65,171,956,1201,1349,1559,1288,756,707,1,4167,3807,79,1489,2921,968,2675,4/18/2020,2020-04-18 20:12:07.276036
73,177,1021,1279,1436,1634,1348,791,777,1,4417,4040,80,1578,3070,1059,2830,4/19/2020,2020-04-19 20:25:37.425716
80,190,1072,1344,1525,1719,1413,823,823,1,4662,4248,80,1659,3130,1183,3018,4/20/2020,2020-04-20 20:22:19.699227
