Report Date,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths,Health District Name,Scrape_Time
4/21/2020,0-9,15,2,0,Fairfax,2020-04-21 21:19:23.068154
4/21/2020,10-19,4,0,0,Virginia Beach,2020-04-21 21:19:23.068154
4/21/2020,70-79,4,1,0,Three Rivers,2020-04-21 21:19:23.068154
4/21/2020,70-79,5,1,0,Rappahannock Rapidan,2020-04-21 21:19:23.068154
4/21/2020,30-39,18,0,0,Chickahominy,2020-04-21 21:19:23.068154
4/21/2020,40-49,43,9,0,Virginia Beach,2020-04-21 21:19:23.068154
4/21/2020,60-69,66,7,1,Central Shenandoah,2020-04-21 21:19:23.068154
4/21/2020,30-39,49,4,0,Rappahannock,2020-04-21 21:19:23.068154
4/21/2020,10-19,9,0,0,Rappahannock Rapidan,2020-04-21 21:19:23.068154
4/21/2020,40-49,103,11,0,Loudoun,2020-04-21 21:19:23.068154
4/21/2020,70-79,3,3,1,Eastern Shore,2020-04-21 21:19:23.068154
4/21/2020,50-59,5,0,0,West Piedmont,2020-04-21 21:19:23.068154
4/21/2020,80+,25,18,7,Peninsula,2020-04-21 21:19:23.068154
4/21/2020,40-49,7,0,0,Alleghany,2020-04-21 21:19:23.068154
4/21/2020,70-79,64,33,10,Peninsula,2020-04-21 21:19:23.068154
4/21/2020,20-29,24,0,0,Lord Fairfax,2020-04-21 21:19:23.068154
4/21/2020,50-59,118,22,1,Arlington,2020-04-21 21:19:23.068154
4/21/2020,40-49,25,3,0,Thomas Jefferson,2020-04-21 21:19:23.068154
4/21/2020,40-49,26,4,0,Norfolk,2020-04-21 21:19:23.068154
4/21/2020,30-39,12,1,0,Central Virginia,2020-04-21 21:19:23.068154
4/21/2020,20-29,11,2,0,Southside,2020-04-21 21:19:23.068154
4/21/2020,50-59,62,15,1,Rappahannock,2020-04-21 21:19:23.068154
4/21/2020,30-39,104,13,0,Arlington,2020-04-21 21:19:23.068154
