Health District Name,Report Date,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
Alexandria,4/23/2020,40-49,91,10,0,2020-04-23 21:01:13.540429
Peninsula,4/23/2020,70-79,64,33,10,2020-04-23 21:01:13.540429
Piedmont,4/23/2020,60-69,20,6,0,2020-04-23 21:01:13.540429
Fairfax,4/23/2020,50-59,441,87,4,2020-04-23 21:01:13.540429
Eastern Shore,4/23/2020,20-29,13,0,0,2020-04-23 21:01:13.540429
Southside,4/23/2020,40-49,12,3,0,2020-04-23 21:01:13.540429
Fairfax,4/23/2020,60-69,334,98,14,2020-04-23 21:01:13.540429
Norfolk,4/23/2020,20-29,23,0,0,2020-04-23 21:01:13.540429
Norfolk,4/23/2020,30-39,26,3,0,2020-04-23 21:01:13.540429
Loudoun,4/23/2020,10-19,14,0,0,2020-04-23 21:01:13.540429
Southside,4/23/2020,60-69,13,5,0,2020-04-23 21:01:13.540429
Chickahominy,4/23/2020,20-29,16,0,0,2020-04-23 21:01:13.540429
Chickahominy,4/23/2020,70-79,17,6,2,2020-04-23 21:01:13.540429
Roanoke,4/23/2020,50-59,8,1,0,2020-04-23 21:01:13.540429
Southside,4/23/2020,10-19,2,0,0,2020-04-23 21:01:13.540429
Roanoke,4/23/2020,60-69,2,1,0,2020-04-23 21:01:13.540429
Three Rivers,4/23/2020,60-69,16,4,0,2020-04-23 21:01:13.540429
Arlington,4/23/2020,20-29,103,7,0,2020-04-23 21:01:13.540429
Lenowisco,4/23/2020,60-69,6,4,1,2020-04-23 21:01:13.540429
Prince William,4/23/2020,60-69,136,19,5,2020-04-23 21:01:13.540429
Central Shenandoah,4/23/2020,20-29,72,0,0,2020-04-23 21:01:13.540429
Crater,4/23/2020,40-49,26,4,0,2020-04-23 21:01:13.540429
Chesterfield,4/23/2020,20-29,46,2,0,2020-04-23 21:01:13.540429
Roanoke,4/23/2020,40-49,6,0,0,2020-04-23 21:01:13.540429
Rappahannock,4/23/2020,50-59,69,16,1,2020-04-23 21:01:13.540429
Chesapeake,4/23/2020,30-39,28,1,0,2020-04-23 21:01:13.540429
Chesterfield,4/23/2020,40-49,83,4,2,2020-04-23 21:01:13.540429
Chesapeake,4/23/2020,80+,13,5,2,2020-04-23 21:01:13.540429
Central Virginia,4/23/2020,10-19,2,0,0,2020-04-23 21:01:13.540429
Mount Rogers,4/23/2020,30-39,13,3,0,2020-04-23 21:01:13.540429
Rappahannock Rapidan,4/23/2020,30-39,43,5,0,2020-04-23 21:01:13.540429
Western Tidewater,4/23/2020,30-39,26,1,0,2020-04-23 21:01:13.540429
Loudoun,4/23/2020,50-59,124,12,0,2020-04-23 21:01:13.540429
Peninsula,4/23/2020,80+,26,18,7,2020-04-23 21:01:13.540429
Richmond,4/23/2020,80+,18,6,4,2020-04-23 21:01:13.540429
Eastern Shore,4/23/2020,30-39,14,2,0,2020-04-23 21:01:13.540429
Pittsylvania-Danville,4/23/2020,60-69,7,3,1,2020-04-23 21:01:13.540429
Cumberland Plateau,4/23/2020,30-39,4,0,0,2020-04-23 21:01:13.540429
Western Tidewater,4/23/2020,80+,66,15,2,2020-04-23 21:01:13.540429
Alleghany,4/23/2020,50-59,23,3,0,2020-04-23 21:01:13.540429
New River,4/23/2020,10-19,3,0,0,2020-04-23 21:01:13.540429
Central Virginia,4/23/2020,70-79,10,2,0,2020-04-23 21:01:13.540429
Chickahominy,4/23/2020,40-49,38,3,1,2020-04-23 21:01:13.540429
Prince William,4/23/2020,20-29,169,10,0,2020-04-23 21:01:13.540429
New River,4/23/2020,80+,3,1,0,2020-04-23 21:01:13.540429
Lord Fairfax,4/23/2020,20-29,30,0,0,2020-04-23 21:01:13.540429
Arlington,4/23/2020,80+,79,23,14,2020-04-23 21:01:13.540429
Henrico,4/23/2020,20-29,52,4,0,2020-04-23 21:01:13.540429
Mount Rogers,4/23/2020,20-29,5,0,0,2020-04-23 21:01:13.540429
Portsmouth,4/23/2020,40-49,13,3,0,2020-04-23 21:01:13.540429
New River,4/23/2020,50-59,14,2,0,2020-04-23 21:01:13.540429
Pittsylvania-Danville,4/23/2020,70-79,9,6,0,2020-04-23 21:01:13.540429
Pittsylvania-Danville,4/23/2020,20-29,5,0,0,2020-04-23 21:01:13.540429
Chickahominy,4/23/2020,10-19,2,0,0,2020-04-23 21:01:13.540429
Cumberland Plateau,4/23/2020,70-79,1,0,0,2020-04-23 21:01:13.540429
Henrico,4/23/2020,80+,162,36,43,2020-04-23 21:01:13.540429
Fairfax,4/23/2020,40-49,473,67,0,2020-04-23 21:01:13.540429
Piedmont,4/23/2020,10-19,2,0,0,2020-04-23 21:01:13.540429
Loudoun,4/23/2020,60-69,51,14,0,2020-04-23 21:01:13.540429
Lord Fairfax,4/23/2020,30-39,40,4,0,2020-04-23 21:01:13.540429
Alexandria,4/23/2020,10-19,17,0,0,2020-04-23 21:01:13.540429
Alleghany,4/23/2020,40-49,8,0,0,2020-04-23 21:01:13.540429
Virginia Beach,4/23/2020,50-59,54,9,0,2020-04-23 21:01:13.540429
Rappahannock Rapidan,4/23/2020,50-59,26,4,0,2020-04-23 21:01:13.540429
New River,4/23/2020,40-49,7,0,0,2020-04-23 21:01:13.540429
Alleghany,4/23/2020,60-69,17,4,0,2020-04-23 21:01:13.540429
Virginia Beach,4/23/2020,70-79,39,17,4,2020-04-23 21:01:13.540429
Cumberland Plateau,4/23/2020,40-49,4,0,0,2020-04-23 21:01:13.540429
Virginia Beach,4/23/2020,60-69,61,11,1,2020-04-23 21:01:13.540429
Chesapeake,4/23/2020,20-29,14,1,0,2020-04-23 21:01:13.540429
Central Shenandoah,4/23/2020,80+,60,7,5,2020-04-23 21:01:13.540429
Rappahannock Rapidan,4/23/2020,10-19,12,0,0,2020-04-23 21:01:13.540429
Norfolk,4/23/2020,80+,6,4,2,2020-04-23 21:01:13.540429
Virginia Beach,4/23/2020,40-49,48,9,0,2020-04-23 21:01:13.540429
Southside,4/23/2020,20-29,12,2,0,2020-04-23 21:01:13.540429
Central Shenandoah,4/23/2020,70-79,43,8,4,2020-04-23 21:01:13.540429
Chesterfield,4/23/2020,80+,50,5,3,2020-04-23 21:01:13.540429
Fairfax,4/23/2020,80+,210,64,48,2020-04-23 21:01:13.540429
Chesterfield,4/23/2020,60-69,59,8,4,2020-04-23 21:01:13.540429
Arlington,4/23/2020,30-39,111,14,0,2020-04-23 21:01:13.540429
Southside,4/23/2020,70-79,13,6,1,2020-04-23 21:01:13.540429
Lord Fairfax,4/23/2020,40-49,35,1,0,2020-04-23 21:01:13.540429
Thomas Jefferson,4/23/2020,80+,31,15,7,2020-04-23 21:01:13.540429
Peninsula,4/23/2020,0-9,4,0,0,2020-04-23 21:01:13.540429
Mount Rogers,4/23/2020,0-9,1,0,0,2020-04-23 21:01:13.540429
Pittsylvania-Danville,4/23/2020,0-9,1,0,0,2020-04-23 21:01:13.540429
Western Tidewater,4/23/2020,50-59,52,3,0,2020-04-23 21:01:13.540429
Southside,4/23/2020,50-59,17,3,0,2020-04-23 21:01:13.540429
Lenowisco,4/23/2020,70-79,4,3,0,2020-04-23 21:01:13.540429
Richmond,4/23/2020,30-39,33,2,0,2020-04-23 21:01:13.540429
Rappahannock,4/23/2020,70-79,18,11,4,2020-04-23 21:01:13.540429
Crater,4/23/2020,50-59,38,7,0,2020-04-23 21:01:13.540429
Richmond,4/23/2020,40-49,38,2,0,2020-04-23 21:01:13.540429
Peninsula,4/23/2020,10-19,2,1,0,2020-04-23 21:01:13.540429
Arlington,4/23/2020,60-69,100,21,2,2020-04-23 21:01:13.540429
Three Rivers,4/23/2020,20-29,17,0,0,2020-04-23 21:01:13.540429
Chickahominy,4/23/2020,50-59,40,7,0,2020-04-23 21:01:13.540429
Crater,4/23/2020,20-29,15,2,0,2020-04-23 21:01:13.540429
Southside,4/23/2020,80+,18,3,0,2020-04-23 21:01:13.540429
Prince William,4/23/2020,80+,31,6,2,2020-04-23 21:01:13.540429
Piedmont,4/23/2020,40-49,17,0,0,2020-04-23 21:01:13.540429
Hampton,4/23/2020,70-79,7,5,0,2020-04-23 21:01:13.540429
Hampton,4/23/2020,20-29,15,1,0,2020-04-23 21:01:13.540429
Hampton,4/23/2020,10-19,5,0,0,2020-04-23 21:01:13.540429
Prince William,4/23/2020,70-79,57,17,6,2020-04-23 21:01:13.540429
Loudoun,4/23/2020,80+,43,12,9,2020-04-23 21:01:13.540429
Prince William,4/23/2020,30-39,243,15,1,2020-04-23 21:01:13.540429
Central Virginia,4/23/2020,0-9,1,0,0,2020-04-23 21:01:13.540429
Richmond,4/23/2020,60-69,55,13,4,2020-04-23 21:01:13.540429
Central Virginia,4/23/2020,50-59,19,0,0,2020-04-23 21:01:13.540429
Henrico,4/23/2020,40-49,84,9,0,2020-04-23 21:01:13.540429
Alexandria,4/23/2020,80+,27,7,2,2020-04-23 21:01:13.540429
Lord Fairfax,4/23/2020,0-9,1,0,0,2020-04-23 21:01:13.540429
Prince William,4/23/2020,10-19,29,1,0,2020-04-23 21:01:13.540429
Crater,4/23/2020,10-19,2,0,0,2020-04-23 21:01:13.540429
Fairfax,4/23/2020,10-19,50,2,0,2020-04-23 21:01:13.540429
Thomas Jefferson,4/23/2020,60-69,37,11,1,2020-04-23 21:01:13.540429
Piedmont,4/23/2020,50-59,21,5,0,2020-04-23 21:01:13.540429
Cumberland Plateau,4/23/2020,60-69,1,1,0,2020-04-23 21:01:13.540429
Arlington,4/23/2020,50-59,127,22,1,2020-04-23 21:01:13.540429
Rappahannock Rapidan,4/23/2020,40-49,41,1,0,2020-04-23 21:01:13.540429
Alexandria,4/23/2020,0-9,14,0,0,2020-04-23 21:01:13.540429
Lord Fairfax,4/23/2020,80+,5,4,0,2020-04-23 21:01:13.540429
Mount Rogers,4/23/2020,60-69,7,1,0,2020-04-23 21:01:13.540429
New River,4/23/2020,0-9,2,0,0,2020-04-23 21:01:13.540429
Virginia Beach,4/23/2020,0-9,1,0,0,2020-04-23 21:01:13.540429
Chesapeake,4/23/2020,10-19,4,0,0,2020-04-23 21:01:13.540429
New River,4/23/2020,20-29,15,0,0,2020-04-23 21:01:13.540429
Peninsula,4/23/2020,20-29,26,1,0,2020-04-23 21:01:13.540429
Eastern Shore,4/23/2020,50-59,20,3,1,2020-04-23 21:01:13.540429
Rappahannock,4/23/2020,20-29,46,5,0,2020-04-23 21:01:13.540429
Thomas Jefferson,4/23/2020,20-29,28,0,0,2020-04-23 21:01:13.540429
Western Tidewater,4/23/2020,40-49,44,3,0,2020-04-23 21:01:13.540429
Arlington,4/23/2020,40-49,91,11,1,2020-04-23 21:01:13.540429
Lenowisco,4/23/2020,0-9,2,0,0,2020-04-23 21:01:13.540429
Central Shenandoah,4/23/2020,40-49,92,2,0,2020-04-23 21:01:13.540429
Loudoun,4/23/2020,20-29,51,1,0,2020-04-23 21:01:13.540429
Crater,4/23/2020,60-69,35,10,5,2020-04-23 21:01:13.540429
Norfolk,4/23/2020,0-9,1,0,0,2020-04-23 21:01:13.540429
Virginia Beach,4/23/2020,80+,36,11,3,2020-04-23 21:01:13.540429
Peninsula,4/23/2020,40-49,35,2,0,2020-04-23 21:01:13.540429
Chickahominy,4/23/2020,0-9,1,0,0,2020-04-23 21:01:13.540429
Rappahannock,4/23/2020,80+,9,6,2,2020-04-23 21:01:13.540429
Central Shenandoah,4/23/2020,30-39,82,1,0,2020-04-23 21:01:13.540429
Rappahannock,4/23/2020,40-49,72,12,0,2020-04-23 21:01:13.540429
Chesterfield,4/23/2020,0-9,1,0,0,2020-04-23 21:01:13.540429
Southside,4/23/2020,30-39,10,0,0,2020-04-23 21:01:13.540429
Virginia Beach,4/23/2020,30-39,50,3,0,2020-04-23 21:01:13.540429
Alexandria,4/23/2020,60-69,52,12,0,2020-04-23 21:01:13.540429
Piedmont,4/23/2020,30-39,9,0,0,2020-04-23 21:01:13.540429
Rappahannock Rapidan,4/23/2020,70-79,7,1,0,2020-04-23 21:01:13.540429
Lord Fairfax,4/23/2020,60-69,48,10,0,2020-04-23 21:01:13.540429
