case_status,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
Confirmed,78182,1951,7394,2020-07-23 00:00:00
Probable,3055,103,43,2020-07-23 00:00:00
Confirmed,77380,1948,7307,2020-07-22 00:00:00
Probable,3013,103,44,2020-07-22 00:00:00
Confirmed,79253,1964,7472,2020-07-24 00:00:00
Probable,3111,103,43,2020-07-24 00:00:00
Confirmed,80480,1972,7524,2020-07-25 00:00:00
Probable,3129,103,46,2020-07-25 00:00:00
Confirmed,81393,1975,7546,2020-07-26 00:00:00
Probable,3174,103,47,2020-07-26 00:00:00
Confirmed,82871,1978,7600,2020-07-27 00:00:00
Probable,3201,104,47,2020-07-27 00:00:00
Confirmed,83732,1991,7640,2020-07-28 00:00:00
Probable,3262,104,46,2020-07-28 00:00:00
Confirmed,84700,2020,7692,2020-07-29 00:00:00
Probable,3293,105,46,2020-07-29 00:00:00
Confirmed,85546,2035,7740,2020-07-30 00:00:00
Probable,3358,106,46,2020-07-30 00:00:00
Confirmed,86501,2067,7820,2020-07-31 00:00:00
Probable,3387,107,46,2020-07-31 00:00:00
Confirmed,87367,2105,7862,2020-08-01 00:00:00
Probable,3434,110,48,2020-08-01 00:00:00
Confirmed,88324,2108,7907,2020-08-02 00:00:00
Probable,3458,110,48,2020-08-02 00:00:00
Confirmed,89602,2108,7970,2020-08-03 00:00:00
Probable,3504,110,48,2020-08-03 00:00:00
Confirmed,90728,2134,8037,2020-08-04 00:00:00
Probable,3523,110,48,2020-08-04 00:00:00
Confirmed,91473,2164,8077,2020-08-05 00:00:00
Probable,3576,110,49,2020-08-05 00:00:00
Confirmed,92244,2191,8135,2020-08-06 00:00:00
Probable,3623,108,48,2020-08-06 00:00:00
Confirmed,94141,2208,8231,2020-08-07 00:00:00
Probable,3741,109,50,2020-08-07 00:00:00
Confirmed,95326,2211,8282,2020-08-08 00:00:00
Probable,3863,111,50,2020-08-08 00:00:00
Confirmed,96167,2214,8319,2020-08-09 00:00:00
Probable,3919,112,50,2020-08-09 00:00:00
Confirmed,96807,2215,8341,2020-08-10 00:00:00
Probable,3942,112,50,2020-08-10 00:00:00
Confirmed,97712,2232,8407,2020-08-11 00:00:00
Probable,4033,112,51,2020-08-11 00:00:00
Confirmed,98374,2238,8480,2020-08-12 00:00:00
Probable,4147,114,52,2020-08-12 00:00:00
Confirmed,99428,2248,8540,2020-08-13 00:00:00
Probable,4194,115,52,2020-08-13 00:00:00
Confirmed,100603,2255,8597,2020-08-14 00:00:00
Probable,4235,115,53,2020-08-14 00:00:00
Confirmed,101448,2265,8648,2020-08-15 00:00:00
Probable,4302,116,53,2020-08-15 00:00:00
Confirmed,102299,2266,8682,2020-08-16 00:00:00
Probable,4388,115,55,2020-08-16 00:00:00
Confirmed,103016,2268,8713,2020-08-17 00:00:00
Probable,4405,117,54,2020-08-17 00:00:00
Confirmed,103809,2278,8793,2020-08-18 00:00:00
Probable,4473,118,56,2020-08-18 00:00:00
Confirmed,104475,2293,8868,2020-08-19 00:00:00
Probable,4544,117,57,2020-08-19 00:00:00
Confirmed,105289,2310,8940,2020-08-20 00:00:00
Probable,4593,117,58,2020-08-20 00:00:00
Confirmed,106177,2319,9014,2020-08-21 00:00:00
Probable,4683,117,57,2020-08-21 00:00:00
Confirmed,107268,2324,9081,2020-08-22 00:00:00
Probable,4804,119,58,2020-08-22 00:00:00
Confirmed,108112,2348,9117,2020-08-23 00:00:00
Probable,4854,119,59,2020-08-23 00:00:00
Confirmed,108767,2352,9148,2020-08-24 00:00:00
Probable,4863,119,59,2020-08-24 00:00:00
Confirmed,109679,2370,9199,2020-08-25 00:00:00
Probable,4956,124,60,2020-08-25 00:00:00
Confirmed,110437,2382,9264,2020-08-26 00:00:00
Probable,5021,133,62,2020-08-26 00:00:00
Confirmed,111484,2394,9329,2020-08-27 00:00:00
Probable,5095,133,62,2020-08-27 00:00:00
Confirmed,112446,2417,9397,2020-08-28 00:00:00
Probable,5146,133,63,2020-08-28 00:00:00
Confirmed,113623,2435,9448,2020-08-29 00:00:00
Probable,5186,133,64,2020-08-29 00:00:00
Confirmed,114514,2436,9490,2020-08-30 00:00:00
Probable,5233,133,65,2020-08-30 00:00:00
Confirmed,115334,2447,9504,2020-08-31 00:00:00
Probable,5260,133,65,2020-08-31 00:00:00
Confirmed,116294,2479,9555,2020-09-01 00:00:00
Probable,5321,133,66,2020-09-01 00:00:00
Confirmed,117141,2508,9610,2020-09-02 00:00:00
Probable,5401,133,68,2020-09-02 00:00:00
Confirmed,118190,2519,9673,2020-09-03 00:00:00
Probable,5478,133,68,2020-09-03 00:00:00
Confirmed,119259,2529,9730,2020-09-04 00:00:00
Probable,5520,133,68,2020-09-04 00:00:00
Confirmed,120191,2544,9781,2020-09-05 00:00:00
Probable,5536,133,68,2020-09-05 00:00:00
Confirmed,121317,2545,9812,2020-09-06 00:00:00
Probable,5609,133,69,2020-09-06 00:00:00
Confirmed,121919,2551,9833,2020-09-07 00:00:00
Probable,5652,133,69,2020-09-07 00:00:00
Confirmed,122711,2553,9863,2020-09-08 00:00:00
Probable,5696,133,69,2020-09-08 00:00:00
Confirmed,123488,2564,9938,2020-09-09 00:00:00
Probable,5801,133,70,2020-09-09 00:00:00
Confirmed,124619,2575,10015,2020-09-10 00:00:00
Probable,5906,133,70,2020-09-10 00:00:00
Confirmed,125703,2578,10085,2020-09-11 00:00:00
Probable,5937,133,70,2020-09-11 00:00:00
Confirmed,126850,2589,10149,2020-09-12 00:00:00
Probable,6090,133,69,2020-09-12 00:00:00
Confirmed,127672,2591,10175,2020-09-13 00:00:00
Probable,6142,133,69,2020-09-13 00:00:00
Confirmed,128400,2607,10223,2020-09-14 00:00:00
Probable,6171,136,70,2020-09-14 00:00:00
Confirmed,129259,2691,10267,2020-09-15 00:00:00
Probable,6255,148,70,2020-09-15 00:00:00
Confirmed,129963,2711,10318,2020-09-16 00:00:00
Probable,6396,173,71,2020-09-16 00:00:00
Confirmed,130960,2734,10393,2020-09-17 00:00:00
Probable,6500,186,71,2020-09-17 00:00:00
Confirmed,132090,2755,10445,2020-09-18 00:00:00
Probable,6612,194,75,2020-09-18 00:00:00
Confirmed,132966,2787,10484,2020-09-19 00:00:00
Probable,6689,203,78,2020-09-19 00:00:00
Confirmed,133722,2811,10510,2020-09-20 00:00:00
Probable,6789,204,81,2020-09-20 00:00:00
Confirmed,134301,2816,10531,2020-09-21 00:00:00
Probable,6837,205,82,2020-09-21 00:00:00
Confirmed,135101,2853,10592,2020-09-22 00:00:00
Probable,6909,207,83,2020-09-22 00:00:00
Confirmed,135626,2882,10634,2020-09-23 00:00:00
Probable,6964,207,84,2020-09-23 00:00:00
