Report Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
4/21/2020,Confirmed,9451,1578,321,2020-04-21 21:19:23.068154
4/21/2020,Probable,179,3,3,2020-04-21 21:19:23.068154
4/22/2020,Confirmed,9952,1656,347,2020-04-22 20:25:52.245144
4/22/2020,Probable,314,3,2,2020-04-22 20:25:52.245144
4/22/2020,Confirmed,9952,1656,347,2020-04-22 20:26:02.510946
4/22/2020,Probable,314,3,2,2020-04-22 20:26:02.510946
4/23/2020,Confirmed,10627,1743,370,2020-04-23 20:59:18.295337
4/23/2020,Probable,371,10,2,2020-04-23 20:59:18.295337
4/23/2020,Confirmed,10627,1743,370,2020-04-23 21:01:13.540429
4/23/2020,Probable,371,10,2,2020-04-23 21:01:13.540429
4/23/2020,Confirmed,10627,1743,370,2020-04-23 21:02:03.288577
4/23/2020,Probable,371,10,2,2020-04-23 21:02:03.288577
4/23/2020,Confirmed,10627,1743,370,2020-04-23 21:02:38.965008
4/23/2020,Probable,371,10,2,2020-04-23 21:02:38.965008
4/24/2020,Confirmed,11169,1829,407,2020-04-24 20:41:10.285310
4/24/2020,Probable,425,8,3,2020-04-24 20:41:10.285310
4/25/2020,Confirmed,11902,1935,432,2020-04-25 20:31:07.033242
4/25/2020,Probable,464,7,4,2020-04-25 20:31:07.033242
4/27/2020,Confirmed,13036,2059,454,2020-04-27 20:28:04.771219
4/27/2020,Probable,499,7,4,2020-04-27 20:28:04.771219
4/27/2020,Confirmed,13036,2059,454,2020-04-27 20:44:17.382058
4/27/2020,Probable,499,7,4,2020-04-27 20:44:17.382058
4/28/2020,Confirmed,13794,2158,487,2020-04-28 20:39:40.942298
4/28/2020,Probable,545,7,5,2020-04-28 20:39:40.942298
4/29/2020,Confirmed,14328,2252,513,2020-04-29 19:59:19.685928
4/29/2020,Probable,633,7,9,2020-04-29 19:59:19.685928
4/30/2020,Confirmed,15180,2313,543,2020-04-30 20:58:36.318086
4/30/2020,Probable,666,9,9,2020-04-30 20:58:36.318086
5/1/2020,Probable,792,9,9,2020-05-01 20:27:57.069329
5/1/2020,Confirmed,16109,2407,572,2020-05-01 20:27:57.069329
5/2/2020,Probable,752,9,9,2020-05-02 22:38:05.890661
5/2/2020,Confirmed,16979,2510,607,2020-05-02 22:38:05.890661
5/3/2020,Probable,798,14,16,2020-05-03 20:34:10.546837
5/3/2020,Confirmed,17873,2613,644,2020-05-03 20:34:10.546837
5/4/2020,Probable,852,19,22,2020-05-04 19:46:59.762938
5/4/2020,Confirmed,18640,2681,662,2020-05-04 19:46:59.762938
5/5/2020,Probable,899,19,23,2020-05-05 20:20:37.017953
5/5/2020,Confirmed,19357,2754,690,2020-05-05 20:20:37.017953
5/5/2020,Probable,899,19,23,2020-05-06 20:17:38.905640
5/5/2020,Confirmed,19357,2754,690,2020-05-06 20:17:38.905640
5/7/2020,Probable,1033,21,24,2020-05-07 20:58:15.766223
5/7/2020,Confirmed,20537,2934,745,2020-05-07 20:58:15.766223
5/8/2020,Probable,1068,20,25,2020-05-08 22:05:44.102120
5/8/2020,Confirmed,21274,3039,787,2020-05-08 22:05:44.102120
5/9/2020,Probable,1110,21,26,2020-05-09 20:29:19.043236
5/9/2020,Confirmed,22086,3143,801,2020-05-09 20:29:19.043236
5/10/2020,Probable,1119,21,26,2020-05-10 20:07:00.268488
5/10/2020,Confirmed,22962,3190,813,2020-05-10 20:07:00.268488
5/11/2020,Probable,1181,22,27,2020-05-11 20:51:22.534899
5/11/2020,Confirmed,23889,3278,823,2020-05-11 20:51:22.534899
5/12/2020,Probable,1199,22,27,2020-05-12 20:16:59.610029
5/12/2020,Confirmed,24601,3373,864,2020-05-12 20:16:59.610029
5/13/2020,Probable,1315,22,28,2020-05-13 20:08:32.175238
5/13/2020,Confirmed,25431,3498,899,2020-05-13 20:08:32.175238
5/14/2020,Probable,1344,24,28,2020-05-14 21:05:07.324149
5/14/2020,Confirmed,26469,3568,927,2020-05-14 21:05:07.324149
5/15/2020,Probable,1379,27,33,2020-05-15 20:24:35.630097
5/15/2020,Confirmed,27293,3630,944,2020-05-15 20:24:35.630097
5/16/2020,Probable,1450,27,34,2020-05-16 19:58:57.538119
5/16/2020,Confirmed,28233,3697,968,2020-05-16 19:58:57.538119
5/17/2020,Probable,1487,26,34,2020-05-17 19:56:32.395010
5/17/2020,Confirmed,28901,3749,975,2020-05-17 19:56:32.395010
5/18/2020,Probable,1549,26,34,2020-05-18 20:20:09.175888
5/18/2020,Confirmed,29591,3796,980,2020-05-18 20:20:09.175888
5/19/2020,Probable,1606,28,34,2020-05-19 20:00:52.828849
5/19/2020,Confirmed,30539,3876,1007,2020-05-19 20:00:52.828849
5/20/2020,Probable,1661,28,34,2020-05-20 20:06:34.135096
5/20/2020,Confirmed,31247,3951,1040,2020-05-20 20:06:34.135096
5/21/2020,Probable,1709,27,35,2020-05-21 20:59:55.779002
5/21/2020,Confirmed,32428,4066,1064,2020-05-21 20:59:55.779002
5/22/2020,Probable,1742,28,36,2020-05-22 20:07:59.062192
5/22/2020,Confirmed,33208,4117,1100,2020-05-22 20:07:59.062192
5/23/2020,Probable,1787,28,36,2020-05-23 20:43:55.770130
5/23/2020,Confirmed,33962,4153,1123,2020-05-23 20:43:55.770130
5/24/2020,Probable,1793,29,36,2020-05-24 20:36:10.305695
