Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
4/21/2020,Alexandria,462,60,9,2020-04-21 21:19:23.068154
4/21/2020,Alleghany,64,13,3,2020-04-21 21:19:23.068154
4/21/2020,Arlington,625,114,23,2020-04-21 21:19:23.068154
4/21/2020,Central Shenandoah,445,23,1,2020-04-21 21:19:23.068154
4/21/2020,Central Virginia,89,7,2,2020-04-21 21:19:23.068154
4/21/2020,Chesapeake,176,39,5,2020-04-21 21:19:23.068154
4/21/2020,Chesterfield,390,29,9,2020-04-21 21:19:23.068154
4/21/2020,Chickahominy,186,35,12,2020-04-21 21:19:23.068154
4/21/2020,Crater,138,25,9,2020-04-21 21:19:23.068154
4/21/2020,Cumberland Plateau,18,1,0,2020-04-21 21:19:23.068154
4/21/2020,Eastern Shore,59,16,1,2020-04-21 21:19:23.068154
4/21/2020,Fairfax,2123,383,66,2020-04-21 21:19:23.068154
4/21/2020,Hampton,92,26,1,2020-04-21 21:19:23.068154
4/21/2020,Henrico,621,90,77,2020-04-21 21:19:23.068154
4/21/2020,Lenowisco,32,10,2,2020-04-21 21:19:23.068154
4/21/2020,Lord Fairfax,201,21,0,2020-04-21 21:19:23.068154
4/21/2020,Loudoun,468,59,8,2020-04-21 21:19:23.068154
4/21/2020,Mount Rogers,57,15,4,2020-04-21 21:19:23.068154
4/21/2020,New River,62,8,0,2020-04-21 21:19:23.068154
4/21/2020,Norfolk,118,28,3,2020-04-21 21:19:23.068154
4/21/2020,Peninsula,311,96,20,2020-04-21 21:19:23.068154
4/21/2020,Piedmont,90,16,3,2020-04-21 21:19:23.068154
4/21/2020,Pittsylvania-Danville,36,17,2,2020-04-21 21:19:23.068154
4/21/2020,Portsmouth,82,28,4,2020-04-21 21:19:23.068154
4/21/2020,Prince William,1008,113,17,2020-04-21 21:19:23.068154
4/21/2020,Rappahannock,296,72,6,2020-04-21 21:19:23.068154
4/21/2020,Rappahannock Rapidan,148,18,2,2020-04-21 21:19:23.068154
4/21/2020,Richmond,246,39,10,2020-04-21 21:19:23.068154
4/21/2020,Roanoke,25,5,0,2020-04-21 21:19:23.068154
4/21/2020,Southside,92,20,1,2020-04-21 21:19:23.068154
4/21/2020,Thomas Jefferson,224,46,10,2020-04-21 21:19:23.068154
4/21/2020,Three Rivers,102,10,1,2020-04-21 21:19:23.068154
4/21/2020,Virginia Beach,288,60,8,2020-04-21 21:19:23.068154
4/21/2020,West Piedmont,27,4,1,2020-04-21 21:19:23.068154
4/21/2020,Western Tidewater,229,35,4,2020-04-21 21:19:23.068154
4/22/2020,Lenowisco,32,10,2,2020-04-22 20:25:52.245144
4/22/2020,Chesterfield,402,30,9,2020-04-22 20:25:52.245144
4/22/2020,Portsmouth,93,30,4,2020-04-22 20:25:52.245144
4/22/2020,Western Tidewater,249,39,6,2020-04-22 20:25:52.245144
4/22/2020,Cumberland Plateau,18,1,0,2020-04-22 20:25:52.245144
4/22/2020,Prince William,1075,122,18,2020-04-22 20:25:52.245144
4/22/2020,Hampton,97,26,1,2020-04-22 20:25:52.245144
4/22/2020,Southside,94,21,1,2020-04-22 20:25:52.245144
4/22/2020,Henrico,684,96,82,2020-04-22 20:25:52.245144
4/22/2020,Alexandria,474,65,12,2020-04-22 20:25:52.245144
4/22/2020,Chickahominy,191,35,11,2020-04-22 20:25:52.245144
4/22/2020,New River,66,8,0,2020-04-22 20:25:52.245144
4/22/2020,Fairfax,2306,409,68,2020-04-22 20:25:52.245144
4/22/2020,Lord Fairfax,217,21,0,2020-04-22 20:25:52.245144
4/22/2020,Rappahannock Rapidan,164,18,2,2020-04-22 20:25:52.245144
4/22/2020,Pittsylvania-Danville,38,17,2,2020-04-22 20:25:52.245144
4/22/2020,Crater,139,26,9,2020-04-22 20:25:52.245144
4/22/2020,Virginia Beach,313,60,8,2020-04-22 20:25:52.245144
4/22/2020,Richmond,250,41,10,2020-04-22 20:25:52.245144
4/22/2020,Norfolk,126,29,3,2020-04-22 20:25:52.245144
4/22/2020,Thomas Jefferson,234,46,10,2020-04-22 20:25:52.245144
4/22/2020,Eastern Shore,67,16,1,2020-04-22 20:25:52.245144
4/22/2020,West Piedmont,28,4,1,2020-04-22 20:25:52.245144
4/22/2020,Piedmont,90,16,3,2020-04-22 20:25:52.245144
4/22/2020,Peninsula,311,96,20,2020-04-22 20:25:52.245144
4/22/2020,Alleghany,73,13,3,2020-04-22 20:25:52.245144
4/22/2020,Chesapeake,180,39,5,2020-04-22 20:25:52.245144
4/22/2020,Rappahannock,310,75,9,2020-04-22 20:25:52.245144
4/22/2020,Three Rivers,104,10,1,2020-04-22 20:25:52.245144
4/22/2020,Central Shenandoah,525,36,9,2020-04-22 20:25:52.245144
4/22/2020,Mount Rogers,58,15,4,2020-04-22 20:25:52.245144
4/22/2020,Loudoun,475,61,9,2020-04-22 20:25:52.245144
4/22/2020,Central Virginia,93,7,2,2020-04-22 20:25:52.245144
4/22/2020,Roanoke,27,5,0,2020-04-22 20:25:52.245144
4/22/2020,Arlington,663,116,24,2020-04-22 20:25:52.245144
4/22/2020,Lenowisco,32,10,2,2020-04-22 20:26:02.510946
4/22/2020,Chesterfield,402,30,9,2020-04-22 20:26:02.510946
4/22/2020,Portsmouth,93,30,4,2020-04-22 20:26:02.510946
4/22/2020,Western Tidewater,249,39,6,2020-04-22 20:26:02.510946
4/22/2020,Cumberland Plateau,18,1,0,2020-04-22 20:26:02.510946
4/22/2020,Prince William,1075,122,18,2020-04-22 20:26:02.510946
4/22/2020,Hampton,97,26,1,2020-04-22 20:26:02.510946
4/22/2020,Southside,94,21,1,2020-04-22 20:26:02.510946
4/22/2020,Henrico,684,96,82,2020-04-22 20:26:02.510946
4/22/2020,Alexandria,474,65,12,2020-04-22 20:26:02.510946
4/22/2020,Chickahominy,191,35,11,2020-04-22 20:26:02.510946
4/22/2020,New River,66,8,0,2020-04-22 20:26:02.510946
4/22/2020,Fairfax,2306,409,68,2020-04-22 20:26:02.510946
4/22/2020,Lord Fairfax,217,21,0,2020-04-22 20:26:02.510946
4/22/2020,Rappahannock Rapidan,164,18,2,2020-04-22 20:26:02.510946
4/22/2020,Pittsylvania-Danville,38,17,2,2020-04-22 20:26:02.510946
4/22/2020,Crater,139,26,9,2020-04-22 20:26:02.510946
4/22/2020,Virginia Beach,313,60,8,2020-04-22 20:26:02.510946
4/22/2020,Richmond,250,41,10,2020-04-22 20:26:02.510946
4/22/2020,Norfolk,126,29,3,2020-04-22 20:26:02.510946
4/22/2020,Thomas Jefferson,234,46,10,2020-04-22 20:26:02.510946
4/22/2020,Eastern Shore,67,16,1,2020-04-22 20:26:02.510946
4/22/2020,West Piedmont,28,4,1,2020-04-22 20:26:02.510946
4/22/2020,Piedmont,90,16,3,2020-04-22 20:26:02.510946
4/22/2020,Peninsula,311,96,20,2020-04-22 20:26:02.510946
4/22/2020,Alleghany,73,13,3,2020-04-22 20:26:02.510946
4/22/2020,Chesapeake,180,39,5,2020-04-22 20:26:02.510946
4/22/2020,Rappahannock,310,75,9,2020-04-22 20:26:02.510946
4/22/2020,Three Rivers,104,10,1,2020-04-22 20:26:02.510946
4/22/2020,Central Shenandoah,525,36,9,2020-04-22 20:26:02.510946
4/22/2020,Mount Rogers,58,15,4,2020-04-22 20:26:02.510946
4/22/2020,Loudoun,475,61,9,2020-04-22 20:26:02.510946
4/22/2020,Central Virginia,93,7,2,2020-04-22 20:26:02.510946
4/22/2020,Roanoke,27,5,0,2020-04-22 20:26:02.510946
4/22/2020,Arlington,663,116,24,2020-04-22 20:26:02.510946
4/23/2020,Pittsylvania-Danville,42,17,2,2020-04-23 20:59:18.295337
4/23/2020,Peninsula,317,96,20,2020-04-23 20:59:18.295337
4/23/2020,Eastern Shore,88,18,2,2020-04-23 20:59:18.295337
4/23/2020,Lenowisco,34,12,2,2020-04-23 20:59:18.295337
4/23/2020,Cumberland Plateau,18,1,0,2020-04-23 20:59:18.295337
4/23/2020,Piedmont,104,17,3,2020-04-23 20:59:18.295337
4/23/2020,Southside,97,22,1,2020-04-23 20:59:18.295337
4/23/2020,Alexandria,512,74,14,2020-04-23 20:59:18.295337
4/23/2020,Henrico,718,99,83,2020-04-23 20:59:18.295337
4/23/2020,Hampton,99,26,1,2020-04-23 20:59:18.295337
4/23/2020,Alleghany,76,13,3,2020-04-23 20:59:18.295337
4/23/2020,Richmond,259,45,13,2020-04-23 20:59:18.295337
4/23/2020,Chesapeake,186,40,5,2020-04-23 20:59:18.295337
4/23/2020,Crater,164,32,9,2020-04-23 20:59:18.295337
