Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
5/2/2020,Southside,Not Reported,92,19,7,2020-05-02 22:38:05.890661
5/2/2020,Lord Fairfax,Hispanic or Latino,98,12,1,2020-05-02 22:38:05.890661
5/2/2020,Eastern Shore,Not Hispanic or Latino,319,20,3,2020-05-02 22:38:05.890661
5/2/2020,Portsmouth,Hispanic or Latino,4,2,0,2020-05-02 22:38:05.890661
5/2/2020,Fairfax,Not Reported,1207,69,45,2020-05-02 22:38:05.890661
5/2/2020,Richmond,Hispanic or Latino,40,5,1,2020-05-02 22:38:05.890661
5/2/2020,Chesapeake,Not Reported,87,8,2,2020-05-02 22:38:05.890661
5/2/2020,Arlington,Hispanic or Latino,165,50,3,2020-05-02 22:38:05.890661
5/2/2020,West Piedmont,Not Hispanic or Latino,35,5,1,2020-05-02 22:38:05.890661
5/2/2020,Fairfax,Not Hispanic or Latino,1319,367,101,2020-05-02 22:38:05.890661
5/2/2020,Piedmont,Hispanic or Latino,11,0,0,2020-05-02 22:38:05.890661
5/2/2020,Crater,Not Hispanic or Latino,94,30,7,2020-05-02 22:38:05.890661
5/2/2020,Chickahominy,Not Hispanic or Latino,71,22,9,2020-05-02 22:38:05.890661
5/2/2020,New River,Not Hispanic or Latino,44,9,1,2020-05-02 22:38:05.890661
5/2/2020,Lord Fairfax,Not Reported,92,2,0,2020-05-02 22:38:05.890661
5/2/2020,Rappahannock,Not Reported,213,29,2,2020-05-02 22:38:05.890661
5/2/2020,Central Shenandoah,Not Reported,193,2,4,2020-05-02 22:38:05.890661
5/2/2020,Central Virginia,Not Hispanic or Latino,38,4,1,2020-05-02 22:38:05.890661
5/2/2020,Lenowisco,Not Hispanic or Latino,21,9,1,2020-05-02 22:38:05.890661
5/2/2020,Cumberland Plateau,Not Hispanic or Latino,14,2,0,2020-05-02 22:38:05.890661
5/2/2020,Western Tidewater,Not Hispanic or Latino,263,45,16,2020-05-02 22:38:05.890661
5/2/2020,New River,Not Reported,31,1,0,2020-05-02 22:38:05.890661
5/2/2020,Chesterfield,Not Reported,436,19,15,2020-05-02 22:38:05.890661
5/2/2020,Chesterfield,Hispanic or Latino,44,1,0,2020-05-02 22:38:05.890661
5/2/2020,Hampton,Not Hispanic or Latino,88,26,1,2020-05-02 22:38:05.890661
5/2/2020,Chesapeake,Not Hispanic or Latino,163,48,4,2020-05-02 22:38:05.890661
5/2/2020,Peninsula,Hispanic or Latino,19,7,1,2020-05-02 22:38:05.890661
5/2/2020,Arlington,Not Reported,672,82,14,2020-05-02 22:38:05.890661
5/2/2020,Roanoke,Not Hispanic or Latino,49,5,0,2020-05-02 22:38:05.890661
5/2/2020,Lord Fairfax,Not Hispanic or Latino,283,28,4,2020-05-02 22:38:05.890661
5/2/2020,Eastern Shore,Hispanic or Latino,63,2,2,2020-05-02 22:38:05.890661
