deaths,fips,hospitalizations,locality,report_date,total_cases,vdh_health_district
15,51001,76,Accomack,2020-07-23 00:00:00,1059,Eastern Shore
10,51003,50,Albemarle,2020-07-23 00:00:00,671,Thomas Jefferson
2,51005,5,Alleghany,2020-07-23 00:00:00,56,Alleghany
1,51007,13,Amelia,2020-07-23 00:00:00,61,Piedmont
0,51009,3,Amherst,2020-07-23 00:00:00,67,Central Virginia
0,51011,2,Appomattox,2020-07-23 00:00:00,55,Central Virginia
135,51013,431,Arlington,2020-07-23 00:00:00,2776,Arlington
2,51015,8,Augusta,2020-07-23 00:00:00,233,Central Shenandoah
0,51017,0,Bath,2020-07-23 00:00:00,3,Central Shenandoah
4,51019,4,Bedford,2020-07-23 00:00:00,212,Central Virginia
0,51021,0,Bland,2020-07-23 00:00:00,7,Mount Rogers
4,51023,13,Botetourt,2020-07-23 00:00:00,168,Alleghany
1,51025,23,Brunswick,2020-07-23 00:00:00,163,Southside
0,51027,2,Buchanan,2020-07-23 00:00:00,62,Cumberland Plateau
6,51029,23,Buckingham,2020-07-23 00:00:00,590,Piedmont
1,51031,3,Campbell,2020-07-23 00:00:00,89,Central Virginia
4,51033,21,Caroline,2020-07-23 00:00:00,167,Rappahannock
10,51035,25,Carroll,2020-07-23 00:00:00,284,Mount Rogers
3,51036,15,Charles City,2020-07-23 00:00:00,45,Chickahominy
0,51037,5,Charlotte,2020-07-23 00:00:00,43,Piedmont
65,51041,195,Chesterfield,2020-07-23 00:00:00,3609,Chesterfield
0,51043,7,Clarke,2020-07-23 00:00:00,62,Lord Fairfax
0,51045,1,Craig,2020-07-23 00:00:00,11,Alleghany
12,51047,72,Culpeper,2020-07-23 00:00:00,915,Rappahannock Rapidan
0,51049,4,Cumberland,2020-07-23 00:00:00,60,Piedmont
0,51051,0,Dickenson,2020-07-23 00:00:00,11,Cumberland Plateau
2,51053,30,Dinwiddie,2020-07-23 00:00:00,172,Crater
0,51057,5,Essex,2020-07-23 00:00:00,72,Three Rivers
511,51059,1797,Fairfax,2020-07-23 00:00:00,15126,Fairfax
8,51061,33,Fauquier,2020-07-23 00:00:00,551,Rappahannock Rapidan
1,51063,2,Floyd,2020-07-23 00:00:00,26,New River
