Report Date,Race,Number of Cases,Number of Hospitalizations,Number of Deaths,Health District Name,Scrape_Time
4/21/2020,Not Reported,65,3,1,Central Virginia,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,27,1,0,Central Shenandoah,2020-04-21 21:19:23.068154
4/21/2020,White,221,36,7,Loudoun,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,147,30,10,Richmond,2020-04-21 21:19:23.068154
4/21/2020,Other,1,0,0,Roanoke,2020-04-21 21:19:23.068154
4/21/2020,White,65,15,1,Chesapeake,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,162,25,1,Rappahannock,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,36,3,0,Three Rivers,2020-04-21 21:19:23.068154
4/21/2020,Other,19,1,0,Thomas Jefferson,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,32,4,0,Loudoun,2020-04-21 21:19:23.068154
4/21/2020,White,21,3,0,Portsmouth,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,178,11,3,Alexandria,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,8,1,0,Lord Fairfax,2020-04-21 21:19:23.068154
4/21/2020,Other,1,0,0,Lenowisco,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,31,12,7,Arlington,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,58,21,3,Chesapeake,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,3,1,0,Mount Rogers,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,75,25,3,Alexandria,2020-04-21 21:19:23.068154
4/21/2020,Other,6,3,0,Rappahannock Rapidan,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,108,16,4,Chesterfield,2020-04-21 21:19:23.068154
4/21/2020,White,24,3,0,Three Rivers,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,7,0,0,Lord Fairfax,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,139,5,0,Loudoun,2020-04-21 21:19:23.068154
4/21/2020,White,52,13,4,Mount Rogers,2020-04-21 21:19:23.068154
4/21/2020,Other,32,12,2,Virginia Beach,2020-04-21 21:19:23.068154
4/21/2020,White,74,13,4,Chesterfield,2020-04-21 21:19:23.068154
4/21/2020,White,168,17,0,Lord Fairfax,2020-04-21 21:19:23.068154
4/21/2020,White,152,20,3,Alexandria,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,56,11,1,Virginia Beach,2020-04-21 21:19:23.068154
4/21/2020,Other,57,4,0,Alexandria,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,44,7,0,Southside,2020-04-21 21:19:23.068154
4/21/2020,Other,78,5,0,Central Shenandoah,2020-04-21 21:19:23.068154
4/21/2020,Other,1,0,0,Central Virginia,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,726,72,15,Fairfax,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,73,30,3,Thomas Jefferson,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,147,40,2,Fairfax,2020-04-21 21:19:23.068154
4/21/2020,White,47,11,3,Alleghany,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,54,20,1,Hampton,2020-04-21 21:19:23.068154
4/21/2020,White,70,12,2,Western Tidewater,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,16,0,0,Thomas Jefferson,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,128,28,8,Prince William,2020-04-21 21:19:23.068154
4/21/2020,White,18,7,1,Southside,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,92,7,0,Rappahannock Rapidan,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,5,0,0,Roanoke,2020-04-21 21:19:23.068154
4/21/2020,Other,11,5,1,Peninsula,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,1,0,0,West Piedmont,2020-04-21 21:19:23.068154
4/21/2020,Other,4,2,0,Portsmouth,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,94,8,2,Chickahominy,2020-04-21 21:19:23.068154
4/21/2020,White,18,10,2,Pittsylvania-Danville,2020-04-21 21:19:23.068154
4/21/2020,Other,157,32,3,Prince William,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,38,3,0,Virginia Beach,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,55,7,1,Peninsula,2020-04-21 21:19:23.068154
4/21/2020,Other,2,1,0,Mount Rogers,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,72,3,0,Henrico,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,66,25,3,Peninsula,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,9,1,1,Lenowisco,2020-04-21 21:19:23.068154
4/21/2020,Other,4,1,0,Hampton,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,3,0,0,Central Virginia,2020-04-21 21:19:23.068154
4/21/2020,Black or African American,3,1,0,New River,2020-04-21 21:19:23.068154
4/21/2020,White,47,8,2,Rappahannock Rapidan,2020-04-21 21:19:23.068154
4/21/2020,Other,18,3,0,Lord Fairfax,2020-04-21 21:19:23.068154
