Report Date,Health District or Health District Group,Race and Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
6/16/2020,Chesterfield,Asian or Pacific Islander,24,1,0,2020-06-16 12:06:17.977595
6/16/2020,Crater,Asian or Pacific Islander,1,0,0,2020-06-16 12:06:17.977595
6/16/2020,Fairfax,Asian or Pacific Islander,1008,187,51,2020-06-16 12:06:17.977595
6/16/2020,Hampton,Asian or Pacific Islander,3,0,0,2020-06-16 12:06:17.977595
6/16/2020,Rappahannock Rapidan,Asian or Pacific Islander,3,1,0,2020-06-16 12:06:17.977595
6/16/2020,Mount Rogers,Asian or Pacific Islander,2,1,0,2020-06-16 12:06:17.977595
6/16/2020,New River,Asian or Pacific Islander,1,0,0,2020-06-16 12:06:17.977595
6/16/2020,Central Virginia,Asian or Pacific Islander,0,0,0,2020-06-16 12:06:17.977595
6/16/2020,Lord Fairfax,Asian or Pacific Islander,5,0,0,2020-06-16 12:06:17.977595
6/16/2020,Southside,Asian or Pacific Islander,0,0,0,2020-06-16 12:06:17.977595
6/16/2020,Alleghany,Asian or Pacific Islander,3,0,0,2020-06-16 12:06:17.977595
6/16/2020,Portsmouth,Asian or Pacific Islander,3,2,0,2020-06-16 12:06:17.977595
6/16/2020,Roanoke,Asian or Pacific Islander,1,0,0,2020-06-16 12:06:17.977595
6/16/2020,Richmond,Asian or Pacific Islander,6,2,0,2020-06-16 12:06:17.977595
6/16/2020,Thomas Jefferson,Asian or Pacific Islander,8,0,0,2020-06-16 12:06:17.977595
6/16/2020,Virginia Beach,Asian or Pacific Islander,50,12,1,2020-06-16 12:06:17.977595
6/16/2020,Henrico,Asian or Pacific Islander,103,5,3,2020-06-16 12:06:17.977595
6/16/2020,Piedmont,Asian or Pacific Islander,4,0,0,2020-06-16 12:06:17.977595
6/16/2020,Western Tidewater,Asian or Pacific Islander,5,1,0,2020-06-16 12:06:17.977595
6/16/2020,West Piedmont,Asian or Pacific Islander,9,1,1,2020-06-16 12:06:17.977595
6/16/2020,Chickahominy,Asian or Pacific Islander,1,1,0,2020-06-16 12:06:17.977595
6/16/2020,Peninsula,Asian or Pacific Islander,7,2,1,2020-06-16 12:06:17.977595
6/16/2020,Norfolk,Asian or Pacific Islander,12,1,0,2020-06-16 12:06:17.977595
