health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date,sex
Alexandria,1358,30,120,2020-07-23 00:00:00,Female
Alexandria,1273,26,136,2020-07-23 00:00:00,Male
Alexandria,8,0,0,2020-07-23 00:00:00,Not Reported
Alleghany,402,10,13,2020-07-23 00:00:00,Female
Alleghany,333,5,24,2020-07-23 00:00:00,Male
Alleghany,7,0,0,2020-07-23 00:00:00,Not Reported
Arlington,1365,66,192,2020-07-23 00:00:00,Female
Arlington,1406,69,239,2020-07-23 00:00:00,Male
Arlington,5,0,0,2020-07-23 00:00:00,Not Reported
Central Shenandoah,1328,25,99,2020-07-23 00:00:00,Female
Central Shenandoah,1155,24,98,2020-07-23 00:00:00,Male
Central Shenandoah,1,0,0,2020-07-23 00:00:00,Not Reported
Central Virginia,363,2,7,2020-07-23 00:00:00,Female
Central Virginia,355,4,11,2020-07-23 00:00:00,Male
Central Virginia,0,0,0,2020-07-23 00:00:00,Not Reported
Chesapeake,1051,12,103,2020-07-23 00:00:00,Female
Chesapeake,813,12,76,2020-07-23 00:00:00,Male
Chesapeake,3,0,0,2020-07-23 00:00:00,Not Reported
Chesterfield,1906,44,115,2020-07-23 00:00:00,Female
Chesterfield,1889,43,110,2020-07-23 00:00:00,Male
Chesterfield,90,1,0,2020-07-23 00:00:00,Not Reported
Chickahominy,452,20,60,2020-07-23 00:00:00,Female
Chickahominy,370,20,58,2020-07-23 00:00:00,Male
Chickahominy,4,0,0,2020-07-23 00:00:00,Not Reported
Crater,852,29,100,2020-07-23 00:00:00,Female
Crater,1045,21,91,2020-07-23 00:00:00,Male
Crater,17,0,1,2020-07-23 00:00:00,Not Reported
Cumberland Plateau,83,0,2,2020-07-23 00:00:00,Female
Cumberland Plateau,81,0,8,2020-07-23 00:00:00,Male
Cumberland Plateau,0,0,0,2020-07-23 00:00:00,Not Reported
Eastern Shore,679,23,63,2020-07-23 00:00:00,Female
Eastern Shore,660,20,57,2020-07-23 00:00:00,Male
Eastern Shore,9,0,0,2020-07-23 00:00:00,Not Reported
Fairfax,7766,256,773,2020-07-23 00:00:00,Female
Fairfax,7394,267,1041,2020-07-23 00:00:00,Male
Fairfax,95,1,2,2020-07-23 00:00:00,Not Reported
Hampton,434,1,16,2020-07-23 00:00:00,Female
Hampton,349,3,30,2020-07-23 00:00:00,Male
Hampton,3,0,0,2020-07-23 00:00:00,Not Reported
Henrico,1690,94,140,2020-07-23 00:00:00,Female
Henrico,1434,83,159,2020-07-23 00:00:00,Male
Henrico,15,0,1,2020-07-23 00:00:00,Not Reported
Lenowisco,88,1,11,2020-07-23 00:00:00,Female
Lenowisco,69,4,12,2020-07-23 00:00:00,Male
Lenowisco,0,0,0,2020-07-23 00:00:00,Not Reported
Lord Fairfax,1251,46,97,2020-07-23 00:00:00,Female
