Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Health District Name,Scrape_Time
4/21/2020,Female,7,2,0,Roanoke,2020-04-21 21:19:23.068154
4/21/2020,Female,147,25,3,Virginia Beach,2020-04-21 21:19:23.068154
4/21/2020,Female,119,17,5,Chickahominy,2020-04-21 21:19:23.068154
4/21/2020,Female,199,13,2,Chesterfield,2020-04-21 21:19:23.068154
4/21/2020,Male,30,11,2,Piedmont,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,1,0,0,Rappahannock,2020-04-21 21:19:23.068154
4/21/2020,Male,33,12,1,Southside,2020-04-21 21:19:23.068154
4/21/2020,Female,128,14,1,Richmond,2020-04-21 21:19:23.068154
4/21/2020,Male,12,3,1,West Piedmont,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,1,0,0,Alexandria,2020-04-21 21:19:23.068154
4/21/2020,Female,100,18,3,Chesapeake,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,1,0,0,Mount Rogers,2020-04-21 21:19:23.068154
4/21/2020,Female,157,29,1,Rappahannock,2020-04-21 21:19:23.068154
4/21/2020,Male,37,16,2,Portsmouth,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,3,0,0,Loudoun,2020-04-21 21:19:23.068154
4/21/2020,Male,30,5,0,New River,2020-04-21 21:19:23.068154
4/21/2020,Female,15,1,0,West Piedmont,2020-04-21 21:19:23.068154
4/21/2020,Male,6,0,0,Cumberland Plateau,2020-04-21 21:19:23.068154
4/21/2020,Female,69,8,1,Rappahannock Rapidan,2020-04-21 21:19:23.068154
4/21/2020,Male,15,8,1,Pittsylvania-Danville,2020-04-21 21:19:23.068154
4/21/2020,Female,239,19,4,Loudoun,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,11,0,0,Fairfax,2020-04-21 21:19:23.068154
4/21/2020,Female,347,40,36,Henrico,2020-04-21 21:19:23.068154
4/21/2020,Female,104,9,0,Lord Fairfax,2020-04-21 21:19:23.068154
4/21/2020,Male,226,40,4,Loudoun,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,2,0,0,Rappahannock Rapidan,2020-04-21 21:19:23.068154
4/21/2020,Male,304,65,14,Arlington,2020-04-21 21:19:23.068154
4/21/2020,Female,60,5,1,Piedmont,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,5,1,0,Chickahominy,2020-04-21 21:19:23.068154
4/21/2020,Female,124,13,2,Western Tidewater,2020-04-21 21:19:23.068154
4/21/2020,Female,78,13,6,Crater,2020-04-21 21:19:23.068154
4/21/2020,Male,138,43,5,Rappahannock,2020-04-21 21:19:23.068154
4/21/2020,Male,113,23,8,Richmond,2020-04-21 21:19:23.068154
4/21/2020,Male,183,16,7,Chesterfield,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,21,1,6,Henrico,2020-04-21 21:19:23.068154
4/21/2020,Female,1036,155,29,Fairfax,2020-04-21 21:19:23.068154
4/21/2020,Female,243,30,3,Alexandria,2020-04-21 21:19:23.068154
4/21/2020,Male,1076,228,37,Fairfax,2020-04-21 21:19:23.068154
4/21/2020,Male,218,30,6,Alexandria,2020-04-21 21:19:23.068154
4/21/2020,Female,44,12,2,Portsmouth,2020-04-21 21:19:23.068154
4/21/2020,Male,141,35,5,Virginia Beach,2020-04-21 21:19:23.068154
4/21/2020,Female,12,1,0,Cumberland Plateau,2020-04-21 21:19:23.068154
4/21/2020,Not Reported,8,0,0,Central Shenandoah,2020-04-21 21:19:23.068154
