Health District Name,Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
Chesterfield,4/23/2020,Female,247,14,2,2020-04-23 21:02:03.288577
Mount Rogers,4/23/2020,Female,27,5,0,2020-04-23 21:02:03.288577
Virginia Beach,4/23/2020,Male,151,35,5,2020-04-23 21:02:03.288577
Crater,4/23/2020,Female,94,17,6,2020-04-23 21:02:03.288577
New River,4/23/2020,Female,34,3,0,2020-04-23 21:02:03.288577
Central Virginia,4/23/2020,Male,56,4,1,2020-04-23 21:02:03.288577
Lenowisco,4/23/2020,Male,18,7,1,2020-04-23 21:02:03.288577
Chesapeake,4/23/2020,Female,106,19,2,2020-04-23 21:02:03.288577
Richmond,4/23/2020,Female,136,17,1,2020-04-23 21:02:03.288577
Fairfax,4/23/2020,Female,1174,175,38,2020-04-23 21:02:03.288577
Peninsula,4/23/2020,Female,165,43,13,2020-04-23 21:02:03.288577
Loudoun,4/23/2020,Female,252,21,5,2020-04-23 21:02:03.288577
Norfolk,4/23/2020,Male,55,16,3,2020-04-23 21:02:03.288577
Rappahannock,4/23/2020,Not Reported,4,0,0,2020-04-23 21:02:03.288577
Loudoun,4/23/2020,Not Reported,2,0,0,2020-04-23 21:02:03.288577
Virginia Beach,4/23/2020,Female,177,26,3,2020-04-23 21:02:03.288577
Roanoke,4/23/2020,Female,10,2,0,2020-04-23 21:02:03.288577
West Piedmont,4/23/2020,Male,13,3,1,2020-04-23 21:02:03.288577
Thomas Jefferson,4/23/2020,Not Reported,1,0,0,2020-04-23 21:02:03.288577
New River,4/23/2020,Not Reported,1,0,0,2020-04-23 21:02:03.288577
Alexandria,4/23/2020,Not Reported,3,0,0,2020-04-23 21:02:03.288577
Chesterfield,4/23/2020,Male,195,19,7,2020-04-23 21:02:03.288577
Rappahannock,4/23/2020,Female,178,32,2,2020-04-23 21:02:03.288577
Chickahominy,4/23/2020,Female,122,17,4,2020-04-23 21:02:03.288577
Arlington,4/23/2020,Male,335,65,14,2020-04-23 21:02:03.288577
Chesterfield,4/23/2020,Not Reported,10,1,0,2020-04-23 21:02:03.288577
Richmond,4/23/2020,Male,119,26,10,2020-04-23 21:02:03.288577
Prince William,4/23/2020,Female,600,64,8,2020-04-23 21:02:03.288577
Loudoun,4/23/2020,Male,244,43,5,2020-04-23 21:02:03.288577
Portsmouth,4/23/2020,Male,42,17,2,2020-04-23 21:02:03.288577
Henrico,4/23/2020,Female,418,45,43,2020-04-23 21:02:03.288577
Thomas Jefferson,4/23/2020,Female,131,27,2,2020-04-23 21:02:03.288577
Pittsylvania-Danville,4/23/2020,Female,25,9,1,2020-04-23 21:02:03.288577
Mount Rogers,4/23/2020,Not Reported,1,0,0,2020-04-23 21:02:03.288577
Chickahominy,4/23/2020,Male,68,20,8,2020-04-23 21:02:03.288577
Prince William,4/23/2020,Male,585,68,12,2020-04-23 21:02:03.288577
Thomas Jefferson,4/23/2020,Male,110,21,8,2020-04-23 21:02:03.288577
Cumberland Plateau,4/23/2020,Male,6,0,0,2020-04-23 21:02:03.288577
Portsmouth,4/23/2020,Not Reported,1,0,0,2020-04-23 21:02:03.288577
Eastern Shore,4/23/2020,Female,35,10,2,2020-04-23 21:02:03.288577
Three Rivers,4/23/2020,Male,89,6,0,2020-04-23 21:02:03.288577
Alexandria,4/23/2020,Male,246,40,9,2020-04-23 21:02:03.288577
Piedmont,4/23/2020,Female,66,6,1,2020-04-23 21:02:03.288577
New River,4/23/2020,Male,31,5,0,2020-04-23 21:02:03.288577
Rappahannock,4/23/2020,Male,154,43,7,2020-04-23 21:02:03.288577
Rappahannock Rapidan,4/23/2020,Male,92,11,1,2020-04-23 21:02:03.288577
Lord Fairfax,4/23/2020,Male,113,16,0,2020-04-23 21:02:03.288577
Chesapeake,4/23/2020,Male,80,21,3,2020-04-23 21:02:03.288577
Norfolk,4/23/2020,Female,81,15,0,2020-04-23 21:02:03.288577
