,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-10-30T00:00:00.000,Alexandria,4303,324,74
1,2020-10-30T00:00:00.000,Alleghany,2786,116,37
2,2020-10-30T00:00:00.000,Arlington,4686,541,154
3,2020-10-30T00:00:00.000,Central Shenandoah,6953,308,84
4,2020-10-30T00:00:00.000,Central Virginia,5019,201,66
5,2020-10-30T00:00:00.000,Chesapeake,4972,483,79
6,2020-10-30T00:00:00.000,Chesterfield,7840,468,150
7,2020-10-30T00:00:00.000,Chickahominy,2400,197,59
8,2020-10-30T00:00:00.000,Crater,5116,307,117
9,2020-10-30T00:00:00.000,Cumberland Plateau,1472,95,15
10,2020-10-30T00:00:00.000,Eastern Shore,1539,146,50
11,2020-10-30T00:00:00.000,Fairfax,24182,2305,620
12,2020-10-30T00:00:00.000,Hampton,2147,91,32
13,2020-10-30T00:00:00.000,Henrico,6439,486,240
14,2020-10-30T00:00:00.000,Lenowisco,1659,110,26
15,2020-10-30T00:00:00.000,Lord Fairfax,4027,330,132
16,2020-10-30T00:00:00.000,Loudoun,7946,482,130
17,2020-10-30T00:00:00.000,Mount Rogers,3849,315,149
18,2020-10-30T00:00:00.000,New River,4532,82,27
19,2020-10-30T00:00:00.000,Norfolk,5445,411,84
20,2020-10-30T00:00:00.000,Peninsula,5179,223,92
21,2020-10-30T00:00:00.000,Piedmont,2535,159,56
22,2020-10-30T00:00:00.000,Pittsylvania-Danville,2568,198,61
23,2020-10-30T00:00:00.000,Portsmouth,2858,316,69
24,2020-10-30T00:00:00.000,Prince William,17155,1195,258
25,2020-10-30T00:00:00.000,Rappahannock,6200,432,92
26,2020-10-30T00:00:00.000,Rappahannock Rapidan,3129,193,55
27,2020-10-30T00:00:00.000,Richmond,5394,453,77
28,2020-10-30T00:00:00.000,Roanoke,2877,100,41
29,2020-10-30T00:00:00.000,Southside,1868,90,48
30,2020-10-30T00:00:00.000,Thomas Jefferson,4498,234,77
31,2020-10-30T00:00:00.000,Three Rivers,2280,138,39
32,2020-10-30T00:00:00.000,Virginia Beach,8057,444,108
33,2020-10-30T00:00:00.000,Western Tidewater,4641,236,155
34,2020-10-30T00:00:00.000,West Piedmont,3088,302,90
35,2020-10-29T00:00:00.000,Alexandria,4285,324,74
36,2020-10-29T00:00:00.000,Alleghany,2731,115,37
37,2020-10-29T00:00:00.000,Arlington,4647,539,154
38,2020-10-29T00:00:00.000,Central Shenandoah,6854,305,83
39,2020-10-29T00:00:00.000,Central Virginia,4945,197,65
40,2020-10-29T00:00:00.000,Chesapeake,4945,479,79
41,2020-10-29T00:00:00.000,Chesterfield,7786,465,149
42,2020-10-29T00:00:00.000,Chickahominy,2393,197,59
43,2020-10-29T00:00:00.000,Crater,5077,305,117
44,2020-10-29T00:00:00.000,Cumberland Plateau,1434,90,14
45,2020-10-29T00:00:00.000,Eastern Shore,1534,146,50
46,2020-10-29T00:00:00.000,Fairfax,24067,2298,620
47,2020-10-29T00:00:00.000,Hampton,2138,90,32
48,2020-10-29T00:00:00.000,Henrico,6394,483,239
49,2020-10-29T00:00:00.000,Lenowisco,1624,110,26
50,2020-10-29T00:00:00.000,Lord Fairfax,3990,328,132
51,2020-10-29T00:00:00.000,Loudoun,7908,480,130
52,2020-10-29T00:00:00.000,Mount Rogers,3795,314,149
53,2020-10-29T00:00:00.000,New River,4437,80,27
54,2020-10-29T00:00:00.000,Norfolk,5419,410,84
55,2020-10-29T00:00:00.000,Peninsula,5146,222,92
56,2020-10-29T00:00:00.000,Piedmont,2513,159,56
57,2020-10-29T00:00:00.000,Pittsylvania-Danville,2538,197,61
58,2020-10-29T00:00:00.000,Portsmouth,2852,316,69
59,2020-10-29T00:00:00.000,Prince William,17053,1190,258
60,2020-10-29T00:00:00.000,Rappahannock,6162,431,92
61,2020-10-29T00:00:00.000,Rappahannock Rapidan,3117,193,55
62,2020-10-29T00:00:00.000,Richmond,5368,453,77
63,2020-10-29T00:00:00.000,Roanoke,2810,98,41
64,2020-10-29T00:00:00.000,Southside,1845,90,48
65,2020-10-29T00:00:00.000,Thomas Jefferson,4467,234,77
66,2020-10-29T00:00:00.000,Three Rivers,2265,138,39
67,2020-10-29T00:00:00.000,Virginia Beach,8001,444,106
68,2020-10-29T00:00:00.000,Western Tidewater,4613,236,155
69,2020-10-29T00:00:00.000,West Piedmont,3030,298,90
70,2020-10-28T00:00:00.000,Alexandria,4269,325,74
71,2020-10-28T00:00:00.000,Alleghany,2677,115,37
72,2020-10-28T00:00:00.000,Arlington,4630,538,154
73,2020-10-28T00:00:00.000,Central Shenandoah,6821,301,83
74,2020-10-28T00:00:00.000,Central Virginia,4852,195,64
75,2020-10-28T00:00:00.000,Chesapeake,4921,479,79
