,report_date,fips,locality,vdh_health_district,total_cases,hospitalizations,deaths
0,2020-10-06T00:00:00.000,51001,Accomack,Eastern Shore,1188,92,19
1,2020-10-06T00:00:00.000,51003,Albemarle,Thomas Jefferson,1385,80,22
2,2020-10-06T00:00:00.000,51005,Alleghany,Alleghany,81,8,4
3,2020-10-06T00:00:00.000,51007,Amelia,Piedmont,126,14,5
4,2020-10-06T00:00:00.000,51009,Amherst,Central Virginia,433,16,4
5,2020-10-06T00:00:00.000,51011,Appomattox,Central Virginia,227,14,3
6,2020-10-06T00:00:00.000,51013,Arlington,Arlington,4068,508,152
7,2020-10-06T00:00:00.000,51015,Augusta,Central Shenandoah,535,24,7
8,2020-10-06T00:00:00.000,51017,Bath,Central Shenandoah,16,1,0
9,2020-10-06T00:00:00.000,51019,Bedford,Central Virginia,862,45,15
10,2020-10-06T00:00:00.000,51021,Bland,Mount Rogers,64,3,5
11,2020-10-06T00:00:00.000,51023,Botetourt,Alleghany,315,24,10
12,2020-10-06T00:00:00.000,51025,Brunswick,Southside,374,29,5
13,2020-10-06T00:00:00.000,51027,Buchanan,Cumberland Plateau,181,13,2
14,2020-10-06T00:00:00.000,51029,Buckingham,Piedmont,702,25,9
15,2020-10-06T00:00:00.000,51031,Campbell,Central Virginia,494,16,4
16,2020-10-06T00:00:00.000,51033,Caroline,Rappahannock,370,30,5
17,2020-10-06T00:00:00.000,51035,Carroll,Mount Rogers,516,45,24
18,2020-10-06T00:00:00.000,51036,Charles City,Chickahominy,86,21,5
19,2020-10-06T00:00:00.000,51037,Charlotte,Piedmont,146,7,0
20,2020-10-06T00:00:00.000,51041,Chesterfield,Chesterfield,6192,363,98
21,2020-10-06T00:00:00.000,51043,Clarke,Lord Fairfax,99,12,1
22,2020-10-06T00:00:00.000,51045,Craig,Alleghany,31,1,0
23,2020-10-06T00:00:00.000,51047,Culpeper,Rappahannock Rapidan,1228,94,17
24,2020-10-06T00:00:00.000,51049,Cumberland,Piedmont,109,8,2
25,2020-10-06T00:00:00.000,51051,Dickenson,Cumberland Plateau,104,8,1
26,2020-10-06T00:00:00.000,51053,Dinwiddie,Crater,421,39,11
27,2020-10-06T00:00:00.000,51057,Essex,Three Rivers,183,12,2
28,2020-10-06T00:00:00.000,51059,Fairfax,Fairfax,21414,2181,592
29,2020-10-06T00:00:00.000,51061,Fauquier,Rappahannock Rapidan,976,51,25
30,2020-10-06T00:00:00.000,51063,Floyd,New River,214,12,13
31,2020-10-06T00:00:00.000,51065,Fluvanna,Thomas Jefferson,385,35,9
32,2020-10-06T00:00:00.000,51067,Franklin County,West Piedmont,431,19,4
33,2020-10-06T00:00:00.000,51069,Frederick,Lord Fairfax,954,67,13
34,2020-10-06T00:00:00.000,51071,Giles,New River,94,3,0
35,2020-10-06T00:00:00.000,51073,Gloucester,Three Rivers,265,14,2
36,2020-10-06T00:00:00.000,51075,Goochland,Chickahominy,287,28,7
37,2020-10-06T00:00:00.000,51077,Grayson,Mount Rogers,325,27,17
38,2020-10-06T00:00:00.000,51079,Greene,Thomas Jefferson,241,11,3
39,2020-10-06T00:00:00.000,51081,Greensville,Crater,806,37,11
40,2020-10-06T00:00:00.000,51083,Halifax,Southside,384,14,7
41,2020-10-06T00:00:00.000,51085,Hanover,Chickahominy,1395,106,39
42,2020-10-06T00:00:00.000,51087,Henrico,Henrico,5608,450,219
43,2020-10-06T00:00:00.000,51089,Henry,West Piedmont,1113,122,25
44,2020-10-06T00:00:00.000,51091,Highland,Central Shenandoah,8,0,0
45,2020-10-06T00:00:00.000,51093,Isle of Wight,Western Tidewater,777,35,20
46,2020-10-06T00:00:00.000,51095,James City,Peninsula,868,66,21
47,2020-10-06T00:00:00.000,51097,King and Queen,Three Rivers,78,12,1
48,2020-10-06T00:00:00.000,51099,King George,Rappahannock,241,22,4
49,2020-10-06T00:00:00.000,51101,King William,Three Rivers,167,14,2
50,2020-10-06T00:00:00.000,51103,Lancaster,Three Rivers,161,8,0
51,2020-10-06T00:00:00.000,51105,Lee,Lenowisco,306,28,7
52,2020-10-06T00:00:00.000,51107,Loudoun,Loudoun,7026,441,126
53,2020-10-06T00:00:00.000,51109,Louisa,Thomas Jefferson,314,31,7
54,2020-10-06T00:00:00.000,51111,Lunenburg,Piedmont,124,7,3
55,2020-10-06T00:00:00.000,51113,Madison,Rappahannock Rapidan,114,7,3
56,2020-10-06T00:00:00.000,51115,Mathews,Three Rivers,92,7,0
57,2020-10-06T00:00:00.000,51117,Mecklenburg,Southside,807,45,34
58,2020-10-06T00:00:00.000,51119,Middlesex,Three Rivers,127,8,11
59,2020-10-06T00:00:00.000,51121,Montgomery,New River,2165,24,5
60,2020-10-06T00:00:00.000,51125,Nelson,Thomas Jefferson,110,5,2
61,2020-10-06T00:00:00.000,51127,New Kent,Chickahominy,229,14,3
62,2020-10-06T00:00:00.000,51131,Northampton,Eastern Shore,310,49,31
63,2020-10-06T00:00:00.000,51133,Northumberland,Three Rivers,183,11,6
64,2020-10-06T00:00:00.000,51135,Nottoway,Piedmont,276,44,20
65,2020-10-06T00:00:00.000,51137,Orange,Rappahannock Rapidan,345,22,5
66,2020-10-06T00:00:00.000,51139,Page,Lord Fairfax,414,44,29
67,2020-10-06T00:00:00.000,51141,Patrick,West Piedmont,284,52,26
68,2020-10-06T00:00:00.000,51143,Pittsylvania,Pittsylvania-Danville,1087,63,10
69,2020-10-06T00:00:00.000,51145,Powhatan,Chesterfield,240,14,5
70,2020-10-06T00:00:00.000,51147,Prince Edward,Piedmont,622,33,12
71,2020-10-06T00:00:00.000,51149,Prince George,Crater,871,24,5
72,2020-10-06T00:00:00.000,51153,Prince William,Prince William,12811,931,208
73,2020-10-06T00:00:00.000,51155,Pulaski,New River,244,15,5
74,2020-10-06T00:00:00.000,51157,Rappahannock,Rappahannock Rapidan,65,5,2
75,2020-10-06T00:00:00.000,51159,Richmond County,Three Rivers,353,15,4
76,2020-10-06T00:00:00.000,51161,Roanoke County,Alleghany,964,30,8
77,2020-10-06T00:00:00.000,51163,Rockbridge,Central Shenandoah,126,7,2
78,2020-10-06T00:00:00.000,51165,Rockingham,Central Shenandoah,1558,120,22
79,2020-10-06T00:00:00.000,51167,Russell,Cumberland Plateau,293,29,5
80,2020-10-06T00:00:00.000,51169,Scott,Lenowisco,205,18,4
81,2020-10-06T00:00:00.000,51171,Shenandoah,Lord Fairfax,830,91,59
82,2020-10-06T00:00:00.000,51173,Smyth,Mount Rogers,543,49,20
83,2020-10-06T00:00:00.000,51175,Southampton,Western Tidewater,790,23,29
84,2020-10-06T00:00:00.000,51177,Spotsylvania,Rappahannock,2195,136,46
85,2020-10-06T00:00:00.000,51179,Stafford,Rappahannock,2081,161,18
86,2020-10-06T00:00:00.000,51181,Surry,Crater,129,9,3
87,2020-10-06T00:00:00.000,51183,Sussex,Crater,607,29,12
88,2020-10-06T00:00:00.000,51185,Tazewell,Cumberland Plateau,344,17,2
89,2020-10-06T00:00:00.000,51187,Warren,Lord Fairfax,460,32,11
