,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-10-22T00:00:00.000,Alexandria,Female,2158,144,38
1,2020-10-22T00:00:00.000,Alexandria,Male,1991,182,37
2,2020-10-22T00:00:00.000,Alexandria,Not Reported,13,0,0
3,2020-10-22T00:00:00.000,Alleghany,Female,1330,54,22
4,2020-10-22T00:00:00.000,Alleghany,Male,1073,54,11
5,2020-10-22T00:00:00.000,Alleghany,Not Reported,9,0,0
6,2020-10-22T00:00:00.000,Arlington,Female,2213,234,70
7,2020-10-22T00:00:00.000,Arlington,Male,2241,290,82
8,2020-10-22T00:00:00.000,Arlington,Not Reported,3,0,0
9,2020-10-22T00:00:00.000,Central Shenandoah,Female,3490,149,37
10,2020-10-22T00:00:00.000,Central Shenandoah,Male,3047,141,41
11,2020-10-22T00:00:00.000,Central Shenandoah,Not Reported,20,0,0
12,2020-10-22T00:00:00.000,Central Virginia,Female,2407,81,26
13,2020-10-22T00:00:00.000,Central Virginia,Male,2067,94,32
14,2020-10-22T00:00:00.000,Central Virginia,Not Reported,46,0,0
15,2020-10-22T00:00:00.000,Chesapeake,Female,2618,240,34
16,2020-10-22T00:00:00.000,Chesapeake,Male,2183,229,44
17,2020-10-22T00:00:00.000,Chesapeake,Not Reported,5,0,0
18,2020-10-22T00:00:00.000,Chesterfield,Female,3775,217,57
19,2020-10-22T00:00:00.000,Chesterfield,Male,3504,228,73
20,2020-10-22T00:00:00.000,Chesterfield,Not Reported,152,0,1
21,2020-10-22T00:00:00.000,Chickahominy,Female,1139,88,29
22,2020-10-22T00:00:00.000,Chickahominy,Male,1092,95,28
23,2020-10-22T00:00:00.000,Chickahominy,Not Reported,30,0,0
24,2020-10-22T00:00:00.000,Crater,Female,2003,160,62
25,2020-10-22T00:00:00.000,Crater,Male,2843,136,52
26,2020-10-22T00:00:00.000,Crater,Not Reported,50,3,0
27,2020-10-22T00:00:00.000,Cumberland Plateau,Female,697,41,7
28,2020-10-22T00:00:00.000,Cumberland Plateau,Male,558,40,6
29,2020-10-22T00:00:00.000,Cumberland Plateau,Not Reported,12,0,0
30,2020-10-22T00:00:00.000,Eastern Shore,Female,764,73,26
31,2020-10-22T00:00:00.000,Eastern Shore,Male,747,71,24
32,2020-10-22T00:00:00.000,Eastern Shore,Not Reported,9,0,0
33,2020-10-22T00:00:00.000,Fairfax,Female,11870,955,292
34,2020-10-22T00:00:00.000,Fairfax,Male,11218,1291,322
35,2020-10-22T00:00:00.000,Fairfax,Not Reported,157,1,6
36,2020-10-22T00:00:00.000,Hampton,Female,1138,33,14
37,2020-10-22T00:00:00.000,Hampton,Male,926,54,18
38,2020-10-22T00:00:00.000,Hampton,Not Reported,7,0,0
39,2020-10-22T00:00:00.000,Henrico,Female,3220,240,121
40,2020-10-22T00:00:00.000,Henrico,Male,2836,236,106
41,2020-10-22T00:00:00.000,Henrico,Not Reported,40,0,0
42,2020-10-22T00:00:00.000,Lenowisco,Female,702,45,5
43,2020-10-22T00:00:00.000,Lenowisco,Male,623,57,18
44,2020-10-22T00:00:00.000,Lenowisco,Not Reported,3,0,0
45,2020-10-22T00:00:00.000,Lord Fairfax,Female,1980,151,59
46,2020-10-22T00:00:00.000,Lord Fairfax,Male,1772,166,67
47,2020-10-22T00:00:00.000,Lord Fairfax,Not Reported,21,0,0
48,2020-10-22T00:00:00.000,Loudoun,Female,3863,215,80
49,2020-10-22T00:00:00.000,Loudoun,Male,3755,255,50
50,2020-10-22T00:00:00.000,Loudoun,Not Reported,62,0,0
51,2020-10-22T00:00:00.000,Mount Rogers,Female,1986,135,72
52,2020-10-22T00:00:00.000,Mount Rogers,Male,1493,165,71
53,2020-10-22T00:00:00.000,Mount Rogers,Not Reported,12,0,1
54,2020-10-22T00:00:00.000,New River,Female,2051,30,14
55,2020-10-22T00:00:00.000,New River,Male,2045,45,14
56,2020-10-22T00:00:00.000,New River,Not Reported,35,0,0
57,2020-10-22T00:00:00.000,Norfolk,Female,2714,203,39
58,2020-10-22T00:00:00.000,Norfolk,Male,2526,199,46
59,2020-10-22T00:00:00.000,Norfolk,Not Reported,3,0,0
60,2020-10-22T00:00:00.000,Peninsula,Female,2554,104,50
61,2020-10-22T00:00:00.000,Peninsula,Male,2390,113,41
62,2020-10-22T00:00:00.000,Peninsula,Not Reported,19,0,0
63,2020-10-22T00:00:00.000,Piedmont,Female,901,61,16
64,2020-10-22T00:00:00.000,Piedmont,Male,1489,88,39
65,2020-10-22T00:00:00.000,Piedmont,Not Reported,5,0,0
66,2020-10-22T00:00:00.000,Pittsylvania-Danville,Female,1332,108,36
67,2020-10-22T00:00:00.000,Pittsylvania-Danville,Male,1061,68,22
68,2020-10-22T00:00:00.000,Pittsylvania-Danville,Not Reported,6,0,0
69,2020-10-22T00:00:00.000,Portsmouth,Female,1454,171,36
70,2020-10-22T00:00:00.000,Portsmouth,Male,1305,128,31
71,2020-10-22T00:00:00.000,Portsmouth,Not Reported,3,0,0
72,2020-10-22T00:00:00.000,Prince William,Female,8374,512,107
73,2020-10-22T00:00:00.000,Prince William,Male,7995,660,151
74,2020-10-22T00:00:00.000,Prince William,Not Reported,127,2,0
75,2020-10-22T00:00:00.000,Rappahannock,Female,3157,197,35
76,2020-10-22T00:00:00.000,Rappahannock,Male,2747,228,51
77,2020-10-22T00:00:00.000,Rappahannock,Not Reported,20,0,0
78,2020-10-22T00:00:00.000,Rappahannock Rapidan,Female,1484,78,27
79,2020-10-22T00:00:00.000,Rappahannock Rapidan,Male,1449,112,27
80,2020-10-22T00:00:00.000,Rappahannock Rapidan,Not Reported,40,0,0
81,2020-10-22T00:00:00.000,Richmond,Female,2591,224,28
82,2020-10-22T00:00:00.000,Richmond,Male,2532,220,39
83,2020-10-22T00:00:00.000,Richmond,Not Reported,53,1,2
84,2020-10-22T00:00:00.000,Roanoke,Female,1393,52,20
85,2020-10-22T00:00:00.000,Roanoke,Male,1105,40,15
86,2020-10-22T00:00:00.000,Roanoke,Not Reported,19,0,0
87,2020-10-22T00:00:00.000,Southside,Female,837,43,24
88,2020-10-22T00:00:00.000,Southside,Male,893,47,24
89,2020-10-22T00:00:00.000,Southside,Not Reported,10,0,0
90,2020-10-22T00:00:00.000,Thomas Jefferson,Female,2249,111,41
91,2020-10-22T00:00:00.000,Thomas Jefferson,Male,2015,111,35
92,2020-10-22T00:00:00.000,Thomas Jefferson,Not Reported,4,0,0
93,2020-10-22T00:00:00.000,Three Rivers,Female,989,65,17
94,2020-10-22T00:00:00.000,Three Rivers,Male,1172,71,20
95,2020-10-22T00:00:00.000,Three Rivers,Not Reported,26,0,0
96,2020-10-22T00:00:00.000,Virginia Beach,Female,4165,222,53
97,2020-10-22T00:00:00.000,Virginia Beach,Male,3497,204,50
98,2020-10-22T00:00:00.000,Virginia Beach,Not Reported,17,0,0
99,2020-10-22T00:00:00.000,Western Tidewater,Female,2133,108,66
100,2020-10-22T00:00:00.000,Western Tidewater,Male,2358,118,80
101,2020-10-22T00:00:00.000,Western Tidewater,Not Reported,5,0,2
102,2020-10-22T00:00:00.000,West Piedmont,Female,1562,150,44
103,2020-10-22T00:00:00.000,West Piedmont,Male,1206,136,41
104,2020-10-22T00:00:00.000,West Piedmont,Not Reported,14,0,0
105,2020-10-21T00:00:00.000,Alexandria,Female,2145,144,38
106,2020-10-21T00:00:00.000,Alexandria,Male,1986,182,37
107,2020-10-21T00:00:00.000,Alexandria,Not Reported,13,0,0
108,2020-10-21T00:00:00.000,Alleghany,Female,1286,53,22
109,2020-10-21T00:00:00.000,Alleghany,Male,1045,53,11
110,2020-10-21T00:00:00.000,Alleghany,Not Reported,9,0,0
111,2020-10-21T00:00:00.000,Arlington,Female,2201,233,70
112,2020-10-21T00:00:00.000,Arlington,Male,2233,289,82
113,2020-10-21T00:00:00.000,Arlington,Not Reported,3,0,0
114,2020-10-21T00:00:00.000,Central Shenandoah,Female,3471,149,37
